O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
833,601137,博威合金,2014/06/30,2.15亿,2.15亿,1.09万,0.17,9.12,1.83,14.6亿,21.53,3932万,-494万,4247万,3609万,-16.61,3.23亿,1.50,10.10,27.2亿,14.6亿,7.39亿,1.11亿,7.61亿,7.10亿,5036万,27.96,19.6亿,72.04,13.8亿,6.40,0,0,2011/01/27
834,601139,深圳燃气,2014/06/30,19.8亿,19.0亿,5.27万,0.22,2.60,8.59,46.2亿,13.59,5.55亿,1.15亿,5.58亿,4.43亿,-11.88,15.9亿,0.80,19.38,128亿,41.1亿,49.0亿,3.36亿,73.1亿,53.8亿,19.2亿,57.16,51.5亿,40.27,10.0亿,0.50,0,0,2009/12/25
835,601158,重庆水务,2014/06/30,48.0亿,48.0亿,6.14万,0.18,2.63,6.81,22.3亿,16.60,8.28亿,1.06亿,8.99亿,8.88亿,-4.12,24.7亿,0.52,48.73,204亿,55.4亿,68.6亿,8.19亿,78.2亿,42.6亿,35.6亿,38.23,126亿,61.72,45.3亿,0.94,0,0,2010/03/29
836,601166,兴业银行,2014/06/30,191亿,162亿,6.07万,1.34,11.11,11.90,594亿,11.12,332亿,8.46亿,334亿,255亿,17.97,1101亿,5.32,0.00,3.95万亿,0,74.1亿,4.89亿,3.72万亿,0,0,94.35,2204亿,5.58,501亿,2.58,0,0,2007/02/05
837,601168,西部矿业,2014/06/30,23.8亿,23.8亿,8048,0.05,4.76,1.04,93.6亿,-11.98,1.99亿,-630万,2.05亿,1.18亿,11.93,29.9亿,1.26,6.78,257亿,92.9亿,36.7亿,18.9亿,137亿,75.6亿,61.5亿,53.30,114亿,44.13,54.3亿,2.27,0,0,2007/07/12
838,601169,北京银行,2014/06/30,106亿,89.7亿,3.36万,0.84,8.14,10.63,182亿,15.80,114亿,1.44亿,114亿,88.5亿,13.41,314亿,2.82,0.00,1.48万亿,0,54.0亿,5.34亿,1.39万亿,0,0,94.06,875亿,5.93,245亿,2.79,0,0,2007/09/19
839,601177,杭齿前进,2014/06/30,4.00亿,4.00亿,2.16万,0.05,4.34,1.18,9.64亿,0.30,1430万,2452万,2627万,2048万,37.43,4.26亿,1.07,19.01,38.1亿,16.9亿,11.3亿,1.82亿,19.5亿,17.3亿,2.18亿,51.19,17.3亿,45.47,8.63亿,2.17,0,0,2010/10/11
840,601179,中国西电,2014/06/30,51.3亿,43.6亿,3.22万,0.06,3.44,1.85,64.1亿,10.04,3.76亿,3319万,3.94亿,3.28亿,118.04,9.12亿,0.18,22.21,327亿,247亿,50.3亿,14.2亿,143亿,130亿,13.1亿,43.81,176亿,53.80,113亿,2.20,0,0,2010/01/28
841,601186,中国铁建,2014/06/30,123亿,103亿,5.12万,0.40,6.83,5.97,2617亿,10.87,62.4亿,-542万,65.0亿,49.8亿,6.62,366亿,2.97,7.21,5782亿,4905亿,399亿,130亿,4899亿,3947亿,952亿,84.72,842亿,14.57,335亿,2.75,0,20.8亿,2008/03/10
842,601188,龙江交通,2014/06/30,13.2亿,12.1亿,1.75万,0.16,2.54,6.50,2.19亿,8.13,2.56亿,8903万,2.55亿,2.15亿,210.30,7.17亿,0.54,59.78,42.7亿,13.9亿,17.8亿,8043万,8.81亿,8.31亿,4950万,20.63,33.4亿,78.33,12.6亿,0.93,0,0,2010/03/19
