O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1,600000,浦发银行,2014/06/30,187亿,149亿,3.03万,1.22,11.70,10.52,590亿,26.93,298亿,-6.24亿,298亿,227亿,16.87,539亿,2.89,0.00,3.93万亿,生词本,87.0亿,7.14亿,3.71万亿,0,0,94.37,2183亿,5.55,594亿,3.12,0,0,1999/11/10
2,600004,白云机场,2014/06/30,11.5亿,11.5亿,1.79万,0.46,6.80,6.56,26.8亿,8.90,7.02亿,120万,7.18亿,5.24亿,16.17,28.9亿,2.51,34.07,106亿,34.0亿,68.3亿,1991万,24.1亿,22.3亿,1.81亿,22.81,78.2亿,74.06,32.1亿,2.80,0,0,2003/04/28
3,600005,武钢股份,2014/06/30,101亿,101亿,2.53万,0.04,3.58,1.18,409亿,-7.78,6.07亿,4973万,6.41亿,4.28亿,-7.10,112亿,1.11,7.06,978亿,273亿,594亿,10.5亿,604亿,596亿,8.06亿,61.74,362亿,36.97,101亿,1.00,0,0,1999/08/03
4,600006,东风汽车,2014/06/30,20.0亿,20.0亿,1.21万,0.06,3.04,2.03,89.6亿,-11.08,1.83亿,2.34亿,1.91亿,1.22亿,182.73,27.3亿,1.36,12.14,199亿,136亿,32.2亿,5.94亿,120亿,104亿,16.2亿,60.33,60.7亿,30.48,6.38亿,0.33,0,0,1999/07/27
5,600007,中国国贸,2014/06/30,10.1亿,10.1亿,3.47万,0.28,4.93,5.73,10.8亿,6.19,3.75亿,581万,3.78亿,2.83亿,23.21,16.0亿,1.59,46.11,93.0亿,6.62亿,12.8亿,12.2亿,43.3亿,8.25亿,35.0亿,46.52,49.7亿,53.46,18.7亿,1.86,0,0,1999/03/12
6,600008,首创股份,2014/06/30,22.0亿,22.0亿,1.21万,0.06,2.68,2.16,18.1亿,26.62,2.09亿,4242万,2.17亿,1.30亿,1.00,12.6亿,0.57,38.03,266亿,117亿,44.8亿,63.1亿,172亿,86.7亿,85.7亿,64.72,58.9亿,22.11,16.4亿,0.75,0,0,2000/04/27
7,600009,上海机场,2014/06/30,19.3亿,10.9亿,1.20万,0.53,9.03,5.89,27.5亿,11.23,13.8亿,3.13亿,13.8亿,10.3亿,15.17,116亿,6.01,41.67,219亿,86.0亿,100亿,3.44亿,41.7亿,16.7亿,25.0亿,19.00,174亿,79.31,25.8亿,1.34,0,0,1998/02/18
8,600010,包钢股份,2014/06/30,80.0亿,78.7亿,1.99万,0.00,2.36,0.19,147亿,-23.65,9412万,2610万,8821万,3658万,-68.20,17.2亿,0.22,7.67,918亿,298亿,234亿,22.3亿,727亿,536亿,192亿,79.23,189亿,20.56,81.6亿,1.03,0,0,2001/03/09
9,600011,华能国际,2014/06/30,141亿,105亿,13.4万,0.48,4.52,10.26,646亿,0.85,111亿,7.82亿,114亿,67.0亿,13.70,260亿,1.85,24.77,2636亿,345亿,1588亿,104亿,1862亿,1007亿,855亿,70.62,636亿,24.11,166亿,1.18,0,35.6亿,2001/12/06
10,600012,皖通高速,2014/06/30,16.6亿,11.7亿,3.25万,0.26,4.30,6.07,11.6亿,3.48,5.85亿,7650万,5.86亿,4.38亿,-4.94,42.6亿,2.57,56.92,126亿,18.3亿,8.35亿,89.3亿,47.5亿,31.4亿,16.1亿,37.53,71.3亿,56.41,2.81亿,0.17,0,4.93亿,2003/01/07
11,600015,华夏银行,2014/06/30,89.0亿,64.9亿,4.84万,0.97,9.84,9.66,264亿,18.78,115亿,3.26亿,116亿,86.7亿,18.77,294亿,2.86,0.00,1.78万亿,0,86.3亿,8900万,1.69万亿,0,0,94.82,915亿,5.14,299亿,3.33,0,0,2003/09/12
12,600016,民生银行,2014/06/30,340亿,271亿,5.36万,0.75,6.53,12.11,651亿,11.73,343亿,18.8亿,344亿,256亿,11.44,805亿,2.36,0.00,3.57万亿,0,279亿,52.6亿,3.34万亿,0,0,93.58,2222亿,6.22,481亿,1.67,0,69.3亿,2000/12/19
13,600017,日照港,2014/06/30,30.8亿,26.3亿,2.13万,0.13,3.17,4.16,26.1亿,4.46,5.74亿,457万,5.76亿,4.01亿,-1.65,32.5亿,1.06,29.61,173亿,32.1亿,97.4亿,9.96亿,64.3亿,21.4亿,42.9亿,37.14,97.6亿,56.40,29.6亿,0.96,0,0,2006/10/17
14,600018,上港集团,2014/06/30,228亿,228亿,6.25万,0.13,2.19,5.77,138亿,0.45,39.5亿,5.36亿,43.6亿,29.3亿,14.95,161亿,0.71,36.82,890亿,161亿,339亿,136亿,335亿,226亿,109亿,37.66,499亿,56.05,76.1亿,0.34,0,0,2006/10/26
15,600019,宝钢股份,2014/06/30,165亿,164亿,3.53万,0.19,6.79,2.83,976亿,1.56,44.6亿,2.18亿,44.7亿,31.5亿,-14.82,386亿,2.34,9.33,2289亿,823亿,832亿,91.6亿,1071亿,943亿,128亿,46.78,1119亿,48.88,328亿,2.01,0,0,2000/12/12
16,600020,中原高速,2014/06/30,22.5亿,22.5亿,2.01万,0.14,3.18,4.37,14.5亿,0.62,3.81亿,1.63亿,3.86亿,3.12亿,63.87,21.2亿,0.94,60.87,381亿,63.1亿,165亿,78.9亿,310亿,82.6亿,227亿,81.22,71.5亿,18.74,17.7亿,0.79,0,0,2003/08/08
17,600021,上海电力,2014/06/30,21.4亿,21.4亿,1.80万,0.25,3.65,6.74,75.6亿,2.82,9.91亿,3.76亿,10.5亿,5.29亿,12.91,18.2亿,0.85,21.65,413亿,52.8亿,247亿,7.26亿,293亿,124亿,169亿,71.09,78.1亿,18.91,32.8亿,1.70,0,0,2003/10/29
18,600022,山东钢铁,2014/06/30,64.4亿,53.4亿,2.35万,-0.12,1.90,-6.32,272亿,-26.01,-7.79亿,165万,-7.88亿,-7.97亿,0.00,-26.2亿,-0.41,1.81,483亿,97.4亿,324亿,1.58亿,360亿,315亿,45.2亿,74.58,122亿,25.31,76.6亿,1.19,0,0,2004/06/29
19,600023,浙能电力,2014/06/30,118亿,7.91亿,8266,0.25,3.14,8.14,193亿,-19.74,40.1亿,15.8亿,41.1亿,30.1亿,2.38,90.9亿,0.77,19.80,894亿,178亿,385亿,16.1亿,456亿,195亿,261亿,50.99,371亿,41.55,154亿,1.97,0,0,2013/12/19
20,600026,中海发展,2014/06/30,34.0亿,21.1亿,3.63万,0.01,6.23,0.20,63.2亿,20.43,1.93亿,1.15亿,1.11亿,4260万,0.00,108亿,3.17,13.31,639亿,72.0亿,455亿,1915万,418亿,159亿,259亿,65.43,212亿,33.17,50.8亿,1.50,0,13.0亿,2002/05/23
21,600027,华电国际,2014/06/30,88.1亿,58.8亿,4.59万,0.30,3.21,11.14,338亿,6.91,42.9亿,2.86亿,43.5亿,26.8亿,58.04,91.6亿,1.04,23.81,1814亿,192亿,1138亿,156亿,1467亿,681亿,786亿,80.89,240亿,13.24,57.2亿,0.78,0,17.2亿,2005/02/03
22,600028,中国石化,2014/06/30,1168亿,913亿,18.0万,0.27,5.03,5.37,1.36万亿,-4.17,448亿,22.5亿,446亿,314亿,6.84,2384亿,2.04,8.43,1.43万亿,4207亿,6532亿,662亿,7864亿,6050亿,1815亿,55.01,5876亿,41.10,412亿,0.33,0,255亿,2001/08/08
23,600029,南方航空,2014/06/30,98.2亿,70.2亿,4.01万,-0.10,3.33,-3.03,502亿,9.15,-21.6亿,8000万,-10.7亿,-10.2亿,-437.09,73.3亿,0.75,9.29,1778亿,248亿,1241亿,25.3亿,1367亿,500亿,868亿,76.91,327亿,18.41,144亿,1.47,0,27.9亿,2003/07/25
24,600030,中信证券,2014/06/30,110亿,98.1亿,1.95万,0.37,7.99,4.56,105亿,74.38,36.0亿,33.1亿,58.2亿,40.8亿,93.19,279亿,2.39,0.00,3397亿,0,8.90亿,18.0亿,2483亿,0,0,73.09,897亿,26.41,335亿,3.14,0,11.8亿,2003/01/06
25,600031,三一重工,2014/06/30,76.2亿,75.9亿,1.54万,0.18,3.29,5.50,197亿,-10.70,14.3亿,2.11亿,16.4亿,13.7亿,-48.34,146亿,1.92,27.37,685亿,425亿,159亿,47.5亿,422亿,254亿,168亿,61.61,251亿,36.63,8.76亿,0.02,0,0,2003/07/03
26,600033,福建高速,2014/06/30,27.4亿,27.4亿,2.13万,0.12,2.75,4.24,12.8亿,2.60,5.56亿,-4599万,5.79亿,3.24亿,9.77,23.9亿,0.87,66.89,189亿,10.1亿,171亿,0,96.6亿,24.3亿,72.3亿,51.12,75.6亿,40.00,17.2亿,0.63,0,0,2001/02/09
27,600035,楚天高速,2014/06/30,12.1亿,12.1亿,2.60万,0.11,2.95,3.62,5.54亿,11.75,2.07亿,0,2.07亿,1.29亿,-7.01,11.1亿,0.91,65.99,139亿,18.2亿,5.30亿,71.8亿,99.2亿,33.0亿,66.2亿,71.34,35.7亿,25.66,6.01亿,0.94,0,0,2004/03/10
28,600036,招商银行,2014/06/30,252亿,206亿,4.93万,1.21,11.34,10.75,843亿,31.54,400亿,42.2亿,403亿,305亿,15.94,1259亿,4.99,0.00,5.03万亿,0,241亿,32.2亿,4.75万亿,0,0,94.31,2859亿,5.68,667亿,2.59,0,45.9亿,2002/04/09
29,600037,歌华有线,2014/06/30,10.6亿,10.6亿,1.11万,0.18,5.53,3.23,11.3亿,10.28,4158万,1024万,2.52亿,1.90亿,23.06,22.3亿,2.10,11.98,103亿,40.4亿,47.6亿,9775万,44.1亿,11.2亿,32.9亿,42.88,58.6亿,57.07,20.5亿,1.94,0,0,2001/02/08
30,600038,哈飞股份,2014/06/30,5.89亿,3.37亿,1.44万,0.26,10.15,2.55,54.4亿,401.10,1.74亿,-318万,1.83亿,1.53亿,179.48,8.08亿,1.37,11.04,191亿,153亿,25.2亿,5.64亿,131亿,123亿,7.38亿,68.53,59.8亿,31.40,42.3亿,6.36,0,0,2000/12/18
31,600039,四川路桥,2014/06/30,15.1亿,5.47亿,1.04万,0.35,4.62,7.72,107亿,26.12,6.32亿,11.3万,6.30亿,5.22亿,111.13,24.2亿,1.60,10.84,470亿,241亿,27.1亿,158亿,393亿,254亿,139亿,83.61,69.7亿,14.82,24.7亿,1.65,0,0,2003/03/25
32,600048,保利地产,2014/06/30,107亿,107亿,6.39万,0.36,5.00,7.21,340亿,11.31,58.4亿,4.50亿,58.2亿,38.2亿,12.19,343亿,3.20,23.42,3521亿,3413亿,19.9亿,1677万,2801亿,1826亿,975亿,79.56,535亿,15.20,74.4亿,1.53,0,0,2006/07/31
33,600050,中国联通,2014/06/30,212亿,212亿,2.77万,0.10,3.58,2.93,1535亿,3.27,85.2亿,2.23亿,88.0亿,22.2亿,25.71,271亿,1.28,30.23,5188亿,536亿,3540亿,234亿,2936亿,2695亿,242亿,56.59,760亿,14.64,268亿,1.26,0,0,2002/10/09
34,600051,宁波联合,2014/06/30,3.11亿,3.02亿,8900,0.36,5.71,6.06,19.7亿,73.02,2.57亿,3097万,2.65亿,1.10亿,2571.03,6.93亿,2.23,19.59,73.4亿,57.1亿,7.24亿,8426万,53.9亿,47.7亿,6.24亿,73.40,17.8亿,24.18,5.68亿,2.37,0,0,1997/04/10
35,600052,浙江广厦,2014/06/30,8.72亿,8.72亿,1.45万,-0.14,1.92,-6.80,4.60亿,-42.04,-8555万,81.6万,-8879万,-1.20亿,-489.72,6.36亿,0.73,33.82,106亿,96.1亿,4.33亿,5824万,89.3亿,68.0亿,21.4亿,84.18,16.7亿,15.77,2793万,0.03,0,0,1997/04/15
36,600053,中江地产,2014/06/30,4.34亿,4.34亿,3.45万,0.04,1.89,2.19,1.40亿,-14.86,2788万,0,2767万,1794万,207.98,1.63亿,0.38,38.11,28.4亿,26.9亿,3453万,0,20.2亿,18.0亿,2.21亿,71.15,8.19亿,28.85,1.89亿,0.44,0,0,1997/04/18
37,600054,黄山旅游,2014/06/30,4.71亿,1.18亿,5991,0.24,4.51,5.42,6.22亿,-10.59,1.59亿,183万,1.60亿,1.13亿,55.27,12.7亿,2.70,40.94,33.7亿,12.1亿,18.1亿,8164万,12.2亿,11.3亿,8856万,36.12,21.2亿,63.08,1.32亿,0.28,1.56亿,0,1997/05/06
38,600055,华润万东,2014/06/30,2.16亿,2.16亿,1.30万,0.05,3.08,1.63,3.05亿,-9.73,42.4万,10.4万,945万,1091万,-36.46,2.60亿,1.20,33.99,10.8亿,6.41亿,2.11亿,641万,4.02亿,3.79亿,2359万,37.36,6.66亿,61.78,1.13亿,0.53,0,0,1997/05/19
39,600056,中国医药,2014/06/30,10.1亿,8.84亿,2.05万,0.29,4.46,7.09,87.4亿,63.81,4.04亿,9.95万,4.11亿,2.84亿,7.92,14.3亿,1.41,11.19,140亿,113亿,12.3亿,2.41亿,90.3亿,71.6亿,18.7亿,64.49,45.1亿,32.22,18.7亿,2.31,0,0,1997/05/15
40,600057,象屿股份,2014/06/30,8.60亿,2.90亿,9536,0.19,2.29,8.46,219亿,51.02,2.08亿,2.60亿,2.77亿,1.60亿,0.00,8.93亿,1.04,2.85,148亿,124亿,2.97亿,3.45亿,126亿,122亿,3.70亿,84.92,19.7亿,13.25,1.67亿,0.19,0,0,1997/06/04
41,600058,五矿发展,2014/06/30,10.7亿,10.7亿,9269,0.02,7.89,0.30,697亿,-9.40,-2.27亿,2.18亿,-2.27亿,2578万,-86.49,26.6亿,2.48,1.84,553亿,410亿,97.8亿,11.0亿,448亿,418亿,30.6亿,81.07,84.6亿,15.29,38.0亿,3.54,0,0,1997/05/28
42,600059,古越龙山,2014/06/30,8.09亿,8.09亿,1.37万,0.10,4.43,2.56,6.61亿,-23.14,8466万,156万,8523万,6332万,-38.39,7.15亿,0.88,36.32,39.6亿,24.3亿,11.7亿,1.55亿,3.43亿,3.30亿,1275万,8.67,35.8亿,90.58,18.8亿,1.51,0,0,1997/05/16
43,600060,海信电器,2014/06/30,13.1亿,13.1亿,1.63万,0.47,7.67,6.01,133亿,-2.54,6.77亿,2894万,7.14亿,6.13亿,-24.37,49.7亿,3.80,15.78,195亿,165亿,14.0亿,2.01亿,91.4亿,90.9亿,5295万,47.01,100亿,51.58,22.6亿,1.72,0,0,1997/04/22
44,600061,中纺投资,2014/06/30,4.29亿,4.29亿,1.52万,0.01,1.40,0.44,19.8亿,1.46,337万,-109万,324万,261万,-40.64,1.33亿,0.31,4.81,21.8亿,18.3亿,2.57亿,6328万,15.8亿,15.7亿,735万,72.49,5.99亿,27.46,1416万,0.03,0,0,1997/05/19
45,600062,华润双鹤,2014/06/30,5.72亿,5.72亿,1.97万,0.55,9.54,5.78,21.6亿,-43.30,3.75亿,2.06万,3.87亿,3.15亿,-7.48,34.2亿,5.98,46.98,65.3亿,39.0亿,18.7亿,2.43亿,10.7亿,9.57亿,1.13亿,16.39,54.5亿,83.55,11.6亿,2.04,0,0,1997/05/22
46,600063,皖维高新,2014/06/30,15.0亿,15.0亿,2.09万,0.04,1.63,2.52,20.4亿,35.05,6245万,1064万,7928万,6117万,0.00,-39.2万,0.00,17.32,62.4亿,17.3亿,34.3亿,2.02亿,36.7亿,24.2亿,12.5亿,58.73,24.4亿,39.01,8.03亿,0.54,0,0,1997/05/28
47,600064,南京高科,2014/06/30,5.16亿,5.16亿,1.07万,0.51,9.68,5.26,15.6亿,-14.27,3.11亿,2.66亿,3.11亿,2.64亿,10.56,16.5亿,3.20,23.80,167亿,104亿,1.48亿,1453万,113亿,103亿,9.26亿,67.52,50.0亿,29.98,24.2亿,4.95,0,0,1997/05/06
48,600066,宇通客车,2014/06/30,12.7亿,12.4亿,2.41万,0.55,6.93,7.74,93.4亿,-3.33,7.32亿,4544万,7.92亿,6.97亿,10.25,44.1亿,3.47,19.11,163亿,118亿,29.3亿,6.05亿,74.3亿,70.3亿,4.03亿,45.68,88.3亿,54.26,22.8亿,1.76,0,0,1997/05/08
49,600067,冠城大通,2014/06/30,11.9亿,11.9亿,1.91万,0.31,5.77,7.64,35.8亿,-17.68,4.96亿,1136万,5.09亿,3.73亿,-67.49,34.8亿,2.92,19.36,177亿,139亿,9.76亿,3869万,112亿,86.2亿,25.9亿,63.48,50.6亿,28.69,1.31亿,0.10,0,0,1997/05/08
50,600068,葛洲坝,2014/06/30,46.0亿,34.9亿,1.31万,0.31,3.99,7.76,357亿,23.65,16.6亿,708万,18.0亿,12.6亿,48.65,67.1亿,1.46,11.13,962亿,604亿,102亿,152亿,736亿,515亿,221亿,76.49,184亿,19.10,63.6亿,1.00,0,0,1997/05/26
51,600069,银鸽投资,2014/06/30,8.25亿,8.25亿,1.13万,-0.18,1.73,-9.84,15.2亿,-6.17,-2.14亿,0,-1.98亿,-1.48亿,0.00,-2.40亿,-0.29,5.38,65.5亿,27.2亿,26.4亿,2.41亿,50.8亿,34.1亿,16.6亿,77.51,14.3亿,21.80,7.70亿,0.93,0,0,1997/04/30
52,600070,浙江富润,2014/06/30,2.74亿,2.74亿,1.52万,0.03,3.06,0.95,4.97亿,-8.37,2464万,806万,2420万,820万,-68.60,1.98亿,0.72,11.56,18.2亿,7.38亿,3.70亿,5599万,7.17亿,5.55亿,1.61亿,39.43,8.39亿,46.13,3.08亿,2.27,0,0,1997/06/04
53,600071,凤凰光学,2014/06/30,2.37亿,2.37亿,8527,-0.07,2.42,-3.04,4.18亿,31.69,-2238万,458万,-2238万,-1774万,0.00,1.57亿,0.66,4.38,11.2亿,5.57亿,4.05亿,3277万,3.58亿,3.37亿,2100万,32.06,5.75亿,51.60,1.10亿,0.46,0,0,1997/05/28
54,600072,*ST钢构,2014/06/30,4.78亿,4.78亿,6067,-0.11,2.27,-4.92,3.43亿,7.57,-5780万,321万,-5463万,-5471万,0.00,6191万,0.13,2.72,22.0亿,11.9亿,7.32亿,8780万,10.5亿,9.48亿,1.02亿,47.79,10.8亿,49.35,4.19亿,0.88,0,0,1997/06/03
55,600073,上海梅林,2014/06/30,8.23亿,7.76亿,1.19万,0.10,2.45,4.20,52.7亿,8.96,1.06亿,1430万,1.17亿,8388万,11.17,2.23亿,0.27,14.48,54.7亿,30.1亿,11.2亿,2.17亿,31.8亿,29.9亿,1.83亿,58.03,20.2亿,36.81,9.22亿,1.12,0,0,1997/07/04
56,600074,中达股份,2014/06/30,8.96亿,8.96亿,1.77万,0.03,0.70,5.47,3.74亿,-45.08,3321万,4422万,3409万,2877万,0.00,-8.31亿,-0.93,12.46,9.79亿,2.89亿,3.33亿,1.86亿,2.30亿,2.12亿,1804万,23.53,6.24亿,63.75,5.10亿,-0.02,0,0,1997/06/23
57,600075,*ST新业,2014/06/30,4.39亿,4.39亿,8115,0.07,3.51,2.08,20.0亿,5.91,2826万,1.13亿,3490万,3154万,0.00,6.58亿,1.50,10.44,52.1亿,36.6亿,9.51亿,2.28亿,31.9亿,31.7亿,2252万,61.28,15.4亿,29.56,2.52亿,0.56,0,0,1997/06/17
58,600076,青鸟华光,2014/06/30,3.66亿,3.66亿,1.32万,-0.03,0.35,-8.06,295万,34.08,-1342万,-2233,-1340万,-1070万,0.00,-8.09亿,-2.21,32.18,6.19亿,5.65亿,281万,0,3.70亿,2.50亿,1.20亿,59.75,1.27亿,20.59,4.87亿,1.22,0,0,1997/05/26
59,600077,宋都股份,2014/06/30,10.9亿,4.87亿,2.05万,0.02,2.35,0.62,13.8亿,441.46,5373万,-210万,3292万,1626万,-46.53,18.8亿,1.72,11.63,127亿,124亿,5990万,52.9万,100亿,49.2亿,51.1亿,78.75,25.7亿,20.14,3.84亿,0.45,0,0,1997/05/20
60,600078,澄星股份,2014/06/30,6.63亿,6.63亿,9139,0.03,2.66,1.08,12.3亿,0.03,1430万,0,3402万,1900万,-58.23,5.84亿,0.88,12.11,48.3亿,21.2亿,22.0亿,1.72亿,29.1亿,24.6亿,4.48亿,60.28,17.6亿,36.53,3.81亿,0.58,0,0,1997/06/27
61,600079,人福医药,2014/06/30,5.29亿,5.06亿,3.32万,0.43,8.64,5.13,33.1亿,18.08,4.01亿,670万,4.17亿,2.29亿,10.49,18.3亿,3.46,40.90,105亿,55.0亿,19.7亿,5.69亿,52.3亿,35.2亿,17.1亿,49.83,45.7亿,43.49,20.4亿,3.88,0,0,1997/06/06
62,600080,金花股份,2014/06/30,3.05亿,3.05亿,1.01万,0.06,3.30,1.83,2.73亿,30.90,1706万,51.7万,1793万,1839万,4.41,3.60亿,1.15,56.20,12.2亿,4.08亿,4.06亿,4166万,2.04亿,1.91亿,1314万,16.74,10.2亿,83.14,2.53亿,0.83,0,0,1997/06/12
63,600081,东风科技,2014/06/30,3.14亿,3.14亿,1.66万,0.35,2.86,12.35,24.7亿,58.42,2.10亿,5213万,2.10亿,1.10亿,-10.97,4.81亿,1.53,21.54,42.0亿,26.6亿,7.34亿,1.62亿,28.1亿,27.7亿,3517万,66.77,8.96亿,21.32,1523万,0.03,0,0,1997/07/03
64,600082,海泰发展,2014/06/30,6.46亿,6.30亿,9348,0.02,2.66,0.93,2.81亿,-23.22,656万,134万,2156万,1595万,-45.53,5.66亿,0.88,12.75,33.7亿,32.3亿,4290万,33.3万,16.5亿,12.9亿,3.60亿,48.95,17.2亿,51.05,4.13亿,0.64,0,0,1997/06/20
65,600083,博信股份,2014/06/30,2.30亿,2.26亿,1.23万,0.01,0.15,6.20,3366万,87.38,542万,0,542万,202万,0.00,-2.94亿,-1.28,27.87,9176万,6374万,300万,721万,5139万,5041万,97.7万,56.00,3415万,37.22,9644万,0.42,0,0,1997/06/06
66,600084,中葡股份,2014/06/30,8.10亿,8.10亿,2.41万,-0.10,1.08,-8.61,1.54亿,-4.38,-8582万,-13.3万,-8035万,-7863万,0.00,-15.7亿,-1.94,46.71,28.0亿,21.0亿,3.39亿,1.38亿,19.8亿,17.0亿,2.79亿,70.65,8.74亿,31.19,15.5亿,1.92,0,0,1997/07/11
67,600085,同仁堂,2014/06/30,13.1亿,13.1亿,1.52万,0.33,3.96,8.13,51.9亿,8.96,8.73亿,278万,8.78亿,4.26亿,14.35,24.0亿,1.83,43.72,130亿,108亿,11.2亿,3.13亿,48.4亿,37.7亿,10.7亿,37.32,52.0亿,40.06,10.9亿,0.82,0,0,1997/06/25
68,600086,东方金钰,2014/06/30,3.52亿,3.52亿,1.23万,0.20,2.73,7.46,25.0亿,-43.51,8733万,3635万,8674万,6918万,-47.14,4.06亿,1.15,7.92,59.8亿,53.5亿,9752万,123万,50.2亿,44.8亿,5.40亿,83.91,9.62亿,16.09,1.67亿,0.48,0,0,1997/06/06
69,600088,中视传媒,2014/06/30,3.31亿,3.31亿,8320,0.08,3.36,2.36,3.12亿,-40.24,3534万,0,3540万,2649万,-36.59,3.40亿,1.03,21.61,14.3亿,9.80亿,4.26亿,0,2.82亿,2.82亿,0,19.65,11.1亿,77.61,3.20亿,0.97,0,0,1997/06/16
70,600089,特变电工,2014/06/30,32.4亿,31.7亿,1.02万,0.28,5.91,5.07,171亿,48.37,9.41亿,-1725万,10.9亿,9.17亿,35.95,71.1亿,2.20,16.15,543亿,315亿,172亿,24.8亿,342亿,244亿,97.7亿,62.95,187亿,34.48,78.1亿,1.78,0,0,1997/06/18
71,600090,啤酒花,2014/06/30,3.68亿,3.68亿,6293,0.08,1.55,5.30,6.31亿,-14.57,7851万,28.3万,8224万,2946万,-60.59,-2.20亿,-0.60,30.56,13.9亿,6.73亿,5.32亿,5574万,3.93亿,3.86亿,707万,28.39,5.71亿,41.20,3.85亿,1.05,0,0,1997/06/16
72,600091,ST明科,2014/06/30,3.37亿,3.37亿,1.30万,-0.23,1.10,-19.03,770万,-43.43,-8842万,-2918万,-7794万,-7794万,0.00,-12.5亿,-3.71,-0.83,12.7亿,4.68亿,1426万,1.18亿,8.95亿,8.68亿,2630万,70.70,3.71亿,29.30,12.2亿,3.62,0,0,1997/07/04
73,600093,禾嘉股份,2014/06/30,3.22亿,3.22亿,8583,0.08,1.39,5.72,2.08亿,1.78,3083万,0,3110万,2493万,29.75,7856万,0.24,27.82,7.31亿,3.66亿,2.32亿,1246万,2.82亿,2.77亿,531万,38.61,4.49亿,61.37,3429万,0.14,0,0,1997/06/26
74,600094,大名城,2014/06/30,15.1亿,1.99亿,7977,0.06,1.79,3.20,11.3亿,-18.96,1.97亿,10.9万,1.93亿,8545万,-58.98,5.62亿,0.37,36.06,200亿,189亿,5.08亿,0,154亿,89.7亿,64.0亿,76.78,27.1亿,13.55,4.12亿,0.27,1.99亿,0,1997/07/03
75,600095,哈高科,2014/06/30,3.61亿,3.61亿,6504,0.00,1.92,-0.15,2.86亿,176.34,-52.8万,-98.3万,57.9万,-104万,0.00,2102万,0.06,23.58,12.8亿,8.53亿,2.22亿,3148万,5.61亿,4.43亿,1.19亿,43.78,6.92亿,53.96,2.73亿,0.79,0,0,1997/07/08
76,600096,云天化,2014/06/30,11.3亿,5.21亿,9661,-0.85,6.34,-12.41,236亿,-9.61,-11.1亿,3532万,-9.36亿,-9.61亿,0.00,4.57亿,0.41,8.66,726亿,362亿,170亿,47.5亿,641亿,510亿,130亿,88.23,71.6亿,9.85,40.8亿,7.36,0,0,1997/07/09
77,600097,开创国际,2014/06/30,2.03亿,1.15亿,8064,0.19,4.20,4.38,4.25亿,0.66,-5334万,0,3790万,3790万,-42.04,3.69亿,1.82,10.99,13.8亿,6.22亿,6.53亿,0,5.32亿,5.03亿,2832万,38.43,8.52亿,61.57,2549万,0.06,0,0,1997/06/19
78,600098,广州发展,2014/06/30,27.3亿,24.4亿,3.57万,0.24,4.95,4.70,90.5亿,16.37,10.4亿,3.03亿,11.0亿,6.45亿,22.66,44.9亿,1.65,16.11,335亿,73.9亿,164亿,5.35亿,168亿,51.4亿,116亿,49.97,136亿,40.46,38.2亿,1.39,0,0,1997/07/18
79,600099,林海股份,2014/06/30,2.19亿,2.19亿,1.25万,0.01,2.14,0.32,1.66亿,65.43,178万,0,178万,151万,341.77,3579万,0.11,11.26,5.85亿,3.93亿,1.06亿,2350万,1.05亿,1.05亿,0,18.04,4.79亿,81.96,1.99亿,0.91,0,0,1997/07/04
80,600100,同方股份,2014/06/30,22.0亿,20.7亿,1.13万,0.02,4.78,0.39,98.7亿,4.40,8358万,2.51亿,2.28亿,4193万,-90.20,28.7亿,1.31,20.28,439亿,223亿,50.4亿,22.0亿,304亿,240亿,63.8亿,69.24,105亿,23.93,48.0亿,2.26,0,0,1997/06/27
81,600101,明星电力,2014/06/30,3.24亿,3.24亿,8504,0.17,5.47,3.04,5.66亿,15.93,5620万,1172万,5821万,5365万,-65.25,9.13亿,2.76,17.77,26.4亿,4.50亿,15.0亿,1.74亿,8.18亿,5.09亿,3.08亿,31.03,17.9亿,67.94,4.58亿,1.41,0,0,1997/06/27
