O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
68,002420,毅昌股份,6.50,2.20, 塑胶制品,16.52,68,+1454,2.20,5.57,265,+1236,3.50,6.66,164,+403,9.80,4.01,163,+488,8.51
69,600467,好当家,5.82,0.69, 农牧饲渔,16.42,69,+134,0.69,9.12,106,+758,1.57,3.61,432,+1115,3.93,-0.21,918,+703,1.39
70,600727,鲁北化工,5.23,1.95, 化工行业,16.31,70,+739,1.95,6.53,203,+1470,2.95,2.86,537,+1363,5.87,0.66,559,+1031,2.75
71,300281,金明精机,20.01,6.21, 机械行业,16.18,71,+62,6.21,4.45,364,+2057,5.32,1.92,682,+1623,8.16,-2.36,1413,+1100,6.04
72,300033,同花顺,25.98,5.48, 电子信息,16.08,72,+2353,5.48,-1.68,1400,+1081,3.67,-0.93,1433,+895,7.00,-4.43,1886,+18,6.61
73,300252,金信诺,30.00,7.03, 输配电气,16.07,73,+1920,7.03,0.53,846,+1297,2.74,1.76,719,+1270,9.05,-0.96,1093,+1046,8.38
74,000735,罗 牛 山,6.85,2.09, 农牧饲渔,15.99,74,+164,2.09,11.19,58,+449,4.26,7.78,125,+593,6.53,1.07,482,+689,1.33
75,600695,大江股份,6.88,5.04, 食品行业,15.97,75,+2458,5.04,-1.00,1294,+1222,4.72,0.78,885,+1544,9.21,-3.79,1776,+627,1.18
76,600741,华域汽车,12.49,5.49, 汽车行业,15.86,76,+792,5.49,8.25,131,+1891,6.30,2.80,544,+1418,7.67,-1.84,1290,+923,4.69
77,600215,长春经开,4.71,1.29, 电力行业,15.60,77,+453,1.29,10.95,61,+230,2.39,9.05,71,+136,6.32,2.71,271,+222,1.29
78,002116,中国海诚,13.12,2.10, 工程建设,15.45,78,+705,2.10,5.22,286,+1532,4.13,4.66,317,+1386,8.16,-2.93,1568,+772,2.42
79,000759,中百集团,8.78,3.05, 商业百货,15.39,79,+2125,3.05,4.87,323,+1286,3.91,2.68,560,+1576,6.17,-2.59,1480,+780,3.29
80,002479,富春环保,8.81,0.46, 公用事业,15.38,80,-9,0.46,15.76,23,+20,5.38,12.64,32,+14,7.18,8.40,34,+26,6.27
81,600280,中央商场,12.25,3.46, 商业百货,15.32,81,+2164,3.46,3.54,476,+1643,2.34,2.13,653,+1456,5.51,1.32,445,-41,7.55
82,600307,酒钢宏兴,2.77,1.09, 钢铁行业,15.27,82,+896,1.09,8.25,132,+1550,2.21,2.08,659,+928,6.13,-0.96,1092,+613,-0.72
83,002161,远 望 谷,7.83,1.42, 电子信息,14.91,83,+560,1.42,8.99,110,+635,4.12,5.67,229,+726,6.97,-2.05,1342,+703,1.16
84,600068,葛洲坝,4.37,2.34, 工程建设,14.83,84,+877,2.34,4.97,310,+63,3.07,6.24,192,+378,6.59,4.96,112,+217,7.11
85,600667,太极实业,4.88,2.74, 电子元件,14.77,85,+1547,2.74,6.46,211,+1578,3.17,2.31,613,+850,4.95,1.58,403,+1096,4.05
86,002652,扬子新材,13.21,1.30, 材料行业,14.70,86,+326,1.30,6.84,190,+1236,3.04,2.45,595,+426,4.51,1.00,500,+645,3.45
87,002226,江南化工,11.88,1.97, 化工行业,14.66,87,+97,1.97,10.78,67,+266,5.04,8.98,76,+69,8.00,7.50,46,+51,5.79
88,000861,海印股份,12.22,1.16, 塑胶制品,14.57,88,+332,1.16,4.98,309,+659,3.65,2.65,565,+448,5.44,-0.68,1022,+366,3.47
89,002309,中利科技,22.00,3.92, 输配电气,14.54,89,+78,3.92,14.77,28,+7,10.83,10.27,47,+182,14.70,5.77,85,+204,11.68
90,600114,东睦股份,12.91,3.86, 机械行业,14.51,90,+2004,3.86,3.88,434,+1950,4.11,2.56,576,+1781,6.87,-3.82,1783,+691,2.62
91,000584,友利控股,6.29,3.11, 化纤行业,14.31,91,+1560,3.11,2.89,538,+1881,3.80,-0.56,1352,+1104,7.89,-6.24,2169,+347,3.11
92,600801,华新水泥,7.61,1.74, 水泥建材,14.19,92,+179,1.74,10.73,68,+552,3.54,6.14,198,+556,5.69,2.34,313,+1056,0.93
93,300294,博雅生物,53.99,3.47, 医药行业,14.19,93,+149,3.47,10.58,73,+106,7.40,12.66,31,+1,10.86,7.84,42,+74,8.89
94,600029,南方航空,2.63,2.33, 民航机场,14.12,94,+141,2.33,8.58,122,+419,4.37,4.47,341,+1141,5.20,-0.21,916,+810,4.78
95,000609,绵世股份,11.67,9.99, 房地产,14.09,95,+1601,9.99,9.29,98,+1836,11.67,5.27,273,+2053,18.12,1.44,427,+1376,21.69
96,002030,达安基因,23.92,2.35, 医药行业,14.09,96,+1359,2.35,4.49,357,+1220,1.87,5.01,293,+595,7.84,-1.35,1179,+381,2.53
97,002133,广宇集团,4.59,0.66, 房地产,14.04,97,+509,0.66,-1.48,1373,+645,2.00,-3.36,1868,-57,3.85,0.44,594,+379,5.76
98,002510,天汽模,10.41,1.26, 汽车行业,13.94,98,+845,1.26,1.68,676,+1167,2.87,3.47,450,+580,6.33,0.56,573,+903,4.41
99,002290,禾盛新材,15.14,10.03, 材料行业,13.94,99,+522,10.03,1.03,776,+1480,10.35,-0.88,1422,+992,12.82,-2.39,1419,+937,12.73
100,002425,凯撒股份,13.07,5.49, 纺织服装,13.91,100,+379,5.49,8.69,119,+130,9.37,7.14,145,+261,17.75,4.13,156,+81,9.56
101,601872,招商轮船,3.16,1.94, 港口水运,13.88,101,+1246,1.94,5.80,249,-16,4.64,8.60,88,+69,7.48,4.33,138,+56,3.95
102,300216,千山药机,32.73,10.02, 医药行业,13.85,102,+536,10.02,7.62,158,+150,20.02,7.79,124,+122,28.35,7.79,43,+38,28.35
103,600794,保税科技,10.78,4.97, 交运物流,13.75,103,+1671,4.97,5.02,303,+674,5.27,4.62,321,+570,8.34,4.06,159,+261,9.22
104,002471,中超电缆,9.76,0.62, 输配电气,13.71,104,+104,0.62,4.96,313,+461,1.99,1.59,745,+255,4.16,-2.74,1527,-4,-0.41
105,600502,安徽水利,8.49,3.54, 工程建设,13.65,105,-43,3.54,13.41,35,+21,9.13,11.72,37,+57,11.56,8.00,40,+74,8.85
106,002050,三花股份,14.60,1.46, 机械行业,13.64,106,+630,1.46,4.00,411,+949,2.82,5.67,230,+175,6.34,1.14,471,+628,7.43
107,002208,合肥城建,7.45,3.04, 房地产,13.60,107,+1950,3.04,3.57,472,-77,3.33,5.66,234,+287,11.03,2.93,252,+392,7.50
108,000790,华神集团,10.29,1.18, 综合行业,13.49,108,+2037,1.18,0.64,833,+1068,1.88,-0.36,1300,+647,4.79,-11.70,2496,+27,-2.92
109,600125,铁龙物流,5.77,1.76, 交运物流,13.46,109,-48,1.76,11.72,49,+111,5.10,9.88,57,+111,8.66,4.68,125,+253,5.10
110,603123,翠微股份,10.28,1.48, 商业百货,13.44,110,-75,1.48,14.09,33,+97,6.09,9.66,65,+190,8.44,5.30,103,+495,3.32
111,000498,山东路桥,4.37,1.63, 工程建设,13.42,111,+880,1.63,3.80,444,+1528,2.10,2.99,515,+998,5.81,0.70,554,+987,4.05
112,000400,许继电气,22.13,3.90, 输配电气,13.41,112,+1967,3.90,7.51,162,+677,4.73,5.67,228,+561,6.96,0.78,536,+1287,4.49
113,002327,富安娜,13.18,0.76, 纺织服装,13.41,113,+123,0.76,2.68,566,+827,2.25,4.22,365,+215,5.44,-0.71,1031,+376,2.57
114,000908,天一科技,14.96,2.54, 机械行业,13.39,114,+2151,2.54,6.59,197,+1213,5.65,1.80,710,+1333,7.09,-0.57,994,+932,5.80
115,000719,大地传媒,14.85,0.41, 文化传媒,13.37,115,+2009,0.41,1.53,696,+905,2.41,0.77,891,+839,7.69,-1.48,1216,+155,1.71
116,300204,舒泰神,26.16,4.85, 医药行业,13.35,116,+1539,4.85,7.39,170,+1225,4.89,6.28,187,+385,6.78,4.67,126,+115,8.68
117,600680,上海普天,18.98,2.10, 通讯行业,13.30,117,+1759,2.10,3.48,478,+1435,2.59,1.86,698,+1100,6.51,-3.53,1703,+582,-0.26
118,600806,昆明机床,5.33,4.51, 机械行业,13.23,118,+774,4.51,6.13,229,+566,6.81,6.33,181,+737,12.21,3.55,199,+1106,8.33
119,600336,澳柯玛,5.35,1.33, 家电行业,13.18,119,+533,1.33,3.96,419,+1245,2.29,2.97,521,+896,5.11,-4.17,1844,+411,0.00
120,002035,华帝股份,11.79,2.34, 家电行业,13.14,120,+1897,2.34,5.77,252,+1244,4.52,1.22,806,+1251,6.79,-2.99,1579,+439,5.74
121,000821,京山轻机,9.21,8.10, 机械行业,13.05,121,+1954,8.10,8.29,129,+756,8.35,6.40,176,+626,12.45,1.01,496,+989,7.85
122,002061,江山化工,4.59,0.44, 化工行业,13.05,122,+453,0.44,5.11,295,+1177,1.77,3.95,391,-41,4.08,3.80,184,-29,5.03
123,600704,物产中大,9.96,3.86, 国际贸易,13.01,123,+1779,3.86,6.54,200,+1449,4.73,3.21,488,+1209,7.21,-1.28,1161,+807,4.62
124,300126,锐奇股份,10.89,0.93, 机械行业,13.01,124,+58,0.93,5.20,289,-134,1.87,8.61,86,+89,12.50,6.28,75,+40,13.56
125,600360,华微电子,5.69,3.83, 电子元件,12.97,125,+7,3.83,9.86,85,+134,6.55,8.27,102,+255,9.85,3.89,174,+382,8.38
126,300086,康芝药业,16.02,2.43, 医药行业,12.97,126,+43,2.43,8.80,115,+12,9.73,9.65,66,+75,15.67,4.31,141,+83,12.03
127,000550,江铃汽车,31.99,3.19, 汽车行业,12.93,127,+271,3.19,0.25,885,+1434,2.60,-0.42,1318,+1017,5.96,-4.14,1838,+340,-2.29
128,600742,一汽富维,27.42,9.99, 汽车行业,12.88,128,+2128,9.99,0.81,808,+1703,7.49,-0.20,1263,+1168,8.81,-0.84,1064,+914,10.48
129,002577,雷柏科技,27.28,0.59, 电子信息,12.88,129,+376,0.59,8.79,116,+502,3.69,5.38,263,+359,6.02,2.74,268,-95,1.41
130,300272,开能环保,18.43,0.71, 机械行业,12.78,130,-84,0.71,11.39,53,+175,5.92,7.72,127,+175,9.38,-0.27,928,+635,1.04
131,601998,中信银行,4.45,0.68, 银行,12.69,131,+450,0.68,11.73,48,+51,2.53,8.31,100,+166,3.97,5.01,110,+169,2.30
132,002307,北新路桥,7.19,1.41, 工程建设,12.66,132,+438,1.41,7.05,181,+226,4.81,8.67,83,+81,11.30,2.75,267,+93,3.90
133,600644,乐山电力,9.29,1.42, 电力行业,12.60,133,+744,1.42,9.16,104,+28,6.54,9.05,70,+80,9.42,4.71,124,+102,6.29
134,601179,中国西电,4.06,1.50, 输配电气,12.48,134,+1720,1.50,-0.30,1193,+386,4.10,1.84,702,+968,6.28,-4.33,1868,+284,2.01
135,601106,中国一重,2.27,3.18, 机械行业,12.44,135,+233,3.18,9.04,109,+392,5.09,4.26,360,+1358,6.57,0.55,574,+710,1.79
