O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
608,601866,中海集运,3.03,1.34, 港口水运,3.37,608,+1258,1.34,2.34,593,-290,8.60,5.60,240,+40,13.48,3.79,185,-100,8.99
609,600570,恒生电子,34.79,-0.17, 电子信息,3.36,609,+241,-0.17,0.35,869,+753,0.96,-1.99,1644,+146,10.48,-0.04,877,+117,16.20
610,600583,海油工程,8.28,1.72, 工程建设,3.35,610,+1840,1.72,-5.30,1931,+441,1.72,-3.87,1948,+193,3.50,0.87,523,+119,9.23
611,601607,上海医药,13.92,0.07, 医药行业,3.35,611,+1297,0.07,-0.40,1208,-827,0.22,4.19,370,+60,7.49,2.05,345,+196,7.49
612,600664,哈药股份,7.80,4.42, 医药行业,3.34,612,+357,4.42,5.00,305,-89,8.64,5.46,257,-17,16.77,4.40,135,+92,17.22
613,000533,万 家 乐,4.58,0.22, 家电行业,3.33,613,-218,0.22,3.89,431,+302,2.23,3.90,398,-10,4.57,0.38,601,-118,3.15
614,002560,通达股份,17.98,0.62, 输配电气,3.31,614,-360,0.62,2.94,535,-85,2.16,4.36,357,+44,5.83,1.77,376,+287,2.28
615,002674,兴业科技,13.59,1.12, 纺织服装,3.30,615,+1617,1.12,-3.07,1619,+474,2.26,-3.69,1922,+149,4.46,-9.03,2411,+77,-0.66
616,002728,台城制药,39.10,0.75, 医药行业,3.29,616,+963,0.75,-6.08,2018,-57,-0.15,-2.16,1681,+178,7.36,-4.57,1920,-189,7.12
617,002147,方圆支承,9.04,3.43, 机械行业,3.28,617,+1676,3.43,-3.17,1636,-830,5.24,1.18,812,+682,9.84,-0.65,1019,+129,12.30
618,002493,荣盛石化,12.00,1.44, 化纤行业,3.28,618,-343,1.44,0.79,810,-462,3.54,3.04,505,-124,9.49,6.91,61,-25,11.11
619,300342,天银机电,35.19,1.21, 家电行业,3.27,619,+701,1.21,4.74,335,+15,5.49,4.17,372,+71,9.01,-0.05,879,+467,2.86
620,600338,西藏珠峰,14.26,3.03, 有色金属,3.25,620,+829,3.03,2.43,587,+120,11.76,2.83,541,+16,13.99,2.41,303,+132,16.03
621,002609,捷顺科技,19.78,-0.60, 电子信息,3.23,621,+952,-0.60,0.71,822,-186,3.56,0.76,894,-694,10.56,3.84,177,+134,22.40
622,600663,陆家嘴,17.80,2.06, 房地产,3.22,622,+9,2.06,2.78,551,+164,3.55,3.09,497,+310,5.83,-3.57,1713,+133,1.19
623,002675,东诚药业,20.92,0.63, 医药行业,3.19,623,+1447,0.63,-5.73,1980,-227,0.34,-1.11,1468,+13,4.65,-0.80,1055,+5,1.50
624,600485,中创信测,32.80,1.64, 通讯行业,3.15,624,-95,1.64,0.44,858,+447,3.37,2.67,563,+12,12.87,1.65,395,+26,17.18
625,600099,林海股份,8.93,4.81, 交运设备,3.14,625,+1590,4.81,-1.15,1321,+407,5.31,-1.34,1508,+550,10.38,-3.33,1657,+115,6.82
626,601002,晋亿实业,10.24,1.09, 机械行业,3.13,626,+1392,1.09,-1.79,1417,-363,1.59,0.66,911,+693,5.35,-1.72,1262,+340,-0.39
627,600854,春兰股份,6.04,0.00, 家电行业,3.12,627,+1738,0.00,-1.19,1329,+297,1.68,-1.17,1479,-533,3.07,-1.93,1315,+42,4.14
628,603167,渤海轮渡,11.52,6.27, 港口水运,3.11,628,-490,6.27,6.35,221,-63,17.07,6.07,202,-14,23.08,3.76,188,-55,15.78
629,002670,华声股份,11.68,0.34, 家电行业,3.11,629,+130,0.34,-2.31,1503,+415,1.21,-2.14,1678,-6,4.10,-3.63,1733,-98,0.95
630,600877,中国嘉陵,6.54,0.77, 交运设备,3.10,630,-78,0.77,0.69,826,-306,2.03,2.92,530,+102,9.92,-0.42,957,+231,6.86
631,000651,格力电器,29.58,-0.27, 家电行业,3.09,631,+951,-0.27,2.06,634,-169,1.44,4.38,351,+159,4.01,-7.19,2281,-30,-0.20
632,300327,中颖电子,17.28,0.88, 电子元件,3.09,632,+1211,0.88,-4.86,1884,+377,-0.12,-4.94,2079,-169,1.95,-1.90,1307,-41,6.93
633,601668,中国建筑,3.31,0.91, 工程建设,3.06,633,-530,0.91,8.06,136,+91,3.76,6.24,191,+112,5.41,1.36,438,+44,3.76
634,002318,久立特材,21.05,-0.66, 钢铁行业,3.05,634,+1115,-0.66,-3.45,1672,+685,4.21,-8.44,2369,+112,4.21,-5.78,2117,+49,1.10
635,002689,博林特,7.83,-0.25, 机械行业,3.01,635,+283,-0.25,-1.72,1407,-347,0.77,-0.22,1269,-220,5.24,-0.84,1065,-489,4.68
636,002093,国脉科技,6.14,0.16, 通讯行业,2.97,636,-435,0.16,4.18,392,+637,1.66,1.45,766,-37,5.32,-2.22,1379,+294,0.66
637,601600,中国铝业,3.85,1.85, 有色金属,2.96,637,+1264,1.85,4.56,349,-179,1.58,5.60,241,+101,6.94,-0.34,940,+288,-0.52
638,002642,荣之联,26.84,1.44, 电子信息,2.94,638,+635,1.44,1.23,747,+209,3.31,2.62,568,+412,11.00,1.00,499,+83,11.00
639,600456,宝钛股份,17.35,0.99, 有色金属,2.89,639,+1609,0.99,-3.31,1652,+221,1.82,-1.94,1636,+332,7.56,-3.27,1640,+115,5.09
640,002079,苏州固锝,7.95,0.63, 电子元件,2.87,640,+720,0.63,-2.77,1568,+615,-0.13,-5.03,2087,+61,1.66,-0.71,1030,+155,6.00
641,600337,美克家居,7.12,1.14, 木业家具,2.87,641,+1195,1.14,-1.63,1396,+611,0.85,-1.69,1581,+188,3.34,-0.53,988,+84,3.04
642,300390,天华超净,36.76,1.60, 材料行业,2.86,642,+726,1.60,-3.40,1665,+369,2.11,-0.36,1301,+25,14.45,0.61,566,+113,26.41
643,002046,轴研科技,9.06,0.22, 机械行业,2.84,643,+228,0.22,0.39,863,-110,2.60,2.32,612,+193,8.24,-1.50,1218,+423,2.72
644,002590,万安科技,13.02,-0.69, 交运设备,2.84,644,+293,-0.69,-3.19,1641,-71,1.24,-0.41,1314,+270,5.25,-0.41,956,+99,2.12
645,600684,珠江实业,5.23,0.19, 房地产,2.82,645,-132,0.19,2.26,602,0,1.55,-0.53,1345,+216,3.77,-2.12,1359,+466,-0.38
646,600127,金健米业,5.15,0.00, 农牧饲渔,2.82,646,+1120,0.00,-1.27,1343,+572,1.38,-1.49,1548,+306,4.04,-1.82,1286,-110,-0.96
647,002531,天顺风能,13.82,0.58, 机械行业,2.80,647,-582,0.58,9.07,108,+45,5.18,6.38,177,+34,6.80,3.73,190,+54,10.74
648,601126,四方股份,16.40,1.42, 输配电气,2.75,648,+746,1.42,1.40,710,+742,2.63,0.74,898,+512,6.08,-1.86,1299,-102,0.80
649,601555,东吴证券,9.32,0.54, 券商信托,2.74,649,-216,0.54,2.57,575,-95,5.79,3.21,487,-38,9.13,0.89,520,-153,7.00
650,000511,烯碳新材,9.43,0.43, 房地产,2.74,650,+1756,0.43,-1.86,1425,+720,0.64,-4.77,2058,+25,1.84,-6.29,2179,+48,-2.78
651,000899,赣能股份,5.26,0.38, 电力行业,2.72,651,+1116,0.38,0.90,794,-167,1.15,2.54,579,+185,3.34,-1.20,1148,-505,0.77
652,002356,浩宁达,42.51,-2.03, 仪器仪表,2.72,652,+1227,-2.03,0.26,884,-102,6.70,0.56,935,+568,13.57,0.22,631,+329,27.12
653,002593,日上集团,11.45,3.90, 钢铁行业,2.71,653,+1106,3.90,-0.41,1211,+551,3.71,-1.28,1498,+369,6.51,-5.81,2122,-1855,3.34
654,000955,欣龙控股,5.19,2.57, 化纤行业,2.69,654,-536,2.57,5.40,276,+1367,4.01,-0.57,1358,-648,6.35,-0.58,996,+131,6.79
655,600210,紫江企业,4.55,0.22, 塑胶制品,2.66,655,-344,0.22,4.13,395,+27,4.84,5.79,220,+154,8.59,2.51,292,+803,7.31
656,000690,宝新能源,4.58,0.22, 电力行业,2.66,656,-529,0.22,6.89,186,+235,1.78,4.22,364,-71,3.62,-0.04,876,-255,0.22
657,000692,惠天热电,4.97,2.47, 公用事业,2.65,657,+264,2.47,-4.17,1786,+568,2.47,-4.06,1972,+154,7.58,-2.40,1420,+132,18.90
658,000157,中联重科,4.82,1.05, 机械行业,2.63,658,+823,1.05,3.59,470,-143,2.99,3.72,419,+174,4.10,-0.35,942,+331,1.47
659,600230,沧州大化,10.72,0.19, 化工行业,2.62,659,+323,0.19,-4.04,1763,-280,0.85,-0.17,1261,+462,4.08,-9.46,2433,-109,-4.96
660,002444,巨星科技,11.31,1.25, 材料行业,2.57,660,-140,1.25,7.93,145,+22,2.54,9.88,58,-6,10.23,5.90,83,-29,4.63
661,000538,云南白药,52.43,1.65, 医药行业,2.57,661,+1537,1.65,-4.08,1774,+430,2.60,-3.37,1873,+364,4.76,-11.81,2501,+36,0.00
662,300214,日科化学,5.83,1.75, 塑胶制品,2.54,662,+1077,1.75,-1.53,1381,+643,3.37,-1.91,1630,+408,6.00,-3.71,1749,+200,4.11
663,600766,园城黄金,11.02,1.47, 综合行业,2.53,663,+1643,1.47,-4.09,1775,+430,2.61,-3.39,1878,+466,7.09,-6.90,2248,+190,0.73
664,002428,云南锗业,14.15,0.00, 有色金属,2.52,664,-373,0.00,2.94,533,+389,2.46,0.58,928,+81,4.12,-2.27,1392,+404,3.28
665,300236,上海新阳,40.68,4.98, 材料行业,2.52,665,+1645,4.98,-4.53,1845,+583,3.35,-4.69,2044,-405,4.95,-1.07,1129,+33,10.24
666,600864,哈投股份,8.81,0.23, 公用事业,2.49,666,-450,0.23,4.33,379,+213,2.09,1.52,755,+99,4.63,-3.72,1753,+124,-0.23
667,300004,南风股份,40.49,-0.81, 机械行业,2.47,667,-374,-0.81,-0.45,1221,+664,-3.55,-2.55,1737,+308,-2.79,-1.84,1291,+374,-6.06
668,601918,国投新集,3.77,0.53, 煤炭采选,2.44,668,+1142,0.53,-5.60,1968,+11,1.89,-0.72,1390,+138,5.31,-4.48,1904,+224,-3.70
669,600702,沱牌舍得,15.38,1.18, 酿酒行业,2.43,669,+1825,1.18,-7.47,2131,+196,0.33,-5.68,2159,-284,5.85,-2.58,1476,+266,11.53
670,600708,海博股份,8.38,1.82, 综合行业,2.42,670,+1129,1.82,2.45,585,+231,3.20,0.83,873,+228,5.67,-2.29,1397,+536,2.57
671,600807,天业股份,10.15,2.73, 房地产,2.40,671,+1395,2.73,-2.25,1487,+210,2.63,-0.45,1324,+393,8.56,-1.71,1260,+136,4.75
672,002283,天润曲轴,7.90,0.00, 机械行业,2.37,672,+255,0.00,-5.14,1910,+119,0.64,-3.92,1955,+292,3.67,-4.78,1962,+60,0.77
673,300357,我武生物,31.33,0.90, 医药行业,2.37,673,+707,0.90,3.19,500,+347,3.16,1.44,771,+22,6.93,-1.38,1193,+83,0.45
674,300255,常山药业,26.10,0.77, 医药行业,2.37,674,+1564,0.77,-3.86,1738,+213,1.71,0.79,882,+602,6.31,-0.24,926,+132,2.31
675,000888,峨眉山Ａ,19.77,0.30, 旅游酒店,2.36,675,+151,0.30,0.70,825,+625,0.87,-1.03,1457,+497,4.11,-11.09,2482,+23,0.10
676,600804,鹏博士,15.69,0.51, 电子信息,2.31,676,+1188,0.51,-0.49,1230,+609,1.03,-0.72,1389,+367,3.29,-3.36,1662,+173,1.16
677,002391,长青股份,16.41,1.17, 化工行业,2.30,677,-337,1.17,4.65,344,-26,1.55,8.61,87,-59,6.08,7.79,44,-10,6.08
678,002003,伟星股份,8.90,0.00, 纺织服装,2.29,678,-425,0.00,4.40,372,+399,2.06,1.55,752,+52,4.95,-0.70,1026,+365,3.01
679,002627,宜昌交运,14.82,2.35, 交运物流,2.28,679,+26,2.35,-0.09,1165,+370,2.92,-0.95,1438,+494,5.41,-3.97,1808,+52,2.21
680,002204,大连重工,12.34,5.56, 机械行业,2.26,680,+94,5.56,1.64,681,+953,5.83,1.79,712,+310,13.63,-2.83,1545,+565,6.66
681,000913,钱江摩托,6.99,1.30, 交运设备,2.25,681,+1631,1.30,-9.56,2284,+175,-0.43,-8.33,2363,+70,0.72,3.82,180,-78,0.14
682,601216,内蒙君正,8.35,1.33, 化工行业,2.24,682,+1081,1.33,-1.49,1376,+457,2.45,-0.88,1420,+459,7.05,-3.73,1755,+141,-0.12
683,002033,丽江旅游,14.23,0.14, 旅游酒店,2.24,683,+88,0.14,2.23,605,-53,0.85,1.24,804,-3,3.12,1.85,371,+871,1.07
684,002148,北纬通信,24.96,1.50, 通讯行业,2.23,684,+260,1.50,-1.92,1433,+96,1.13,-0.73,1395,+298,9.00,-3.77,1767,+398,3.14
685,002476,宝莫股份,9.53,-0.73, 化工行业,2.22,685,+1471,-0.73,-2.48,1528,+468,-0.42,-1.91,1629,+433,1.28,-2.00,1329,-631,1.71
686,600822,上海物贸,11.35,3.09, 国际贸易,2.21,686,+1170,3.09,-1.18,1324,+160,2.62,-1.38,1517,+883,6.27,0.20,637,+307,9.87
687,001896,豫能控股,7.29,0.69, 电力行业,2.21,687,+105,0.69,1.98,644,+33,1.39,1.14,820,+283,4.44,-2.35,1408,+10,-0.82
688,002175,广陆数测,21.00,-0.47, 仪器仪表,2.18,688,+1490,-0.47,-7.33,2121,+269,0.43,-7.33,2319,+140,0.43,-7.33,2298,+164,0.43
689,002353,杰瑞股份,41.26,1.55, 机械行业,2.17,689,+1169,1.55,1.30,731,+693,4.91,-0.51,1339,+308,5.31,0.21,632,+352,7.73
690,000679,大连友谊,7.14,-0.42, 商业百货,2.15,690,+995,-0.42,-6.03,2014,-643,3.03,-1.27,1492,+37,16.86,-0.17,907,+76,20.20
691,600103,青山纸业,2.86,0.70, 造纸印刷,2.15,691,+1309,0.70,-1.00,1293,+392,2.51,-0.09,1248,+540,5.54,-0.28,932,+201,3.25
692,300003,乐普医疗,22.93,0.57, 医药行业,2.14,692,-191,0.57,9.23,99,+45,8.16,6.65,165,+9,9.71,2.31,317,-105,7.45
693,600662,强生控股,7.73,1.05, 交运物流,2.13,693,+224,1.05,3.37,490,-57,3.62,3.40,458,+102,7.06,-1.06,1124,+190,0.26
694,000420,吉林化纤,5.21,0.97, 化纤行业,2.13,694,+1613,0.97,-2.44,1524,+640,1.96,-6.19,2201,+233,4.20,-9.76,2440,+42,-1.88
695,002686,亿利达,12.69,0.63, 家电行业,2.13,695,+1366,0.63,-8.34,2202,+202,0.55,-7.33,2320,+133,4.10,-6.74,2232,+30,-1.32
696,600795,国电电力,2.39,0.84, 电力行业,2.05,696,-524,0.84,8.92,112,+31,2.58,8.87,79,+31,3.46,3.80,182,-50,2.58
697,601168,西部矿业,6.35,1.44, 有色金属,2.04,697,+158,1.44,1.32,725,+733,2.58,-0.47,1329,+411,4.79,-5.69,2106,+213,0.79
698,002300,太阳电缆,7.01,0.00, 输配电气,2.04,698,-322,0.00,2.07,632,-165,1.45,4.07,381,-64,6.37,0.97,507,+50,1.45
699,300105,龙源技术,12.76,1.92, 机械行业,2.03,699,-537,1.92,6.37,219,+85,6.42,4.43,347,-90,9.06,1.00,498,+23,5.02
700,300163,先锋新材,13.35,-0.60, 材料行业,2.02,700,-653,-0.60,9.42,96,-8,8.89,6.13,199,+159,12.18,2.34,314,+35,16.80
701,000019,深深宝Ａ,8.64,0.82, 食品行业,2.02,701,+1071,0.82,-4.49,1837,-1162,0.58,4.64,319,+272,8.41,3.75,189,+65,14.89
702,600192,长城电工,11.07,1.00, 输配电气,2.01,702,+127,1.00,0.17,905,-333,1.84,2.28,626,-15,9.06,0.98,504,+448,6.34
703,002680,黄海机械,25.40,0.00, 机械行业,2.00,703,-167,0.00,3.02,525,+104,3.04,2.17,643,+127,6.23,-0.48,977,+28,3.42
704,600297,美罗药业,9.92,-0.70, 医药行业,1.98,704,+1252,-0.70,1.86,658,-15,7.71,1.72,727,+343,12.47,2.91,256,+38,14.68
705,002658,雪迪龙,23.59,0.38, 仪器仪表,1.98,705,+186,0.38,3.07,517,+525,2.03,2.05,662,+77,4.52,-0.24,925,-571,2.30
706,002608,舜天船舶,12.73,5.91, 交运设备,1.97,706,+936,5.91,-2.41,1515,-11,5.64,-0.37,1303,+33,11.86,-0.40,952,+112,14.07
707,000751,锌业股份,7.19,1.27, 有色金属,1.94,707,+735,1.27,-2.68,1556,+169,1.70,-0.83,1410,+665,6.05,-3.17,1620,+243,-1.24
708,002135,东南网架,4.51,0.00, 工程建设,1.94,708,+4,0.00,-0.36,1202,+795,1.35,-2.85,1789,+411,4.16,-4.85,1970,-58,1.12
709,603002,宏昌电子,7.72,1.05, 化工行业,1.94,709,+612,1.05,1.82,661,+102,2.93,1.92,681,+66,5.03,-1.15,1139,-110,0.39
710,600529,山东药玻,13.35,1.83, 玻璃陶瓷,1.92,710,+1310,1.83,-5.43,1942,-42,0.23,-1.72,1584,+150,4.13,0.84,527,+391,2.85
711,600418,江淮汽车,13.48,0.75, 汽车行业,1.88,711,+1020,0.75,-2.14,1465,+533,0.30,-0.77,1402,-16,5.07,-3.30,1649,+208,3.45
712,300239,东宝生物,11.87,2.95, 医药行业,1.88,712,+1804,2.95,-4.01,1757,+371,6.08,-4.08,1974,+271,10.11,-4.60,1927,+119,5.60
713,601688,华泰证券,8.98,1.58, 券商信托,1.87,713,-252,1.58,3.92,427,-185,4.30,4.90,303,+81,7.16,0.16,651,+335,3.58
714,601336,新华保险,25.48,1.55, 保险,1.87,714,+754,1.55,0.73,818,+31,2.41,1.45,767,+142,5.07,-1.06,1125,+168,4.17
715,600072,*ST钢构,11.96,2.93, 交运设备,1.85,715,+1244,2.93,-7.41,2126,+49,1.36,-3.89,1951,+292,8.33,-3.75,1763,+142,8.24
716,600753,东方银星,14.91,-0.53, 房地产,1.82,716,+932,-0.53,-6.29,2043,-139,-1.06,-3.73,1926,+143,9.23,-6.72,2226,+80,1.64
717,600611,大众交通,7.25,1.12, 交运物流,1.81,717,+1671,1.12,-1.70,1402,+705,1.40,-3.84,1941,+190,2.69,-3.43,1680,+74,1.26
718,600305,恒顺醋业,17.17,-0.35, 食品行业,1.80,718,-611,-0.35,5.85,244,+188,0.41,1.21,808,+669,2.81,-2.42,1427,+216,1.30
719,601137,博威合金,17.50,1.27, 有色金属,1.79,719,-34,1.27,5.47,271,+73,2.46,2.02,666,+159,4.67,0.69,557,+78,2.46
720,300329,海伦钢琴,16.14,0.31, 工艺商品,1.78,720,-532,0.31,1.01,780,-324,1.77,4.38,353,+9,10.85,-0.63,1014,-484,0.44
721,600836,界龙实业,10.59,1.24, 造纸印刷,1.77,721,+845,1.24,0.63,835,+660,2.62,-0.15,1258,+418,4.03,0.29,620,-10,5.79
722,600058,五矿发展,11.87,1.02, 国际贸易,1.75,722,+719,1.02,-0.99,1292,+354,1.89,-0.98,1442,+271,4.21,-1.39,1196,+140,0.25
723,300096,易联众,30.75,0.95, 电子信息,1.73,723,-389,0.95,0.02,933,+948,6.11,-1.35,1512,+382,8.31,-7.62,2330,+9,1.72
724,300210,森远股份,15.72,0.45, 机械行业,1.73,724,+906,0.45,-1.17,1323,+945,5.43,-2.45,1725,-155,10.70,-0.07,885,-173,19.54
725,002393,力生制药,32.10,1.10, 医药行业,1.72,725,-19,1.10,-0.93,1282,+582,2.07,-0.56,1356,+260,5.14,-3.81,1781,-110,-0.31
726,000709,河北钢铁,2.17,1.88, 钢铁行业,1.71,726,+692,1.88,-1.61,1393,+602,3.33,-3.88,1950,+341,5.34,-8.44,2380,-48,-1.36
727,300026,红日药业,27.33,0.63, 医药行业,1.71,727,+761,0.63,-4.51,1840,+374,1.33,-4.16,1984,+256,2.86,-6.33,2187,+111,-1.51
728,002193,山东如意,11.58,0.52, 纺织服装,1.71,728,+1326,0.52,-3.24,1645,+424,2.84,-4.68,2043,+161,4.32,-3.75,1764,-62,4.80
729,600107,美尔雅,6.83,0.59, 纺织服装,1.70,729,+1393,0.59,0.76,815,+1080,2.86,-3.11,1833,+75,3.64,0.13,655,+44,8.41
730,300278,华昌达,17.06,0.00, 机械行业,1.70,730,+1754,0.00,-8.95,2242,+174,0.47,-7.84,2339,+43,2.96,-10.76,2474,-817,-9.30
731,600152,维科精华,9.51,0.96, 纺织服装,1.69,731,+1781,0.96,-12.13,2404,+103,-2.36,-10.16,2427,-231,-2.56,-4.89,1978,-38,0.32
732,600969,郴电国际,14.23,-0.42, 电力行业,1.69,732,-308,-0.42,-5.48,1946,+598,0.64,-17.98,2538,+6,-0.42,-15.02,2537,+1,-7.72
733,000153,丰原药业,10.18,0.30, 医药行业,1.68,733,+996,0.30,3.87,438,+254,6.26,4.79,311,+49,14.64,5.56,94,-45,19.34
734,600236,桂冠电力,3.44,0.00, 电力行业,1.66,734,+1686,0.00,-16.27,2503,+48,0.29,-23.08,2549,+1,1.78,-15.90,2540,-18,-1.71
735,600892,宝诚股份,21.25,2.41, 综合行业,1.66,735,+762,2.41,-1.88,1430,+655,4.17,-2.08,1668,+386,10.85,-5.58,2091,+177,6.30
736,000661,长春高新,98.79,0.91, 医药行业,1.65,736,-168,0.91,3.19,501,+427,3.79,-0.24,1272,+239,5.10,1.25,458,+233,10.31
737,000905,厦门港务,10.08,0.80, 港口水运,1.64,737,-720,0.80,11.03,60,-47,7.35,12.76,30,-21,14.16,7.10,51,-20,7.69
738,002088,鲁阳股份,11.68,3.36, 玻璃陶瓷,1.64,738,-495,3.36,1.19,751,+692,4.47,-0.14,1255,+230,6.57,-3.05,1592,+689,3.27
739,002201,九鼎新材,11.67,1.21, 玻璃陶瓷,1.63,739,+1320,1.21,-3.97,1754,+313,4.01,-2.02,1652,-54,12.54,-0.75,1041,-367,11.35
740,600323,瀚蓝环境,13.31,0.23, 公用事业,1.62,740,-443,0.23,2.81,548,+39,3.18,1.31,791,+58,4.64,-2.88,1555,-73,2.54
741,000410,沈阳机床,7.58,0.66, 机械行业,1.61,741,+1544,0.66,-3.14,1632,+414,1.20,-1.95,1638,+382,4.12,-5.56,2082,+98,0.40
742,000659,*ST中富,3.23,0.31, 塑胶制品,1.60,742,+1451,0.31,-5.22,1921,+444,-0.31,-5.40,2128,+128,4.19,-4.61,1935,-5,5.90
743,000657,中钨高新,14.82,1.30, 有色金属,1.60,743,+1486,1.30,-8.07,2183,+70,-0.47,-3.27,1855,-339,3.20,-4.07,1827,-7,1.02
744,300237,美晨科技,22.88,2.42, 化工行业,1.60,744,+1532,2.42,-3.72,1710,+229,2.37,-3.97,1961,+265,6.47,-5.83,2126,+147,7.72
745,002404,嘉欣丝绸,9.51,1.17, 纺织服装,1.58,745,+113,1.17,-2.37,1506,-143,1.60,0.28,976,+13,3.93,0.10,660,-12,4.97
746,600602,仪电电子,6.85,0.59, 电子元件,1.57,746,+1328,0.59,-1.28,1345,-401,2.70,0.24,992,+386,6.20,-0.04,878,-288,2.09
747,600073,上海梅林,8.81,0.46, 食品行业,1.56,747,-187,0.46,-1.94,1438,+485,1.38,-0.69,1386,-781,3.28,1.51,416,+89,6.14
748,002288,超华科技,10.61,2.22, 电子元件,1.56,748,+206,2.22,-0.47,1227,+576,4.12,-1.41,1528,+334,6.96,-7.36,2303,-184,1.82
749,601700,风范股份,15.01,0.20, 输配电气,1.56,749,-212,0.20,1.01,779,0,5.70,1.86,699,+332,10.37,-0.87,1071,+616,9.24
750,002159,三特索道,22.84,1.69, 旅游酒店,1.56,750,-528,1.69,3.78,447,-131,3.82,6.29,185,-43,4.77,6.97,57,+119,6.13
751,000603,盛达矿业,16.67,2.21, 有色金属,1.53,751,+174,2.21,0.21,896,-40,3.09,0.87,867,+158,7.62,-2.57,1474,+591,2.52
752,600259,广晟有色,45.86,1.12, 有色金属,1.51,752,+1664,1.12,0.70,824,+209,2.66,-0.04,1238,+173,5.55,-3.39,1670,+230,0.04
753,600540,新赛股份,7.04,-0.42, 农牧饲渔,1.51,753,+891,-0.42,0.03,932,+371,1.73,0.86,869,+623,5.39,0.92,516,+19,7.81
754,300041,回天新材,19.17,2.51, 化工行业,1.51,754,-337,2.51,3.74,457,+190,6.80,1.46,764,+233,10.68,-0.33,939,+163,10.81
755,002412,汉森制药,18.97,0.48, 医药行业,1.48,755,+212,0.48,-4.50,1838,+674,1.55,-8.87,2387,+117,2.43,-1.45,1210,-195,4.92
756,002416,爱施德,15.87,2.45, 商业百货,1.47,756,+1585,2.45,-4.66,1859,+232,5.94,-3.48,1893,+235,8.55,-3.33,1656,+92,8.11
757,601006,大秦铁路,8.02,2.04, 交运物流,1.45,757,-27,2.04,0.06,928,-170,7.36,1.16,818,+13,8.38,1.69,385,+29,10.32
758,603366,日出东方,15.99,-0.68, 家电行业,1.42,758,-726,-0.68,16.95,17,-3,6.46,14.68,19,-1,12.61,9.73,23,-6,8.78
759,601339,百隆东方,8.99,0.11, 纺织服装,1.41,759,+636,0.11,-0.24,1183,-196,1.24,1.63,743,+65,4.90,1.34,442,+33,2.28
760,300265,通光线缆,23.72,1.54, 输配电气,1.41,760,+772,1.54,4.14,394,-68,6.42,5.67,231,+151,16.27,3.27,224,+39,11.15
761,000826,桑德环境,25.32,0.84, 公用事业,1.39,761,-480,0.84,4.46,359,-64,3.14,6.26,190,-101,5.72,3.12,236,-28,6.61
762,002380,科远股份,28.82,0.42, 电子信息,1.36,762,+1582,0.42,-5.56,1959,+306,0.10,-3.63,1913,+128,3.48,-5.27,2035,+160,1.51
763,601678,滨化股份,8.79,1.38, 化工行业,1.34,763,+1082,1.38,-2.56,1545,+831,1.74,-3.44,1888,+540,5.65,-5.36,2049,-258,-0.68
764,002676,顺威股份,14.40,0.56, 塑胶制品,1.34,764,+1275,0.56,-0.35,1199,+230,1.41,-0.68,1384,-16,4.42,-0.83,1063,+304,2.13
765,300008,上海佳豪,16.34,2.45, 交运设备,1.32,765,+773,2.45,-0.97,1289,-326,2.90,0.91,862,-510,5.62,-0.87,1070,+575,7.01
766,000426,兴业矿业,11.47,1.59, 有色金属,1.29,766,+1003,1.59,-0.97,1288,+628,3.52,-2.76,1773,+194,7.30,-6.79,2235,+201,-1.97
767,002087,新野纺织,4.39,2.81, 纺织服装,1.27,767,+1031,2.81,3.49,477,-212,5.02,2.84,538,-289,7.07,2.26,324,-37,5.78
768,300200,高盟新材,12.78,0.00, 材料行业,1.23,768,+130,0.00,0.08,922,+820,1.83,-0.49,1333,+4,4.84,-4.87,1974,+289,-0.47
769,002615,哈尔斯,25.16,2.44, 工艺商品,1.23,769,+868,2.44,-2.14,1467,+353,2.74,-2.63,1752,+194,5.98,-3.32,1654,-322,1.78
770,002677,浙江美大,14.10,0.43, 家电行业,1.23,770,-609,0.43,5.59,263,+283,2.32,0.73,901,+429,5.15,-0.63,1015,-75,2.10
771,600527,江南高纤,5.15,0.00, 化纤行业,1.22,771,-647,0.00,6.47,210,+495,1.38,4.72,314,-1,6.40,2.70,272,+67,2.39
772,600015,华夏银行,8.70,0.81, 银行,1.21,772,+1732,0.81,-5.88,2000,-579,1.40,-0.85,1416,+183,3.20,0.32,612,+108,2.11
773,002504,东光微电,13.16,-0.15, 电子元件,1.20,773,-208,-0.15,-0.62,1249,+520,2.09,-1.88,1624,+307,5.87,-5.31,2045,+235,-4.29
