Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
845,672,上峰水泥,6.11,0.16,0.005,-0.041,-0.11,0.228,-0.371,-0.24,-1.899,1,3,5,0,0,0,14.08,13.71,0.38
846,418,小天鹅Ａ,11.97,1.27,0.005,0.018,0.99,-0.375,-0.864,-0.87,-1.561,1,1,2,0,0,0,17.77,17.13,0.63
847,600894,广日股份,13.74,0.66,0.004,0.013,2.46,0.057,0.129,0.077,0.259,1,3,5,3.07,3.48,-0.41,32.76,31.38,1.37
848,600085,同仁堂,19.13,1.7,0.004,-0.004,0.17,-0.189,-0.009,-0.26,-0.23,1,3,6,20.3,13,7.29,18.25,24.99,-6.74
849,2500,山西证券,7.61,0.93,0.004,-0.084,-3.69,-0.119,-0.058,-0.637,-0.805,1,2,4,10.76,7.26,3.5,31.94,35.08,-3.14
850,2489,浙江永强,12.82,0.08,0.004,0.143,5.76,0.263,0.766,-0.192,0.151,2,4,5,0,0,0,23.1,22.63,0.46
851,756,新华制药,6.82,0.29,0.004,0.062,0.96,-0.214,0.35,-0.946,-1.027,1,2,2,0,1.16,-1.16,11.69,10.15,1.53
852,600477,杭萧钢构,5.6,0.72,0.003,-0.097,-2.08,-0.094,-0.097,-1.152,-1.414,1,2,2,3.09,5.46,-2.38,23.78,21.23,2.55
853,600166,福田汽车,5.66,0.53,0.003,-0.117,-4.12,0.051,0.021,-0.107,-0.148,1,3,5,9.65,4.88,4.77,29.58,34.15,-4.57
854,300132,青松股份,16.85,1.44,0.003,-0.057,-0.42,0.626,0.544,0.513,-0.252,2,3,5,0.77,0,0.77,20.26,20.92,-0.66
855,2069,獐 子 岛,15.39,0.39,0.003,-0.02,-1.25,-0.029,-0.035,-0.144,-0.206,1,3,5,0.85,0,0.85,28.97,29.17,-0.21
856,600811,东方集团,6.06,0.17,0.002,-0.025,-1.49,0.068,0.006,-0.045,-0.064,1,3,5,6.03,12.81,-6.78,41.75,34.83,6.91
857,600385,ST金泰,13.7,2.39,0.002,-0.004,0.04,0.034,-0.128,-1.496,-1.743,1,2,2,2.7,2.7,0,22.8,22.59,0.21
858,600366,宁波韵升,17.72,0.45,0.002,0.002,0.22,-0.717,-0.42,-1.089,-0.837,1,2,4,1.33,3.12,-1.79,38.34,36.37,1.96
859,601919,中国远洋,3.58,0.28,0.001,0.025,2.99,0.053,0.114,0.004,0.087,1,2,2,5.51,1.7,3.81,24.27,27.67,-3.4
860,600736,苏州高新,4.18,0.97,0.001,0.189,4.35,0.413,0.613,-0.095,0.013,1,4,5,7.04,3.37,3.67,20.87,24.45,-3.58
861,600395,盘江股份,8.31,0.73,0.001,-0.024,-0.65,0.049,0.164,-0.442,-0.537,1,3,4,4.12,2.53,1.59,24.35,25.83,-1.47
862,300310,宜通世纪,18.76,-0.42,0.001,-1.075,-8.8,-0.243,-0.432,-3.901,-5.099,1,2,2,0,0,0,25.2,25.15,0.05
863,2249,大洋电机,14.75,1.58,0.001,-0.126,-4.25,-0.225,-0.34,-0.534,-0.926,1,1,1,5.34,7.39,-2.06,31.33,29.1,2.24
864,2223,鱼跃医疗,29.3,0.51,0.001,0.011,1.23,-0.412,-0.164,-0.94,-0.689,1,2,3,14.27,16.24,-1.96,32.93,30.83,2.1
865,429,粤高速Ａ,3.54,0.57,0.001,0.04,0.6,0.278,0.656,0.156,-0.169,4,4,6,0,0,0,12.65,12.58,0.07
866,29,深深房Ａ,4.58,-0.22,0.001,-0.15,-5.26,-0.078,-0.107,-0.119,-0.267,1,2,5,0,0,0,20.77,20.53,0.24
867,603688,石英股份,----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,603306,华懋科技,----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,603188,亚邦股份,----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,601669,中国电建,----,0,0,0,0,0.022,0.009,-0.167,-0.147,0,3,4,0,0,0,0,0,0
871,601567,三星电气,----,0,0,0,0,-0.137,-0.176,-0.173,-0.352,0,1,3,0,0,0,0,0,0
872,601519,大智慧,----,0,0,0,0,-0.383,-0.436,-0.673,-0.614,0,0,0,0,0,0,0,0,0
873,601016,节能风电,----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,600986,科达股份,----,0,0,0,0,-0.034,0.073,-0.694,-0.232,0,1,3,0,0,0,0,0,0
875,600981,汇鸿股份,----,0,0,0,0,0.072,-0.121,0.198,-0.003,0,3,6,0,0,0,0,0,0
876,600978,宜华木业,----,0,0,0,0,0.413,0.429,0.459,0.531,0,3,5,0,0,0,0,0,0
877,600973,宝胜股份,----,0,0,0,0,-0.161,-0.625,-0.41,-0.746,0,1,2,0,0,0,0,0,0
878,600965,福成五丰,----,0,0,0,0,0.181,-0.79,0.769,-0.349,0,2,5,0,0,0,0,0,0
879,600962,国投中鲁,----,0,0,0,0,0.383,0.535,0.298,0.728,0,2,5,0,0,0,0,0,0
880,600917,重庆燃气,----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,600891,秋林集团,----,0,0,0,0,-0.017,-0.235,-0.107,-0.207,0,3,5,0,0,0,0,0,0
882,600876,洛阳玻璃,----,0,0,0,0,-0.282,-0.523,-0.546,-1.405,0,1,3,0,0,0,0,0,0
883,600873,梅花生物,----,0,0,0,0,-0.118,0.015,-0.187,0.066,0,1,2,0,0,0,0,0,0
884,600871,*ST仪化,----,0,0,0,0,0.421,0.813,0.695,0.98,0,3,8,0,0,0,0,0,0
885,600862,南通科技,----,0,0,0,0,-0.204,-0.447,-0.318,-0.402,0,1,3,0,0,0,0,0,0
886,600848,自仪股份,----,0,0,0,0,-0.21,-0.274,-0.947,-2.205,0,0,0,0,0,0,0,0,0
887,600847,万里股份,----,0,0,0,0,-0.146,-0.139,-0.032,-0.237,0,0,2,0,0,0,0,0,0
888,600845,宝信软件,----,0,0,0,0,-0.068,-0.062,0.05,-0.114,0,2,5,0,0,0,0,0,0
889,600832,东方明珠,----,0,0,0,0,-0.114,-0.172,-0.253,-0.479,0,1,2,0,0,0,0,0,0
890,600819,耀皮玻璃,----,0,0,0,0,0.496,0.202,0.433,0.035,0,4,7,0,0,0,0,0,0
891,600764,中电广通,----,0,0,0,0,0.071,0.085,-0.03,-0.129,0,2,3,0,0,0,0,0,0
892,600757,长江传媒,----,0,0,0,0,0.123,0.03,0.282,-0.066,0,1,3,0,0,0,0,0,0
893,600744,华银电力,----,0,0,0,0,0.053,-0.029,-0.111,-0.358,0,3,5,0,0,0,0,0,0
894,600740,山西焦化,----,0,0,0,0,0.221,0.31,-0.387,-0.581,0,3,4,0,0,0,0,0,0
