Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
1,509,华塑控股,6.49,10,5.03,4.243,64.22,3.837,3.03,1.988,-0.981,1,2,2,41.56,6.45,35.1,20.93,19.71,1.22
2,2564,张化机,10.24,9.99,3.237,2.458,57.82,3.627,2.505,3.353,1.769,5,5,6,56.51,32.17,24.34,23.58,29.53,-5.95
3,2691,石中装备,13.56,1.5,3,0.87,23.73,7.917,4.373,3.937,-2.7,3,4,5,27.3,4.22,23.08,11.17,13.01,-1.85
4,600255,鑫科材料,13.57,9.97,2.892,2.471,41.43,2.512,2.318,-2.511,-5.404,1,2,3,37.07,13.49,23.58,25.43,27.97,-2.54
5,2668,奥马电器,22.04,7.78,2.7,3.228,26.57,1.198,1.855,1.374,0.697,2,2,4,14.8,11.06,3.75,40.08,31.86,8.22
6,600711,盛屯矿业,18.46,10.01,2.404,2.632,21.37,2.906,3.45,1.003,1.107,1,3,5,25.97,14.07,11.9,30.41,32.21,-1.8
7,2331,皖通科技,14.23,9.97,2.267,1.297,83.01,0.988,1.261,0.96,0.66,1,2,5,52.76,8.63,44.13,25.76,26.78,-1.03
8,600599,熊猫烟花,23.42,10,2.135,2.336,15.82,3.634,2.081,7.803,1.056,1,3,7,19.72,9.76,9.96,30.6,32.42,-1.81
9,300061,康耐特,13.28,5.31,2.114,2.357,26.98,0.74,-0.048,0.592,-2.345,2,3,5,1.55,1.95,-0.39,34.92,15.94,18.97
10,601908,京运通,10.01,9.88,1.982,0.149,11.63,3.526,1.759,2.814,0.742,3,4,6,16.25,4.54,11.71,27.49,28.02,-0.53
11,600751,天津海运,8.22,10.04,1.977,0.778,11.74,6.277,3.434,5.556,3.205,2,3,5,24.79,8.75,16.04,25.9,33.1,-7.2
12,609,绵世股份,11.67,9.99,1.967,1.281,29.92,1.443,0.889,0.429,-1.111,1,2,3,41.75,23.56,18.19,27.89,31.99,-4.1
13,603123,翠微股份,10.28,1.48,1.956,0.494,14.61,3.039,1.249,2.268,-0.285,3,3,4,15.26,1.14,14.11,14.3,14.97,-0.67
14,677,恒天海龙,3.72,10.06,1.9,1.756,78.87,2.489,2.69,2.472,0.845,2,4,7,38.82,5.13,33.69,29.15,25.94,3.21
15,600767,运盛实业,9.74,0.83,1.86,1.25,29.56,2.129,2.391,9.431,7.99,2,2,7,20.69,7.97,12.72,26.89,18.55,8.34
16,600502,安徽水利,8.49,3.54,1.823,1.717,24.78,3.575,3.979,3.108,3.349,2,3,4,15.61,4.53,11.07,36.51,33.93,2.58
17,2171,精诚铜业,11.23,9.99,1.52,1.675,37.27,2.27,3.043,2.222,2.49,5,5,7,24.84,7.7,17.14,30.9,29.52,1.38
18,2052,同洲电子,10.62,7.93,1.514,1.921,21.65,2.015,3.356,0.372,0.845,2,4,5,11.57,8.48,3.09,34.14,25.92,8.21
19,821,京山轻机,9.21,8.1,1.428,1.659,27.59,1.794,1.397,0.203,-1.222,1,3,4,24.61,10.75,13.86,29.01,29.81,-0.81
20,2417,三元达,10.29,10.05,1.389,1.427,32.42,0.061,0.563,1.323,2.333,1,1,5,27.07,16.99,10.08,27.69,20.95,6.74
21,915,山大华特,27,4.65,1.368,1.694,39.71,1.307,1.594,0.168,-0.321,2,3,4,14.06,2.81,11.26,36.93,28.01,8.92
22,300280,南通锻压,15.22,2.42,1.301,0.953,14.31,1.547,0.48,3.351,-2.552,2,3,7,6.24,3.37,2.87,20.61,11.55,9.06
23,2727,一心堂,45.93,3.73,1.287,2.163,15.37,-0.322,-0.051,5.678,5.259,1,3,6,9.2,5.49,3.71,33.42,29.89,3.53
24,600406,国电南瑞,16.68,10.03,1.286,1.201,54.4,1.939,1.892,1.426,1.193,8,5,8,46.77,22.12,24.65,26.57,31.54,-4.97
25,300126,锐奇股份,10.89,0.93,1.277,0.8,18.73,4.276,2.037,4.652,2.038,2,3,5,6.5,5.93,0.57,40.59,28.15,12.44
26,2114,罗平锌电,19.44,4.97,1.209,1.533,6.54,-1.029,-1.027,-3.659,-9.597,1,1,2,6.66,2.87,3.79,21.87,21.18,0.69
27,601515,东风股份,11.73,5.68,1.185,1.938,14.81,0.418,1.531,-3.216,-2.907,1,3,3,5.83,1.92,3.91,23.79,18.18,5.61
28,300216,千山药机,32.73,10.02,1.152,1.119,25.41,3,2.572,4.792,4.359,5,5,7,24.44,11.72,12.72,28.36,27.23,1.13
29,400,许继电气,22.13,3.9,1.15,1.121,25.71,1.234,1.024,0.175,-0.83,1,3,4,21.32,10.58,10.74,32.79,30.12,2.67
30,2666,德联集团,14.37,0.49,1.142,-0.319,14.56,0.813,-1.318,1.724,-0.671,1,2,4,18.78,1.08,17.69,26.89,27.06,-0.17
31,2629,仁智油服,11.16,2.86,1.141,1.459,12.43,-0.402,-0.372,-2.847,-6.325,1,1,3,5.19,3.21,1.99,28.09,22.03,6.06
32,300033,同花顺,25.98,5.48,1.131,1.049,25.92,-0.283,-0.977,-2.529,-4.431,1,2,4,17.01,3.47,13.55,29.4,26.87,2.53
33,2176,江特电机,16.4,9.48,1.102,1.16,43.4,1.401,1.631,1.044,1.657,3,3,6,21.1,6.99,14.11,36.72,29.97,6.75
34,78,海王生物,8.74,2.46,1.086,1.624,41.89,0.778,1.68,0.226,0.128,1,2,4,12.89,1.21,11.68,28.21,15.86,12.35
35,300308,中际装备,15.63,1.82,1.074,2.014,16.67,-0.611,2.687,-2.273,-1.483,3,3,4,2,2.1,-0.1,29.65,19.81,9.84
36,600114,东睦股份,12.91,3.86,1.042,1.406,23.56,0.384,1.121,-1.038,-0.718,1,2,2,6.86,0.97,5.89,30.76,22.14,8.62
37,2652,扬子新材,13.21,1.3,1.028,0.889,21.07,0.676,1.397,0.424,-1.418,2,2,3,8.7,4.84,3.86,31.12,20.28,10.85
38,2389,南洋科技,9.02,2.27,1.028,0.9,16.25,0.163,-0.577,-0.296,-2,2,2,4,7.16,1.01,6.15,26.42,20.41,6.01
39,630,铜陵有色,11.5,8.49,1.023,1.231,45.71,1.275,1.736,1.021,1.215,5,5,6,26.93,9.13,17.8,29.35,26.02,3.33
40,2369,卓翼科技,11.31,3.01,1.016,1.161,11.37,1.638,1.849,0.002,-1.279,3,3,5,9.29,5.26,4.03,26.81,23.51,3.29
41,2332,仙琚制药,11.21,4.67,1.015,0.895,39.95,2.158,2.15,1.355,0.394,4,4,4,19.45,5.55,13.9,33.88,23.83,10.05
42,735,罗 牛 山,6.85,2.09,1.005,1.219,30.59,1.256,1.731,0.224,-0.07,3,3,3,20.46,7.14,13.32,28.58,25.91,2.67
43,300252,金信诺,30,7.03,0.995,1.034,26.28,0.357,-1.595,-0.383,-2.536,1,3,4,16.68,2.3,14.38,27.31,25.62,1.69
44,545,金浦钛业,10.9,2.25,0.976,1.517,29.65,1.016,1.566,-1.151,-1.309,2,4,5,7.85,1.01,6.84,31.78,21.95,9.83
45,600568,中珠控股,12.69,4.02,0.974,1.192,15.98,-0.77,-0.439,-0.486,-0.542,1,1,3,9.07,4.12,4.95,36.03,32.39,3.65
46,2613,北玻股份,8.99,1.12,0.971,0.14,23.69,2.435,0.445,3.732,-1.205,1,4,8,13.19,0,13.19,23.56,14.16,9.4
47,600806,昆明机床,5.33,4.51,0.927,1.547,22.72,1.05,2.169,0.73,1.67,2,3,3,7.74,3.96,3.77,28.23,18.78,9.46
48,9,中国宝安,13.46,4.26,0.896,1.016,27.4,-0.598,-0.847,-1.188,-1.813,1,2,4,28.72,12.79,15.93,30.83,35.33,-4.5
49,300281,金明精机,20.01,6.21,0.892,0.889,23.08,0.212,0.115,-0.535,-0.62,2,3,4,2.64,0,2.64,34.34,20.8,13.54
50,2320,海峡股份,10.98,3.2,0.878,0.879,38.22,1.763,1.879,1.946,2.145,8,5,8,9.84,0.77,9.07,32.58,15.69,16.89
51,723,美锦能源,6.69,1.36,0.861,0.893,24.64,0.742,0.989,-0.99,-2.281,1,2,2,5.83,0,5.83,25.7,12.95,12.75
52,300030,阳普医疗,13.14,4.87,0.839,1.567,15.93,0.426,0.458,-1.841,-3.406,1,2,2,11.56,2.21,9.35,22.55,23.11,-0.57
53,300272,开能环保,18.43,0.71,0.838,0.642,16.76,1.682,1.758,-0.279,-2.253,2,2,4,3.3,3.85,-0.54,32.47,19.15,13.32
54,603609,禾丰牧业,14.52,0.76,0.815,0.644,7.29,-0.998,-0.677,-2.606,-6.67,1,2,3,7.72,2.62,5.1,18.52,17.74,0.79
55,600742,一汽富维,27.42,9.99,0.814,1.18,30.25,-0.085,0.44,-0.249,-0.472,1,2,4,23.52,15.41,8.1,30.27,25.49,4.78
56,2190,成飞集成,62.81,2.6,0.804,0.848,18.79,-0.561,-0.531,-1.679,-1.998,1,2,3,22.84,12.54,10.3,32.89,34.52,-1.62
57,2307,北新路桥,7.19,1.41,0.785,0.57,17.92,2.256,2.298,0.978,-0.576,6,5,6,9.2,7.8,1.41,33.57,22.32,11.25
58,600158,中体产业,12.76,-3.33,0.782,0.351,7.36,-0.016,-0.892,-3.5,-4.596,1,3,3,12.79,8.24,4.54,30.4,29.33,1.07
59,2290,禾盛新材,15.14,10.03,0.776,0.885,20.9,-0.205,0.033,-0.619,-0.302,2,2,3,5.42,3.93,1.49,30.67,18.22,12.45
60,2167,东方锆业,15.81,4.43,0.755,0.774,13.63,-3.083,-2.556,-3.631,-4.179,1,1,3,10.22,8.95,1.27,34.47,27.66,6.81
61,300221,银禧科技,12.2,9.32,0.751,1.174,15.37,1.433,2.183,-0.629,-0.433,1,3,3,11.31,5.61,5.7,34.63,33.51,1.12
62,851,高鸿股份,13.36,0.53,0.743,0.499,15.18,4.233,4.226,2.231,1.149,3,4,4,14.99,7.03,7.95,29.04,26.38,2.67
63,600695,大江股份,6.88,5.04,0.73,0.995,24.04,0.067,0.621,-0.815,-0.759,1,2,3,12.03,3.97,8.06,21.67,13.76,7.91
64,300381,溢多利,64.1,6.28,0.726,1.825,7.57,-0.81,-1.354,-1.119,-2.315,1,2,4,1.73,1.19,0.55,27.18,23.92,3.26
65,300192,科斯伍德,20.51,3.85,0.72,0.627,12.75,-1.751,-1.492,-3.424,-4.85,1,2,3,4.07,2.92,1.15,32.37,24.42,7.95
66,2030,达安基因,23.92,2.35,0.717,0.827,27.21,0.856,1.066,-0.438,-0.886,1,3,4,23.76,7.79,15.97,26.66,28.54,-1.88
67,2309,中利科技,22,3.92,0.711,0.405,27.13,1.8,1.784,1.461,1.161,4,4,6,13.89,7.97,5.92,52.65,44.02,8.62
68,600077,宋都股份,4.88,6.09,0.702,0.604,18.2,0.828,0.9,0.759,1.347,3,3,6,11.95,7.42,4.53,36.09,29.48,6.61
69,300276,三丰智能,13.8,0.66,0.7,0.084,7.15,2.515,2.287,-2.317,-10.264,1,2,3,7.52,2.11,5.41,17.96,16.44,1.53
70,600526,菲达环保,12.44,6.42,0.696,0.675,8.92,0.735,0.856,-0.289,-0.454,1,2,3,11.14,5.76,5.38,24.33,23.6,0.73
71,2516,江苏旷达,18.3,-1.08,0.694,0.238,12.49,3.7,3.749,6.618,6.442,3,4,8,5.93,3.76,2.17,37.67,29.58,8.09
72,600203,福日电子,10.36,1.97,0.69,0.773,27.95,1.046,1.377,0.511,-0.327,4,4,5,12.93,0,12.93,24.23,17.86,6.37
73,407,胜利股份,6.24,2.3,0.677,1.093,36.17,0.818,1.527,0.336,0.738,2,4,6,7.69,1.26,6.43,36.05,24.01,12.04
74,554,泰山石油,8.79,0.69,0.673,0.657,15.1,-0.189,-0.145,-1.972,-4.155,1,2,4,9.27,1.61,7.66,25.23,22.18,3.04
75,300249,依米康,12.98,4.09,0.667,0.884,17.93,0.374,0.871,-0.032,-0.349,1,2,4,9.71,6.73,2.99,24.47,16.05,8.42
76,600287,江苏舜天,7.69,10.01,0.666,0.246,62.03,0.838,0.14,0.963,-0.032,2,2,4,40.34,7.31,33.03,15.69,12.88,2.81
77,719,大地传媒,14.85,0.41,0.662,0.231,15.95,0.24,2.114,-0.952,-2.554,1,3,4,3.27,0.04,3.24,38.69,28.56,10.13
78,2510,天汽模,10.41,1.26,0.658,0.717,18.56,0.684,0.757,0.147,-1.037,2,4,6,6.01,0.21,5.8,23.46,15.32,8.14
79,300314,戴维医疗,25.21,0.64,0.653,0.953,13.87,2.437,2.911,1.525,2.506,7,5,8,0.62,2.92,-2.3,30.39,19.11,11.28
80,958,东方热电,14.2,7.98,0.652,0.451,12.19,2.191,1.861,1.269,0.227,2,3,4,9.96,5.17,4.79,29.28,25.36,3.92
81,2397,梦洁家纺,9.8,3.59,0.648,0.86,9.82,0.095,-0.945,-0.601,-2.678,1,3,5,0,0.1,-0.1,20.85,13.08,7.77
82,2646,青青稞酒,17.42,1.57,0.641,0.882,17.08,0.736,1.228,-0.464,-0.349,1,3,3,11.94,3.29,8.65,30.29,29.8,0.49
83,600106,重庆路桥,4.36,1.63,0.632,0.54,29.48,0.436,0.306,0.41,0.194,1,2,4,10.81,6.11,4.7,33.35,17.93,15.42
84,300390,天华超净,36.76,1.6,0.623,0.841,4.48,-0.715,-3.361,1.654,1.033,1,2,6,5.6,6.03,-0.44,26.61,23.32,3.29
85,498,山东路桥,4.37,1.63,0.622,0.874,21.18,0.457,0.628,0.13,0.057,2,3,5,9.34,0.18,9.16,25.2,20.94,4.26
86,2655,共达电声,11.81,0.94,0.621,0.162,4.29,-11.606,-15.413,-6.928,-16.331,1,1,3,1.78,1.92,-0.14,21.78,17.59,4.2
87,58,深 赛 格,5.65,5.21,0.618,0.169,8.65,-0.036,-1.387,-2.607,-6.138,1,1,1,4.22,2.12,2.1,23.17,17.26,5.91
88,2006,*ST精功,8.33,4.52,0.616,0.686,29.7,0.599,0.92,0.079,-0.067,1,3,3,11.81,0.01,11.8,27.66,19.78,7.88
89,2426,胜利精密,11.17,3.52,0.61,0.609,14.9,-0.291,-0.337,-1.694,-2.607,1,2,3,6.68,4,2.68,34.3,27.59,6.72
90,2604,龙力生物,14.45,2.7,0.609,0.654,17.58,0.686,1.362,-0.806,-0.598,2,3,3,13.25,5.15,8.1,28.17,25.42,2.75
91,300294,博雅生物,53.99,3.47,0.608,0.995,25.91,1.969,2.401,1.923,2.212,6,5,8,2.62,1.56,1.06,35.78,22.65,13.14
92,989,九 芝 堂,14.66,2.02,0.608,0.713,39.42,0.948,1.484,0.453,0.875,2,4,6,20.48,1.56,18.92,29.76,27.5,2.26
93,300311,任子行,26.71,10.01,0.604,0.121,64.8,1.398,0.187,1.541,-0.143,5,5,7,71.02,0,71.02,5.25,36.49,-31.24
94,2425,凯撒股份,13.07,5.49,0.604,0.707,28.8,1.32,1.56,0.928,0.708,4,4,5,15.25,6.6,8.64,38.19,32.92,5.26
95,912,泸 天 化,5.28,1.54,0.6,0.489,22.42,1.235,1.691,0.324,-0.274,5,5,6,14.43,4.48,9.95,20.75,13.65,7.09
96,2616,长青集团,18.82,1.67,0.599,0.525,12.62,0.294,0.797,-0.35,-1.516,1,2,3,2.43,0,2.43,25.77,18.29,7.48
97,2161,远 望 谷,7.83,1.42,0.599,0.64,24.29,0.712,1.116,-0.469,-1.011,3,3,3,16.06,2.09,13.97,27.12,26.19,0.94
98,2585,双星新材,14.88,6.06,0.584,0.279,26.41,0.754,0.31,0.865,0.27,3,4,6,34.45,2.88,31.58,11.8,22.55,-10.75
99,56,深国商,15.25,1.6,0.582,0.144,10.03,0.689,0.599,-0.806,-2.636,1,2,3,15.62,3.83,11.79,25.11,27.98,-2.88
100,2565,上海绿新,9.21,3.14,0.581,0.567,8.72,0.227,0.661,-2.955,-4.207,1,2,2,9.17,3.32,5.85,23.86,23.54,0.32
101,600760,中航黑豹,9.77,4.27,0.58,1.112,11.09,1.385,2.094,0.454,0.819,1,3,4,3.96,4.73,-0.77,30.23,23.58,6.65
102,2550,千红制药,24.73,4.74,0.579,0.667,23.52,0.525,-0.328,-0.753,-2.016,1,3,4,16.43,10.57,5.86,36.38,30.84,5.54
103,600409,三友化工,5.49,5.78,0.572,0.448,20.67,-0.231,0.422,-0.49,0.608,1,3,4,19.77,9.37,10.4,32.5,30.67,1.83
104,2044,江苏三友,8.43,2.18,0.557,1.079,18.49,0.405,1.257,-0.325,-0.146,1,3,4,1.48,1.59,-0.11,26.68,15.02,11.66
105,600682,南京新百,14.16,10.02,0.555,0.359,43.85,0.365,0.303,0.668,0.558,1,1,4,34.03,5.28,28.74,30.61,33.69,-3.08
106,300063,天龙集团,12.55,3.89,0.555,0.6,13.17,0.37,-0.291,0.535,-1.499,1,2,5,11.29,1.28,10.01,26.83,28.45,-1.63
107,2656,卡奴迪路,15.6,1.17,0.553,0.578,9.57,-0.153,-0.684,-1.049,-2.918,1,2,4,1.89,0,1.89,19.73,13.82,5.91
108,2667,鞍重股份,27.24,1.98,0.552,0.759,16.33,1.998,4.4,0.345,1.687,1,3,3,0,0,0,35.85,25.87,9.98
109,2360,同德化工,7.87,3.15,0.544,0.752,14.6,1.24,1.098,-0.128,-1.306,2,3,4,8.3,3.4,4.9,25.75,21.43,4.32
110,10,深华新,7.86,2.88,0.544,0.646,19.85,0.117,0.236,-0.05,-0.393,1,2,3,16.19,3.26,12.93,25.4,26.51,-1.11
111,2120,新海股份,14.52,2.4,0.541,0.36,11.94,-0.287,-0.655,-0.37,-1.942,1,2,5,13.01,4.73,8.28,25.08,24.42,0.66
112,636,风华高科,8.46,3.17,0.538,0.47,41.97,0.533,0.535,0.061,-0.159,2,4,6,20.49,1.4,19.09,27.94,19.59,8.35
113,600080,金花股份,13.33,6.22,0.537,0.617,21.42,-0.142,0.405,-1.271,-0.908,1,2,3,32.01,21.71,10.3,29.83,31.76,-1.94
114,300059,东方财富,13.98,2.57,0.534,0.566,19.74,0.579,0.314,-2.203,-3.376,3,4,5,16.6,10.35,6.24,37.7,34.42,3.28
115,637,茂化实华,6.09,3.05,0.529,1.072,14.13,0.391,1.107,0.78,0.944,1,2,5,11.24,9.93,1.31,29.38,24.51,4.87
116,600704,物产中大,9.96,3.86,0.528,0.644,21.8,0.393,0.652,-0.382,-0.197,1,3,4,17.86,2.99,14.87,24.27,26.12,-1.86
117,2362,汉王科技,20.54,3.01,0.52,0.556,10.19,0.375,0.6,-0.822,-1.553,1,3,3,6.6,1.36,5.24,28.09,26.48,1.61
118,812,陕西金叶,6.83,1.04,0.518,0.332,10.11,1.123,1.258,-1.951,-5.264,1,3,4,10.57,3.24,7.33,21.65,20.95,0.7
119,600727,鲁北化工,5.23,1.95,0.517,0.575,25.46,0.296,0.368,0.099,0.032,2,2,4,6.16,6.02,0.13,34.39,18.21,16.18
120,2154,报 喜 鸟,8.09,4.93,0.515,0.602,19.4,-0.247,0.134,0.336,1.33,1,3,6,6.86,10.92,-4.06,47.77,34.81,12.96
121,600667,太极实业,4.88,2.74,0.512,0.53,28.35,0.251,0.508,0.284,0.814,1,2,5,22.62,6.77,15.85,30.68,31.76,-1.08
122,300165,天瑞仪器,23.71,2.86,0.512,0.449,8.25,-1.616,-1.629,-1.75,-2.428,1,2,4,22.45,18.67,3.78,19.38,17.82,1.55
123,2623,亚玛顿,22.93,3.1,0.509,0.695,10.95,0.991,1.549,0.115,-0.019,2,2,4,5.73,0.99,4.74,24.07,21.44,2.63
124,2342,巨力索具,7.02,1.45,0.508,0.2,14.3,3.17,0.007,3.566,-0.642,5,5,7,8.98,6.23,2.75,34.27,25.48,8.78
125,300321,同大股份,40.64,1.47,0.503,0.17,8.46,2.848,4.245,2.095,2.914,2,4,6,10.61,13.27,-2.66,36.61,27.22,9.39
126,600078,澄星股份,6.73,1.05,0.502,0.557,23.76,1.342,2.052,1.73,2.269,2,3,6,17.19,5.66,11.53,35.53,35.19,0.33
127,300046,台基股份,15.68,2.95,0.501,0.533,11.92,0.944,0.053,0.951,0.761,2,3,5,1.15,0,1.15,27.71,20.07,7.65
128,600125,铁龙物流,5.77,1.76,0.495,0.688,29.87,1.133,1.471,0.883,1.672,2,3,5,14.82,10.26,4.57,37.54,28.65,8.89
129,816,江淮动力,4.87,1.04,0.493,0.396,32.39,0.569,0.669,-0.281,-0.379,1,4,4,20.21,8.97,11.23,35.44,28.02,7.42
130,600658,电子城,12.82,10.04,0.491,0.17,22.04,0.516,0.289,0.587,0.335,3,3,7,24.78,7.87,16.91,28.37,28.01,0.36
131,2355,兴民钢圈,7.08,2.31,0.489,0.525,10.68,1.054,1.634,0.468,-0.333,3,3,3,16.08,10.63,5.46,28.31,27.73,0.58
132,600982,宁波热电,7.65,3.52,0.486,1.21,6.92,-1.187,-0.806,-1.846,-7.472,1,2,4,5.78,3.13,2.66,24.78,23.91,0.87
133,300293,蓝英装备,16.08,2.03,0.478,0.188,4.55,4.286,4.026,1.555,-2.488,1,4,5,3.48,1.27,2.21,20.27,18.29,1.98
134,2116,中国海诚,13.12,2.1,0.478,0.628,23.31,0.377,0.687,-0.439,-0.564,2,4,4,3.92,0.11,3.81,30.33,18.7,11.64
135,600105,永鼎股份,8.88,3.02,0.473,0.78,16.04,0.392,1.515,0.12,0.693,1,3,5,4.29,1.31,2.98,22.86,14.88,7.98
136,600110,中科英华,6.47,3.35,0.47,0.876,26.62,-0.125,0.691,-0.706,0.197,1,1,2,14.84,8.26,6.57,40.18,37.82,2.36
137,757,浩物股份,6.44,4.04,0.469,0.853,18.06,1.034,2.343,0.956,2.347,4,4,6,0,0.17,-0.17,28.61,17.03,11.57
138,2659,中泰桥梁,9.34,6.14,0.466,0.645,14.11,0.643,0.515,-1.136,-1.96,2,3,3,0,0.87,-0.87,31.06,20.77,10.29
139,2207,准油股份,16,3.03,0.466,0.652,17.39,1.011,1.122,-0.499,-1.37,1,3,3,9.94,2.82,7.12,30.06,27.53,2.53
140,600838,上海九百,8.7,2.47,0.462,0.43,10.3,0.632,0.766,0.458,0.359,3,4,6,23.62,20.26,3.36,23.06,20.4,2.66
141,300086,康芝药业,16.02,2.43,0.461,0.35,22.57,1.334,1.627,0.848,0.871,2,4,6,13.33,6.24,7.08,41.43,35.54,5.89
142,600615,丰华股份,11.09,10.02,0.456,0.07,54.48,0.33,-0.082,-0.195,-0.985,1,2,3,88.2,31.5,56.69,4.5,31.9,-27.4
143,603167,渤海轮渡,11.52,6.27,0.453,0.472,6.51,2.386,2.66,2.095,2.202,2,4,5,15.68,10,5.68,35.5,38.08,-2.58
144,2298,鑫龙电器,8.05,1.13,0.452,0.53,15.59,-0.191,0.683,-1.132,-1.785,1,1,1,9.51,1.32,8.2,23.62,21.13,2.48
145,601018,宁波港,2.82,10.16,0.449,0.361,28.2,0.409,0.296,0.31,0.244,1,2,2,19.9,7.97,11.93,31.35,25.64,5.72
146,2035,华帝股份,11.79,2.34,0.445,0.817,22.19,0.121,0.526,-0.846,-0.424,1,2,3,5.11,1.2,3.91,27.39,18.16,9.23
147,2305,南国置业,6.78,3.51,0.441,0.655,34.98,0.524,0.992,0.563,1.139,2,3,5,1.12,0.28,0.84,39.92,20.8,19.12
148,300182,捷成股份,20.95,5.28,0.44,0.593,17.04,0.922,1.501,-0.213,0.155,2,4,5,13.38,6.94,6.43,31,28.5,2.5
149,600448,华纺股份,5.73,4.18,0.438,0.459,13.56,1.038,1.628,1.222,1.848,4,4,7,5.97,3.01,2.96,29.27,23.11,6.17
150,2583,海能达,29.49,3.36,0.438,0.354,7.77,-0.249,0.517,-1.501,-1.779,1,3,3,8.22,4.7,3.52,27.76,25.82,1.94
151,300193,佳士科技,15.58,1.9,0.437,1.035,18.91,0.472,1.159,-0.646,-1.158,1,3,4,8.11,3.73,4.38,28.37,24.1,4.27
152,584,友利控股,6.29,3.11,0.437,0.578,20.62,-0.063,0.298,-0.891,-1.277,1,1,2,7.37,0,7.37,23.76,16.82,6.94
153,300045,华力创通,22.34,0.54,0.433,0.182,12.17,1.894,0.196,-0.424,-2.951,2,4,5,3.47,3.7,-0.23,42.02,32.36,9.66
154,570,苏常柴Ａ,8.84,3.15,0.431,0.87,21.76,-2.501,-1.315,-3.969,-3.178,1,1,1,12.71,1.98,10.73,27.68,28.44,-0.76
155,600360,华微电子,5.69,3.83,0.429,0.627,21.42,0.969,1.517,0.708,1.076,2,4,5,24.16,2.5,21.66,12.97,21.66,-8.7
156,2324,普利特,17.7,1.67,0.421,0.464,31.75,-0.385,0.582,-0.244,0.623,3,3,6,11.48,5.22,6.26,33.05,20.21,12.83
157,300218,安利股份,12.11,0,0.42,0.179,28.27,0.317,0.227,0.004,-0.318,2,3,3,24.03,8.7,15.33,21.66,14,7.67
158,2166,莱茵生物,20.52,1.58,0.42,0.506,7.85,-2.12,-4.766,-3.818,-7.272,1,2,4,3.97,2.75,1.22,19.47,14.71,4.76
159,300245,天玑科技,28.72,0.81,0.418,0.346,14.92,0.63,0.756,-1.125,-1.393,2,3,5,7.5,3.73,3.77,30.06,23.1,6.96
160,2133,广宇集团,4.59,0.66,0.418,0.255,19.61,-0.727,-0.227,0.117,0.319,2,2,6,12.38,4.52,7.85,33.3,27.12,6.18
161,300153,科泰电源,15.2,8.42,0.416,0.66,18.02,0.308,1.07,-0.471,-0.15,2,4,5,8.34,0,8.34,27.18,24.96,2.22
162,2544,杰赛科技,15.02,10.04,0.416,0.435,24.97,1.47,1.17,0.969,0.856,2,4,5,43.14,27.65,15.49,24.56,30.78,-6.22
163,600315,上海家化,36.38,4.24,0.415,0.348,26.24,0.174,0.078,0.128,-0.152,2,3,5,34.26,19.51,14.76,28.95,31.34,-2.39
164,600202,哈空调,6.9,-3.23,0.415,-0.595,2.94,4.774,3.415,4.561,2.786,4,4,7,11.03,6.31,4.72,19.05,17.4,1.65
165,150,宜华地产,9.6,-2.24,0.415,0.118,11.3,-0.374,-1.663,-2.936,-5.309,1,2,4,1.93,1.71,0.22,33.12,23.28,9.84
166,600645,中源协和,35.2,3.99,0.411,0.366,19.47,0.733,0.623,0.158,0.195,2,3,4,18.15,8.16,9.99,37.92,37.92,0
167,2692,远程电缆,9.12,0.44,0.408,0.091,10.79,0.37,0.031,-0.218,-1.467,1,3,5,5.87,0,5.87,19.74,15.37,4.37
168,600416,湘电股份,12.73,4.43,0.407,0.464,34.94,0.917,0.873,0.384,0.521,1,3,4,22.86,0,22.86,25.65,28.7,-3.06
169,300343,联创节能,31,-0.32,0.407,-0.187,4.88,0.859,-1.383,2.093,-1.929,3,3,7,7.74,0.1,7.64,25.75,27.17,-1.42
170,2319,乐通股份,10.18,1.19,0.407,0.426,9.99,-0.701,-1.107,1.535,1.463,1,2,6,7.59,6.32,1.27,28.19,22.95,5.24
171,301,东方市场,3.41,1.49,0.403,0.377,36.89,0.469,0.64,0.269,-0.091,2,3,5,17.37,1.61,15.75,29.45,21.57,7.88
172,2521,齐峰新材,10.32,1.18,0.402,0.442,16.28,0.969,1.206,0.175,-0.206,4,4,5,5.14,3.95,1.19,33.59,24.45,9.14
173,600235,民丰特纸,7.12,5.17,0.4,0.75,22.24,0.04,0.921,-0.576,0.183,1,2,3,9.6,0.51,9.09,31.51,29.78,1.74
174,996,中国中期,17.25,1.11,0.399,0.347,17.78,0.537,0.67,0.455,0.031,1,4,6,7.97,4.19,3.78,32.21,24.15,8.06
175,806,银河投资,6.54,2.83,0.398,0.398,23.72,0.833,-0.236,1.976,0.764,1,4,9,43.76,19.43,24.34,23.83,39.88,-16.05
