O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
1,600406,国电南瑞,16.68,10.03,4.60亿,243,10.93亿,-5.17亿,5.76亿,24.65,6.21亿,-7.37亿,-1.16亿,-4.97,4.09亿,-6.93亿,-2.84亿,-12.15,2.12亿,-3.88亿,-1.76亿,-7.53
2,600018,上港集团,5.30,9.96,3.63亿,125,6.20亿,-2.47亿,3.73亿,25.09,3.58亿,-3.67亿,-945万,-0.64,2.97亿,-4.62亿,-1.65亿,-11.12,2.09亿,-4.07亿,-1.98亿,-13.33
3,000002,万  科Ａ,9.83,1.65,2.58亿,943,3.81亿,-1.03亿,2.78亿,30.72,2.65亿,-2.85亿,-2001万,-2.21,1.68亿,-2.79亿,-1.11亿,-12.26,8156万,-2.29亿,-1.47亿,-16.25
4,000009,中国宝安,13.46,4.26,1.80亿,1809,4.52亿,-2.01亿,2.50亿,15.93,4.85亿,-5.55亿,-7071万,-4.50,4.11亿,-5.07亿,-9580万,-6.09,2.06亿,-2.90亿,-8396万,-5.34
5,002190,成飞集成,62.81,2.60,1.76亿,3264,4.63亿,-2.54亿,2.09亿,10.30,6.66亿,-6.99亿,-3290万,-1.62,5.81亿,-6.86亿,-1.05亿,-5.19,2.80亿,-3.51亿,-7066万,-3.49
6,600255,鑫科材料,13.57,9.97,1.75亿,84,3.08亿,-1.12亿,1.96亿,23.58,2.11亿,-2.32亿,-2109万,-2.54,1.86亿,-2.84亿,-9843万,-11.86,1.24亿,-2.01亿,-7624万,-9.18
7,000509,华塑控股,6.49,10.00,1.72亿,89,1.97亿,-3056万,1.66亿,35.10,9911万,-9332万,579万,1.22,1.02亿,-1.83亿,-8102万,-17.11,7475万,-1.66亿,-9098万,-19.22
8,000630,铜陵有色,11.50,8.49,1.64亿,794,2.09亿,-7069万,1.38亿,17.80,2.27亿,-2.02亿,2579万,3.33,2.13亿,-2.73亿,-5965万,-7.70,1.18亿,-2.22亿,-1.04亿,-13.43
9,601018,宁波港,2.82,10.16,1.61亿,152,1.81亿,-7250万,1.09亿,11.93,2.85亿,-2.33亿,5200万,5.72,2.39亿,-3.14亿,-7470万,-8.21,2.03亿,-2.88亿,-8586万,-9.44
10,601989,中国重工,5.82,7.98,1.50亿,494,10.66亿,-8.60亿,2.06亿,7.73,7.43亿,-7.99亿,-5553万,-2.08,5.53亿,-6.04亿,-5099万,-1.91,2.99亿,-3.99亿,-9950万,-3.73
11,000400,许继电气,22.13,3.90,1.49亿,1065,2.38亿,-1.18亿,1.20亿,10.74,3.66亿,-3.36亿,2973万,2.67,3.18亿,-4.13亿,-9540万,-8.56,1.83亿,-2.37亿,-5407万,-4.85
12,600150,中国船舶,28.73,9.99,1.44亿,235,5.16亿,-3.59亿,1.57亿,11.97,3.87亿,-4.00亿,-1324万,-1.01,2.59亿,-3.54亿,-9535万,-7.26,1.49亿,-1.97亿,-4865万,-3.70
13,600711,盛屯矿业,18.46,10.01,1.40亿,190,3.59亿,-1.95亿,1.65亿,11.90,4.21亿,-4.45亿,-2492万,-1.80,3.87亿,-4.55亿,-6753万,-4.88,2.14亿,-2.86亿,-7208万,-5.21
14,002564,张化机,10.24,9.99,1.17亿,941,3.58亿,-2.04亿,1.54亿,24.34,1.49亿,-1.87亿,-3775万,-5.95,8529万,-1.56亿,-7112万,-11.22,3149万,-7694万,-4545万,-7.17
15,600315,上海家化,36.38,4.24,9864万,87,2.73亿,-1.56亿,1.18亿,14.76,2.31亿,-2.50亿,-1909万,-2.39,1.81亿,-2.48亿,-6772万,-8.49,1.12亿,-1.43亿,-3091万,-3.87
16,002030,达安基因,23.92,2.35,9007万,990,1.52亿,-4979万,1.02亿,15.97,1.70亿,-1.82亿,-1202万,-1.88,1.91亿,-2.33亿,-4251万,-6.65,1.16亿,-1.64亿,-4756万,-7.44
17,600741,华域汽车,12.49,5.49,8804万,511,1.14亿,-4750万,6666万,12.01,1.70亿,-1.49亿,2138万,3.85,1.49亿,-1.90亿,-4086万,-7.36,1.16亿,-1.63亿,-4717万,-8.50
18,002052,同洲电子,10.62,7.93,8023万,1677,8208万,-6013万,2195万,3.09,2.42亿,-1.84亿,5827万,8.21,2.39亿,-2.69亿,-2972万,-4.19,1.29亿,-1.79亿,-5050万,-7.12
19,600502,安徽水利,8.49,3.54,7797万,541,8913万,-2589万,6324万,11.07,2.08亿,-1.94亿,1473万,2.58,1.82亿,-2.27亿,-4487万,-7.86,8607万,-1.19亿,-3310万,-5.80
20,002176,江特电机,16.40,9.48,7386万,652,7471万,-2474万,4997万,14.11,1.30亿,-1.06亿,2389万,6.75,9994万,-1.39亿,-3913万,-11.05,4290万,-7763万,-3473万,-9.81
21,300059,东方财富,13.98,2.57,6889万,743,1.20亿,-7488万,4515万,6.24,2.73亿,-2.49亿,2374万,3.28,2.15亿,-2.47亿,-3237万,-4.48,1.07亿,-1.43亿,-3652万,-5.05
22,000078,海王生物,8.74,2.46,6882万,553,3692万,-346万,3346万,11.68,8080万,-4544万,3537万,12.35,9951万,-1.09亿,-975万,-3.41,6364万,-1.23亿,-5907万,-20.62
23,600837,海通证券,10.37,1.57,6648万,705,4.69亿,-3.72亿,9741万,6.18,4.71亿,-5.02亿,-3093万,-1.96,3.75亿,-4.26亿,-5094万,-3.23,2.54亿,-2.70亿,-1554万,-0.99
24,600158,中体产业,12.76,-3.33,6624万,3180,1.51亿,-9730万,5361万,4.54,3.59亿,-3.46亿,1263万,1.07,3.75亿,-4.26亿,-5105万,-4.32,2.64亿,-2.79亿,-1520万,-1.29
25,000915,山大华特,27.00,4.65,6562万,509,4574万,-913万,3661万,11.26,1.20亿,-9111万,2901万,8.92,1.05亿,-1.29亿,-2364万,-7.27,4886万,-9084万,-4197万,-12.91
26,000609,绵世股份,11.67,9.99,6234万,357,1.85亿,-1.04亿,8048万,18.19,1.23亿,-1.42亿,-1815万,-4.10,8871万,-1.26亿,-3740万,-8.45,4195万,-6689万,-2494万,-5.64
27,600599,熊猫烟花,23.42,10.00,6211万,1845,1.50亿,-7437万,7594万,9.96,2.33亿,-2.47亿,-1383万,-1.81,2.28亿,-2.55亿,-2647万,-3.47,1.32亿,-1.67亿,-3563万,-4.68
28,600767,运盛实业,9.74,0.83,6159万,115,6053万,-2333万,3720万,12.72,7865万,-5425万,2439万,8.34,8190万,-1.00亿,-1859万,-6.35,7029万,-1.13亿,-4301万,-14.70
29,000735,罗 牛 山,6.85,2.09,6035万,334,7720万,-2693万,5027万,13.32,1.08亿,-9778万,1008万,2.67,1.07亿,-1.27亿,-2038万,-5.40,8240万,-1.22亿,-3997万,-10.59
30,000677,恒天海龙,3.72,10.06,6020万,248,6333万,-837万,5496万,33.69,4755万,-4231万,524万,3.21,3281万,-5152万,-1870万,-11.47,1695万,-5845万,-4150万,-25.44
31,000503,海虹控股,23.79,4.85,5863万,1337,2.53亿,-2.01亿,5195万,5.55,3.50亿,-3.43亿,668万,0.71,2.25亿,-2.61亿,-3595万,-3.84,9466万,-1.17亿,-2268万,-2.42
32,002241,歌尔声学,28.68,2.98,5771万,1495,1.64亿,-9946万,6447万,7.29,3.06亿,-3.13亿,-676万,-0.76,2.58亿,-2.87亿,-2814万,-3.18,1.41亿,-1.70亿,-2958万,-3.35
33,002171,精诚铜业,11.23,9.99,5462万,85,7327万,-2272万,5054万,17.14,9114万,-8707万,407万,1.38,8053万,-9618万,-1564万,-5.30,4915万,-8812万,-3897万,-13.21
34,002332,仙琚制药,11.21,4.67,5143万,128,4177万,-1193万,2985万,13.90,7276万,-5118万,2158万,10.05,6103万,-8451万,-2348万,-10.94,3789万,-6584万,-2795万,-13.01
35,600409,三友化工,5.49,5.78,5139万,28,8307万,-3938万,4369万,10.40,1.37亿,-1.29亿,770万,1.83,1.09亿,-1.45亿,-3609万,-8.59,9166万,-1.07亿,-1530万,-3.64
36,601808,中海油服,20.50,3.69,5089万,72,8954万,-4363万,4591万,10.26,1.65亿,-1.60亿,498万,1.11,1.15亿,-1.51亿,-3610万,-8.07,7722万,-9202万,-1480万,-3.31
37,000060,中金岭南,8.08,3.19,4976万,671,7084万,-3667万,3417万,7.92,1.20亿,-1.04亿,1559万,3.62,1.22亿,-1.46亿,-2394万,-5.55,1.11亿,-1.37亿,-2582万,-5.99
38,600751,天津海运,8.22,10.04,4897万,3419,1.37亿,-4846万,8884万,16.04,1.43亿,-1.83亿,-3987万,-7.20,1.42亿,-1.76亿,-3436万,-6.20,9688万,-1.11亿,-1461万,-2.64
39,000851,高鸿股份,13.36,0.53,4847万,955,6841万,-3211万,3630万,7.95,1.33亿,-1.20亿,1217万,2.67,1.45亿,-1.75亿,-2950万,-6.46,1.00亿,-1.19亿,-1897万,-4.16
40,600645,中源协和,35.20,3.99,4658万,185,8459万,-3804万,4656万,9.99,1.77亿,-1.77亿,2万,0.00,1.48亿,-1.76亿,-2833万,-6.08,5474万,-7299万,-1824万,-3.92
41,600009,上海机场,14.56,2.61,4608万,89,8870万,-7347万,1523万,3.30,1.86亿,-1.55亿,3085万,6.68,1.19亿,-1.43亿,-2351万,-5.09,6636万,-8892万,-2256万,-4.89
42,600742,一汽富维,27.42,9.99,4600万,97,8397万,-5504万,2893万,8.10,1.08亿,-9101万,1707万,4.78,1.09亿,-1.29亿,-2076万,-5.81,5532万,-8056万,-2524万,-7.07
43,000821,京山轻机,9.21,8.10,4494万,812,8476万,-3703万,4773万,13.86,9991万,-1.03亿,-278万,-0.81,9746万,-1.18亿,-2047万,-5.94,5417万,-7865万,-2448万,-7.11
44,300216,千山药机,32.73,10.02,4407万,242,7776万,-3729万,4047万,12.72,9022万,-8662万,360万,1.13,9374万,-1.14亿,-2061万,-6.48,5377万,-7723万,-2346万,-7.38
45,002331,皖通科技,14.23,9.97,4360万,99,5337万,-873万,4464万,44.13,2606万,-2709万,-104万,-1.03,1505万,-3846万,-2341万,-23.14,569万,-2588万,-2019万,-19.96
46,000625,长安汽车,13.45,1.82,4290万,970,1.66亿,-1.09亿,5684万,8.71,2.06亿,-2.20亿,-1395万,-2.14,1.47亿,-1.86亿,-3890万,-5.96,1.24亿,-1.28亿,-400万,-0.61
47,002309,中利科技,22.00,3.92,4263万,234,4072万,-2337万,1735万,5.92,1.54亿,-1.29亿,2528万,8.62,7258万,-1.03亿,-3033万,-10.35,2319万,-3549万,-1230万,-4.19
48,002668,奥马电器,22.04,7.78,4247万,322,5254万,-3924万,1330万,3.75,1.42亿,-1.13亿,2917万,8.22,1.12亿,-1.31亿,-1903万,-5.36,4413万,-6757万,-2344万,-6.60
49,600271,航天信息,24.11,0.58,4187万,185,1.40亿,-8084万,5939万,10.26,1.85亿,-2.03亿,-1752万,-3.03,1.57亿,-1.64亿,-667万,-1.15,9377万,-1.29亿,-3520万,-6.08
50,601998,中信银行,4.45,0.68,4153万,65,9903万,-5166万,4738万,14.48,7811万,-8395万,-585万,-1.79,8054万,-1.25亿,-4471万,-13.66,6893万,-6575万,318万,0.97
51,600704,物产中大,9.96,3.86,4128万,46,5665万,-947万,4718万,14.87,7699万,-8288万,-589万,-1.86,1.15亿,-1.33亿,-1817万,-5.73,6846万,-9158万,-2311万,-7.29
52,601908,京运通,10.01,9.88,4104万,108,5962万,-1665万,4297万,11.71,1.01亿,-1.03亿,-193万,-0.53,1.22亿,-1.53亿,-3101万,-8.45,8315万,-9317万,-1003万,-2.73
53,000937,冀中能源,6.96,1.90,4094万,278,2580万,-287万,2293万,10.80,7929万,-6128万,1801万,8.49,5773万,-7769万,-1996万,-9.41,4653万,-6750万,-2098万,-9.88
54,002320,海峡股份,10.98,3.20,4092万,182,1551万,-121万,1429万,9.07,5136万,-2473万,2663万,16.89,5497万,-7343万,-1846万,-11.71,3395万,-5641万,-2246万,-14.25
55,600031,三一重工,5.75,2.13,4062万,71,8683万,-3025万,5657万,12.08,1.13亿,-1.29亿,-1595万,-3.41,1.50亿,-1.71亿,-2105万,-4.50,1.18亿,-1.37亿,-1956万,-4.18
56,000088,盐 田 港,6.03,2.73,4051万,572,6120万,-4218万,1902万,4.71,1.32亿,-1.11亿,2148万,5.32,1.27亿,-1.45亿,-1889万,-4.68,7808万,-9970万,-2161万,-5.35
57,600068,葛洲坝,4.37,2.34,4033万,36,7630万,-3363万,4267万,15.69,7095万,-7329万,-234万,-0.86,6062万,-9089万,-3027万,-11.13,6377万,-7383万,-1006万,-3.70
58,002369,卓翼科技,11.31,3.01,4032万,662,5114万,-2896万,2218万,4.03,1.48亿,-1.29亿,1814万,3.29,2.01亿,-2.15亿,-1363万,-2.48,1.44亿,-1.71亿,-2668万,-4.85
59,002202,金风科技,11.73,0.43,4031万,1140,1.16亿,-7768万,3821万,5.32,1.94亿,-1.92亿,210万,0.29,2.32亿,-2.46亿,-1430万,-1.99,1.64亿,-1.90亿,-2601万,-3.62
60,600016,民生银行,6.44,0.63,3972万,657,1.74亿,-1.64亿,1068万,1.10,3.51亿,-3.22亿,2904万,2.98,2.90亿,-3.26亿,-3646万,-3.75,1.51亿,-1.55亿,-326万,-0.33
61,600036,招商银行,10.93,0.92,3871万,421,1.43亿,-1.33亿,1003万,1.29,3.32亿,-3.03亿,2868万,3.70,2.15亿,-2.18亿,-307万,-0.40,8127万,-1.17亿,-3564万,-4.60
62,002727,一心堂,45.93,3.73,3838万,1148,4875万,-2909万,1966万,3.71,1.77亿,-1.58亿,1872万,3.53,1.97亿,-2.10亿,-1313万,-2.48,9513万,-1.20亿,-2525万,-4.77
63,300033,同花顺,25.98,5.48,3790万,422,4011万,-818万,3193万,13.55,6931万,-6335万,596万,2.53,7273万,-9163万,-1890万,-8.02,4916万,-6815万,-1899万,-8.06
64,002167,东方锆业,15.81,4.43,3774万,882,4774万,-4183万,592万,1.27,1.61亿,-1.29亿,3182万,6.81,1.64亿,-1.87亿,-2271万,-4.86,8521万,-1.00亿,-1503万,-3.22
65,600125,铁龙物流,5.77,1.76,3731万,52,4109万,-2842万,1266万,4.57,1.04亿,-7940万,2464万,8.89,8482万,-9567万,-1085万,-3.91,4669万,-7315万,-2646万,-9.55
66,600584,长电科技,11.51,10.04,3707万,2438,2.31亿,-1.42亿,8856万,9.42,2.51亿,-3.03亿,-5148万,-5.47,2.44亿,-2.69亿,-2488万,-2.64,1.89亿,-2.02亿,-1220万,-1.30
67,000612,焦作万方,9.21,1.66,3663万,544,3727万,-1628万,2098万,6.06,9825万,-8261万,1565万,4.52,1.25亿,-1.34亿,-876万,-2.53,7976万,-1.08亿,-2787万,-8.05
68,600658,电子城,12.82,10.04,3634万,0,5213万,-1655万,3558万,16.91,5968万,-5891万,77万,0.36,5740万,-8155万,-2415万,-11.48,4113万,-5333万,-1220万,-5.80
69,600526,菲达环保,12.44,6.42,3547万,115,6464万,-3341万,3122万,5.38,1.41亿,-1.37亿,424万,0.73,2.04亿,-2.21亿,-1727万,-2.98,1.69亿,-1.87亿,-1820万,-3.14
70,000800,一汽轿车,11.44,2.23,3516万,243,6949万,-3775万,3174万,9.23,1.03亿,-9960万,342万,0.99,9122万,-1.15亿,-2395万,-6.96,7779万,-8900万,-1120万,-3.26
71,600110,中科英华,6.47,3.35,3514万,69,5835万,-3250万,2585万,6.57,1.58亿,-1.49亿,929万,2.36,1.22亿,-1.24亿,-151万,-0.38,5402万,-8766万,-3364万,-8.55
72,600519,贵州茅台,167.51,1.48,3413万,210,9622万,-8605万,1017万,1.75,2.32亿,-2.08亿,2396万,4.13,1.72亿,-1.94亿,-2234万,-3.85,7767万,-8946万,-1179万,-2.03
73,600050,中国联通,3.59,0.28,3336万,163,1.33亿,-7820万,5522万,13.61,1.11亿,-1.33亿,-2186万,-5.39,9389万,-1.08亿,-1457万,-3.59,6559万,-8438万,-1879万,-4.63
74,600312,平高电气,14.20,0.92,3289万,48,6156万,-3588万,2568万,6.89,1.45亿,-1.38亿,721万,1.93,1.10亿,-1.34亿,-2361万,-6.34,5521万,-6448万,-928万,-2.49
75,600517,置信电气,12.52,3.22,3277万,40,4255万,-2255万,2000万,5.96,1.48亿,-1.36亿,1278万,3.81,9968万,-1.11亿,-1101万,-3.28,4441万,-6617万,-2176万,-6.49
76,002161,远 望 谷,7.83,1.42,3247万,439,3498万,-455万,3043万,13.97,5907万,-5703万,204万,0.94,6829万,-8042万,-1212万,-5.57,5103万,-7138万,-2034万,-9.34
77,600108,亚盛集团,7.15,0.70,3239万,72,6873万,-3419万,3454万,7.83,1.30亿,-1.32亿,-215万,-0.49,1.23亿,-1.52亿,-2894万,-6.56,1.19亿,-1.22亿,-346万,-0.78
78,002544,杰赛科技,15.02,10.04,3155万,62,1.47亿,-9407万,5271万,15.49,8356万,-1.05亿,-2115万,-6.22,7526万,-9283万,-1756万,-5.16,3393万,-4792万,-1399万,-4.11
79,002307,北新路桥,7.19,1.41,3147万,502,2289万,-1939万,350万,1.41,8347万,-5551万,2797万,11.25,7306万,-8739万,-1433万,-5.76,6413万,-8127万,-1714万,-6.89
80,600416,湘电股份,12.73,4.43,3102万,165,3581万,0万,3581万,22.86,4017万,-4495万,-479万,-3.06,5385万,-6130万,-745万,-4.76,2515万,-4872万,-2357万,-15.05
81,002092,中泰化学,8.06,2.94,3093万,316,3925万,-993万,2932万,10.30,9772万,-9611万,161万,0.57,8926万,-1.01亿,-1204万,-4.23,5532万,-7421万,-1889万,-6.63
82,600169,太原重工,3.72,2.76,3017万,156,4389万,-2345万,2044万,6.28,1.04亿,-9430万,973万,2.99,1.00亿,-1.15亿,-1473万,-4.53,7581万,-9125万,-1544万,-4.75
83,000636,风华高科,8.46,3.17,3006万,277,2245万,-153万,2092万,19.09,3061万,-2147万,915万,8.35,3248万,-4914万,-1666万,-15.20,2127万,-3467万,-1340万,-12.23
84,002425,凯撒股份,13.07,5.49,2941万,153,3224万,-1396万,1828万,8.64,8075万,-6962万,1113万,5.26,7145万,-8296万,-1151万,-5.44,2548万,-4338万,-1790万,-8.46
85,600667,太极实业,4.88,2.74,2941万,8,4504万,-1347万,3156万,15.85,6108万,-6323万,-215万,-1.08,5861万,-7524万,-1663万,-8.35,3429万,-4707万,-1278万,-6.42
86,600029,南方航空,2.63,2.33,2934万,77,3998万,-1085万,2913万,14.02,6377万,-6356万,21万,0.10,5418万,-7239万,-1821万,-8.76,4907万,-6021万,-1114万,-5.36
87,002550,千红制药,24.73,4.74,2913万,211,4200万,-2702万,1498万,5.86,9300万,-7885万,1415万,5.54,7671万,-8937万,-1266万,-4.95,4182万,-5830万,-1648万,-6.44
88,000988,华工科技,10.80,2.96,2870万,526,9165万,-8152万,1013万,1.81,2.08亿,-1.90亿,1857万,3.32,1.79亿,-1.85亿,-538万,-0.96,7229万,-9562万,-2333万,-4.17
89,002389,南洋科技,9.02,2.27,2828万,184,1666万,-235万,1431万,6.15,6146万,-4749万,1398万,6.01,8760万,-1.00亿,-1284万,-5.52,6494万,-8038万,-1544万,-6.64
90,002417,三元达,10.29,10.05,2803万,72,4513万,-2833万,1680万,10.08,4616万,-3493万,1123万,6.74,5348万,-6710万,-1362万,-8.17,2117万,-3559万,-1442万,-8.65
91,002342,巨力索具,7.02,1.45,2794万,557,2176万,-1510万,666万,2.75,8306万,-6178万,2129万,8.78,8180万,-9982万,-1803万,-7.44,5018万,-6010万,-992万,-4.09
92,600875,东方电气,13.67,2.01,2787万,97,7716万,-5571万,2144万,4.50,1.56亿,-1.50亿,642万,1.35,1.52亿,-1.70亿,-1743万,-3.66,8981万,-1.00亿,-1043万,-2.19
93,000933,神火股份,4.47,2.05,2737万,453,2581万,-474万,2107万,14.91,4994万,-4364万,630万,4.46,4052万,-5174万,-1122万,-7.94,2054万,-3669万,-1615万,-11.43
94,600153,建发股份,6.08,1.50,2735万,326,6352万,-3759万,2593万,8.74,9868万,-9726万,142万,0.48,7017万,-9632万,-2615万,-8.82,6092万,-6212万,-120万,-0.40
95,600682,南京新百,14.16,10.02,2713万,2,3597万,-558万,3039万,28.74,3236万,-3561万,-326万,-3.08,2373万,-3889万,-1516万,-14.34,1364万,-2560万,-1196万,-11.32
96,000407,胜利股份,6.24,2.30,2711万,117,1129万,-185万,944万,6.43,5292万,-3525万,1767万,12.04,5240万,-6069万,-829万,-5.65,2895万,-4777万,-1882万,-12.82
97,600362,江西铜业,14.07,2.63,2685万,128,6828万,-4767万,2061万,3.16,2.16亿,-2.10亿,624万,0.96,2.27亿,-2.49亿,-2256万,-3.46,1.40亿,-1.44亿,-429万,-0.66
98,600673,东阳光科,13.30,1.29,2677万,123,9779万,-7064万,2716万,5.77,1.33亿,-1.34亿,-39万,-0.08,1.39亿,-1.52亿,-1348万,-2.86,9968万,-1.13亿,-1329万,-2.82
99,600597,光明乳业,17.34,1.82,2666万,138,5169万,-2784万,2385万,5.37,1.37亿,-1.34亿,280万,0.63,1.52亿,-1.70亿,-1849万,-4.16,1.02亿,-1.11亿,-817万,-1.84
100,000989,九 芝 堂,14.66,2.02,2651万,136,2564万,-196万,2369万,18.92,3726万,-3443万,283万,2.26,4254万,-5236万,-983万,-7.85,1840万,-3509万,-1669万,-13.33
101,002691,石中装备,13.56,1.50,2646万,227,3403万,-526万,2877万,23.08,1392万,-1622万,-230万,-1.85,4468万,-6977万,-2509万,-20.13,2976万,-3113万,-137万,-1.10
102,600674,川投能源,15.14,2.37,2632万,237,5996万,-6412万,-417万,-1.03,1.95亿,-1.65亿,3049万,7.52,9448万,-1.08亿,-1322万,-3.26,5352万,-6662万,-1310万,-3.23
103,601169,北京银行,7.91,0.25,2630万,207,1.23亿,-1.04亿,1950万,4.13,1.70亿,-1.64亿,679万,1.44,1.19亿,-1.24亿,-451万,-0.95,5806万,-7985万,-2179万,-4.61
104,300030,阳普医疗,13.14,4.87,2628万,343,3458万,-661万,2797万,9.35,6746万,-6915万,-169万,-0.57,1.08亿,-1.09亿,-27万,-0.09,8530万,-1.11亿,-2601万,-8.69
105,600187,国中水务,6.63,0.76,2617万,88,8459万,-5029万,3430万,10.11,1.29亿,-1.37亿,-813万,-2.40,8288万,-9672万,-1384万,-4.08,4194万,-5426万,-1233万,-3.63
106,000816,江淮动力,4.87,1.04,2613万,123,2831万,-1257万,1574万,11.23,4966万,-3926万,1040万,7.42,3961万,-4907万,-946万,-6.75,2128万,-3796万,-1668万,-11.90
107,600269,赣粤高速,3.14,2.95,2596万,57,3919万,-2434万,1485万,9.49,4755万,-3644万,1111万,7.11,4262万,-5226万,-964万,-6.16,2648万,-4280万,-1632万,-10.44
108,600458,时代新材,10.56,4.04,2575万,607,1988万,-406万,1582万,5.72,8528万,-7535万,993万,3.59,1.02亿,-1.16亿,-1420万,-5.13,6334万,-7489万,-1154万,-4.17
109,600801,华新水泥,7.61,1.74,2566万,15,707万,-119万,588万,3.25,7073万,-5095万,1978万,10.94,6087万,-7284万,-1197万,-6.62,4207万,-5577万,-1369万,-7.57
110,000425,徐工机械,8.21,1.61,2520万,181,4991万,-2673万,2317万,8.63,8994万,-8791万,203万,0.76,7430万,-9285万,-1855万,-6.91,5227万,-5893万,-666万,-2.48
111,000878,云南铜业,10.82,5.05,2507万,514,3155万,-1564万,1591万,4.57,1.04亿,-9436万,916万,2.63,1.09亿,-1.28亿,-1905万,-5.47,9937万,-1.05亿,-601万,-1.73
112,600106,重庆路桥,4.36,1.63,2506万,34,1347万,-761万,585万,4.70,4155万,-2234万,1921万,15.42,3973万,-5133万,-1160万,-9.31,2950万,-4296万,-1346万,-10.81
113,600320,振华重工,4.28,6.47,2499万,163,2312万,-1275万,1037万,2.94,7520万,-6058万,1462万,4.15,1.27亿,-1.27亿,41万,0.12,1.25亿,-1.51亿,-2539万,-7.20
114,600583,海油工程,8.28,1.72,2490万,246,1.83亿,-1.47亿,3533万,4.76,2.70亿,-2.80亿,-1043万,-1.41,1.76亿,-2.01亿,-2470万,-3.33,1.11亿,-1.11亿,-20万,-0.03
115,300061,康耐特,13.28,5.31,2468万,67,206万,-258万,-52万,-0.39,4638万,-2118万,2521万,18.97,5205万,-5646万,-441万,-3.32,3168万,-5196万,-2028万,-15.26
116,002629,仁智油服,11.16,2.86,2458万,531,1587万,-980万,607万,1.99,8580万,-6729万,1851万,6.06,1.19亿,-1.27亿,-759万,-2.49,7921万,-9620万,-1699万,-5.56
117,002340,格林美,12.92,0.54,2438万,563,3051万,-1862万,1190万,3.93,1.14亿,-1.02亿,1249万,4.13,9691万,-1.12亿,-1471万,-4.87,5514万,-6481万,-967万,-3.20
118,600348,阳泉煤业,6.98,2.05,2423万,67,2869万,-1225万,1644万,5.52,1.00亿,-9257万,779万,2.61,9638万,-1.09亿,-1298万,-4.36,7181万,-8305万,-1125万,-3.78
119,002244,滨江集团,6.59,1.38,2419万,63,1758万,-352万,1406万,11.42,4532万,-3519万,1014万,8.23,3377万,-4799万,-1421万,-11.54,2581万,-3579万,-998万,-8.11
120,600004,白云机场,7.83,3.43,2411万,21,1593万,-261万,1332万,10.18,4158万,-3079万,1079万,8.24,4258万,-4835万,-577万,-4.41,3061万,-4895万,-1834万,-14.01
121,002585,双星新材,14.88,6.06,2399万,372,3968万,-331万,3637万,31.58,1359万,-2597万,-1238万,-10.75,3141万,-5195万,-2054万,-17.83,2676万,-3021万,-345万,-3.00
122,000049,德赛电池,40.25,1.26,2396万,871,3320万,-2384万,937万,2.79,1.10亿,-9588万,1460万,4.35,1.18亿,-1.21亿,-252万,-0.75,6502万,-8647万,-2145万,-6.39
123,000975,银泰资源,11.29,2.92,2388万,74,3585万,-884万,2701万,20.03,4923万,-5235万,-313万,-2.32,3596万,-4697万,-1102万,-8.17,1302万,-2588万,-1287万,-9.54
124,000788,北大医药,19.50,3.28,2385万,589,6564万,-3578万,2985万,9.41,1.16亿,-1.22亿,-600万,-1.89,9496万,-1.03亿,-837万,-2.64,3411万,-4959万,-1548万,-4.88
125,002426,胜利精密,11.17,3.52,2383万,204,1694万,-1015万,680万,2.68,8698万,-6995万,1703万,6.72,9094万,-1.01亿,-956万,-3.77,5666万,-7092万,-1427万,-5.63
126,300252,金信诺,30.00,7.03,2362万,384,2452万,-338万,2114万,14.38,4014万,-3766万,248万,1.69,5090万,-6346万,-1256万,-8.54,2735万,-3841万,-1106万,-7.53
127,002422,科伦药业,29.42,2.05,2342万,290,2053万,-1373万,680万,2.38,9722万,-8061万,1661万,5.82,1.00亿,-1.11亿,-1044万,-3.66,6419万,-7717万,-1298万,-4.55
128,600216,浙江医药,10.18,0.59,2310万,89,1964万,-1199万,764万,2.99,8317万,-6772万,1545万,6.05,8152万,-1.20亿,-3890万,-15.23,7029万,-5448万,1580万,6.19
129,601515,东风股份,11.73,5.68,2307万,21,1413万,-465万,948万,3.91,5765万,-4405万,1359万,5.61,1.01亿,-1.04亿,-340万,-1.40,6959万,-8926万,-1967万,-8.12
130,600568,中珠控股,12.69,4.02,2294万,1,2421万,-1100万,1321万,4.95,9614万,-8641万,973万,3.65,1.01亿,-1.09亿,-786万,-2.94,4495万,-6003万,-1508万,-5.65
131,000623,吉林敖东,17.76,1.60,2292万,481,4650万,-1794万,2856万,8.25,1.04亿,-1.10亿,-565万,-1.63,1.20亿,-1.38亿,-1879万,-5.43,7061万,-7474万,-412万,-1.19
132,600309,万华化学,17.59,2.15,2290万,43,7648万,-5059万,2588万,6.42,1.43亿,-1.46亿,-298万,-0.74,1.19亿,-1.29亿,-917万,-2.27,6413万,-7786万,-1373万,-3.40
