O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
532,002692,远程电缆,9.12,0.44,401万,59,230万,0万,230万,5.87,773万,-602万,171万,4.37,1596万,-1917万,-321万,-8.20,1256万,-1336万,-80万,-2.04
533,002488,金固股份,16.22,2.14,398万,29,0万,0万,0万,0.00,1094万,-696万,398万,11.36,1387万,-1617万,-230万,-6.55,997万,-1165万,-168万,-4.80
534,000628,高新发展,8.45,1.68,395万,26,0万,-55万,-55万,-1.54,854万,-404万,450万,12.58,1489万,-1612万,-123万,-3.44,1189万,-1461万,-272万,-7.60
535,002631,德尔家居,12.98,0.70,392万,154,321万,-33万,288万,3.53,2426万,-2322万,104万,1.28,2791万,-3028万,-237万,-2.91,2456万,-2611万,-155万,-1.91
536,600438,通威股份,10.28,0.59,392万,1,5万,0万,5万,0.08,1947万,-1560万,387万,6.40,2306万,-2260万,46万,0.76,1790万,-2228万,-438万,-7.24
537,600717,天津港,9.92,2.80,388万,586,4160万,-5382万,-1222万,-1.50,2.22亿,-2.06亿,1610万,1.97,3.14亿,-3.14亿,21万,0.03,2.32亿,-2.36亿,-409万,-0.50
538,002042,华孚色纺,4.49,0.45,385万,31,5万,0万,5万,0.17,927万,-548万,379万,11.76,1285万,-1589万,-303万,-9.41,976万,-1057万,-81万,-2.52
539,600538,国发股份,8.31,4.14,384万,21,412万,0万,412万,4.16,2849万,-2877万,-29万,-0.29,4747万,-4913万,-166万,-1.67,1891万,-2109万,-218万,-2.19
540,000709,河北钢铁,2.17,1.88,381万,2351,4108万,-2767万,1341万,6.02,5448万,-6407万,-959万,-4.31,5533万,-6734万,-1200万,-5.39,4816万,-3997万,819万,3.68
541,002117,东港股份,17.06,0.00,381万,205,882万,-585万,297万,3.55,2288万,-2204万,84万,1.01,2921万,-3250万,-328万,-3.93,2054万,-2107万,-53万,-0.63
542,002115,三维通信,7.69,0.65,381万,277,742万,-114万,628万,6.83,2188万,-2435万,-247万,-2.69,3529万,-3707万,-178万,-1.94,2462万,-2665万,-203万,-2.21
543,000755,*ST三维,4.58,2.23,380万,59,309万,0万,309万,8.37,779万,-708万,71万,1.93,1521万,-1531万,-10万,-0.28,1020万,-1390万,-369万,-10.02
544,000548,湖南投资,5.81,1.57,379万,216,258万,-415万,-158万,-2.17,2061万,-1524万,537万,7.40,2675万,-2774万,-100万,-1.37,2049万,-2329万,-279万,-3.85
545,300327,中颖电子,17.28,0.88,378万,222,56万,-18万,38万,0.31,2518万,-2178万,340万,2.78,5258万,-5475万,-216万,-1.77,4163万,-4325万,-162万,-1.32
546,600393,东华实业,6.94,1.76,377万,15,0万,-0万,-0万,-0.00,1150万,-773万,377万,12.22,1221万,-1374万,-152万,-4.94,697万,-921万,-224万,-7.27
547,300003,乐普医疗,22.93,0.57,376万,178,2323万,-1701万,622万,3.54,6844万,-7090万,-246万,-1.40,5655万,-5820万,-165万,-0.94,2524万,-2734万,-210万,-1.20
548,600033,福建高速,2.45,0.82,375万,56,935万,-295万,639万,9.23,1368万,-1633万,-265万,-3.82,2673万,-2445万,228万,3.28,1896万,-2498万,-602万,-8.70
549,300288,朗玛信息,90.51,2.39,373万,93,244万,0万,244万,7.43,1195万,-1066万,128万,3.91,1059万,-1225万,-167万,-5.08,695万,-901万,-206万,-6.26
550,300321,同大股份,40.64,1.47,372万,174,587万,-734万,-147万,-2.66,2025万,-1505万,519万,9.39,1612万,-1935万,-322万,-5.83,1128万,-1178万,-50万,-0.90
551,002685,华东重机,10.83,2.36,372万,72,0万,0万,0万,0.00,820万,-448万,372万,7.14,2575万,-2405万,170万,3.26,1742万,-2284万,-542万,-10.40
552,600083,博信股份,8.91,1.48,371万,2,427万,-580万,-153万,-4.31,1227万,-704万,524万,14.76,1200万,-1439万,-239万,-6.74,694万,-826万,-132万,-3.71
553,600015,华夏银行,8.70,0.81,370万,229,5378万,-3058万,2321万,7.56,8280万,-1.02亿,-1950万,-6.36,1.09亿,-1.09亿,-36万,-0.12,5932万,-6266万,-334万,-1.09
554,002520,日发精机,25.00,1.13,370万,87,151万,-128万,22万,0.26,3032万,-2684万,348万,4.00,3332万,-3510万,-178万,-2.04,2093万,-2286万,-193万,-2.21
555,300208,恒顺电气,12.29,3.71,370万,1189,1587万,-1733万,-146万,-0.47,8842万,-8326万,516万,1.66,1.15亿,-1.14亿,80万,0.26,7906万,-8356万,-450万,-1.45
556,000416,民生控股,8.86,1.37,370万,44,1110万,-575万,535万,8.66,1295万,-1460万,-165万,-2.67,2505万,-2720万,-215万,-3.49,1222万,-1376万,-154万,-2.50
557,300343,联创节能,31.00,-0.32,369万,106,459万,-6万,453万,7.64,1528万,-1613万,-84万,-1.42,2175万,-2502万,-327万,-5.50,1666万,-1708万,-42万,-0.71
558,600307,酒钢宏兴,2.77,1.09,369万,2,288万,-225万,63万,2.62,659万,-353万,305万,12.65,693万,-803万,-110万,-4.55,771万,-1030万,-259万,-10.72
559,600662,强生控股,7.73,1.05,368万,25,1359万,-390万,969万,5.61,2769万,-3370万,-601万,-3.48,6034万,-6877万,-842万,-4.88,7087万,-6613万,475万,2.75
560,002444,巨星科技,11.31,1.25,366万,290,1668万,-883万,785万,5.50,4265万,-4683万,-419万,-2.93,4707万,-4769万,-62万,-0.43,3342万,-3646万,-304万,-2.13
561,601118,海南橡胶,6.94,0.43,366万,97,2910万,-2931万,-21万,-0.06,1.09亿,-1.05亿,386万,1.14,1.01亿,-1.14亿,-1285万,-3.80,9785万,-8865万,920万,2.72
