O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
16,600711,盛屯矿业,18.46,10.01,1.68,78.4万,316,18.46,----,0.00,0.00,13.8亿,----, 有色金属,18.46,16.85,16.85,16.78,9.59,1.93,100.00,6.94万,17.65,35.3万,43.0万,0.82,6.62万,0,----,0,0,0,0,7.70,18.87,51.58,87.80
17,600287,江苏舜天,7.69,10.01,0.70,8.12万,2,7.69,----,0.00,0.00,6243万,----, 商业百货,7.69,7.69,7.69,6.99,0.00,1.27,100.00,10.5万,7.69,8.12万,0,1.00,10.5万,0,----,0,0,0,0,10.01,21.10,2.45,2.45
18,300311,任子行,26.71,10.01,2.43,5758,21,26.71,----,0.00,0.00,1538万,----, 电子信息,26.71,26.71,26.71,24.28,0.00,1.66,100.00,3.32万,26.71,5758,0,1.00,3.30万,0,----,0,0,0,0,33.15,46.40,3.08,3.33
19,300049,福瑞股份,33.31,10.01,3.03,2660,5,33.31,----,0.00,0.00,886万,----, 医药行业,33.31,33.31,33.31,30.28,0.00,0.14,100.00,1.27万,33.31,2660,0,1.00,1.23万,0,----,0,0,0,0,10.01,0.00,0.24,0.24
20,600599,熊猫烟花,23.42,10.00,2.13,33.9万,40,23.42,----,0.00,0.00,7.62亿,----, 工艺商品,23.42,20.94,20.94,21.29,11.65,0.99,100.00,1.61万,22.47,17.1万,16.8万,1.01,1.56万,0,----,0,0,0,0,28.19,33.45,93.53,162.65
21,300324,旋极信息,32.66,10.00,2.97,4.19万,31,32.66,----,0.00,0.00,1.36亿,----, 电子信息,32.66,30.95,32.40,29.69,5.76,2.48,100.00,1744,32.36,2.06万,2.14万,0.96,1637,0,----,0,0,0,0,10.00,0.00,6.39,6.39
22,002624,金磊股份,12.98,10.00,1.18,3402,21,12.98,----,0.00,0.00,442万,----, 材料行业,12.98,12.98,12.98,11.80,0.00,0.31,100.00,11.6万,12.98,3402,0,1.00,11.6万,0,----,0,0,0,0,33.13,61.24,1.01,1.30
23,002581,万昌科技,39.28,10.00,3.57,12.2万,45,39.28,----,0.00,0.00,4.79亿,----, 医药行业,39.28,38.25,38.99,35.71,2.88,2.06,100.00,2.43万,39.17,7.13万,5.11万,1.39,2.42万,0,----,0,0,0,0,10.00,33.11,10.81,36.65
24,000509,华塑控股,6.49,10.00,0.59,74.3万,882,6.49,----,0.00,0.00,4.74亿,----, 塑胶制品,6.49,5.86,5.89,5.90,10.68,2.53,100.00,10.4万,6.38,45.5万,28.8万,1.58,10.2万,0,----,0,0,0,0,11.51,17.57,25.00,41.89
25,603099,长白山,16.95,9.99,1.54,27.9万,8,16.95,----,0.00,0.00,4.73亿,----, 旅游酒店,16.95,16.91,16.95,15.41,0.26,14.82,100.00,6.81万,16.95,27.4万,4308,63.72,6.68万,0,----,0,0,0,0,33.05,77.12,47.31,55.93
26,600742,一汽富维,27.42,9.99,2.49,13.4万,4,27.42,----,0.00,0.00,3.57亿,----, 汽车行业,27.42,24.94,25.18,24.93,9.95,3.48,100.00,5281,26.57,5.19万,8.25万,0.63,4658,0,----,0,0,0,0,7.49,10.25,10.78,15.49
27,600150,中国船舶,28.73,9.99,2.61,47.4万,8,28.73,----,0.00,0.00,13.1亿,----, 交运设备,28.73,25.86,26.14,26.12,10.99,2.09,100.00,1.40万,27.71,22.8万,24.6万,0.92,1.33万,0,----,0,0,0,0,13.07,24.05,6.89,11.67
28,002564,张化机,10.24,9.99,0.93,62.0万,428,10.24,----,0.00,0.00,6.34亿,----, 机械行业,10.24,10.06,10.24,9.31,1.93,42.31,100.00,14.2万,10.23,53.9万,8.12万,6.63,14.0万,0,----,0,0,0,0,33.16,61.26,18.21,18.29
29,002171,精诚铜业,11.23,9.99,1.02,26.8万,125,11.23,----,0.00,0.00,2.95亿,----, 有色金属,11.23,10.46,10.46,10.21,7.54,3.06,100.00,4792,11.01,12.4万,14.4万,0.86,4588,0,----,0,0,0,0,19.34,24.09,18.08,21.83
30,000609,绵世股份,11.67,9.99,1.06,38.4万,201,11.67,----,0.00,0.00,4.43亿,----, 房地产,11.67,10.71,10.80,10.61,9.05,3.15,100.00,6.61万,11.51,24.3万,14.2万,1.71,6.40万,0,----,0,0,0,0,11.67,12.97,20.89,36.29
31,000007,零七股份,12.66,9.99,1.15,4263,9,12.66,----,0.00,0.00,540万,----, 旅游酒店,12.66,12.66,12.66,11.51,0.00,0.47,100.00,25.9万,12.66,4263,0,1.00,25.8万,0,----,0,0,0,0,9.99,0.00,0.21,0.21
32,300242,明家科技,20.71,9.98,1.88,239,6,20.71,----,0.00,0.00,49.5万,----, 输配电气,20.71,20.71,20.71,18.83,0.00,0.02,100.00,4.38万,20.71,239,0,1.00,4.20万,0,----,0,0,0,0,9.98,0.00,0.09,0.09
33,600255,鑫科材料,13.57,9.97,1.23,62.3万,14,13.57,----,0.00,0.00,8.30亿,----, 有色金属,13.57,12.30,12.33,12.34,10.29,2.40,100.00,6.33万,13.33,26.8万,35.5万,0.75,6.27万,0,----,0,0,0,0,11.78,15.39,25.20,42.64
34,002331,皖通科技,14.23,9.97,1.29,7.16万,12,14.23,----,0.00,0.00,1.01亿,----, 电子信息,14.23,13.11,13.11,12.94,8.66,1.21,100.00,2.51万,14.12,5.14万,2.02万,2.55,2.24万,0,----,0,0,0,0,9.71,16.07,12.91,27.16
35,600018,上港集团,5.30,9.96,0.48,283万,60,5.30,----,0.00,0.00,14.9亿,----, 港口水运,5.30,4.80,4.82,4.82,10.37,5.05,100.00,9.06万,5.24,174万,109万,1.59,7.76万,0,----,0,0,0,0,11.81,13.98,1.87,2.48
36,601908,京运通,10.01,9.88,0.90,37.0万,71,10.00,10.01,0.00,0.00,3.67亿,----, 机械行业,10.02,9.30,9.30,9.11,7.90,3.24,-93.77,-1.01万,9.92,19.0万,18.0万,1.05,27,1117,----,0,0,0,0,17.63,25.13,33.26,45.35
37,002176,江特电机,16.40,9.48,1.42,22.5万,3406,16.39,16.40,-0.06,0.00,3.54亿,----, 机械行业,16.43,14.93,15.03,14.98,10.01,2.96,-94.84,-4927,15.76,8.53万,13.9万,0.61,28,326,----,0,0,0,0,13.89,17.56,10.45,14.19
38,300221,银禧科技,12.20,9.32,1.04,13.4万,2284,12.19,12.20,0.00,0.00,1.60亿,----, 塑胶制品,12.27,11.10,11.16,11.16,10.48,1.97,28.65,335,11.91,5.30万,8.14万,0.65,7,64,----,0,0,0,0,9.22,27.08,24.84,38.18
39,000630,铜陵有色,11.50,8.49,0.90,68.5万,6055,11.49,11.50,0.09,0.00,7.75亿,----, 有色金属,11.66,10.63,10.65,10.60,9.72,4.91,47.86,4792,11.30,29.7万,38.8万,0.77,4184,25,----,0,0,0,0,10.15,13.86,7.45,9.73
40,300153,科泰电源,15.20,8.42,1.18,6.33万,371,15.20,15.21,0.00,0.00,9603万,----, 输配电气,15.42,14.02,14.02,14.02,9.99,2.92,-9.30,-31,15.16,3.06万,3.28万,0.93,79,114,----,0,0,0,0,9.83,19.31,6.42,10.76
41,000821,京山轻机,9.21,8.10,0.69,37.9万,2686,9.20,9.21,0.00,0.00,3.44亿,----, 机械行业,9.37,8.71,8.71,8.52,7.75,2.58,-79.93,-1.13万,9.08,16.4万,21.6万,0.76,232,9941,----,0,0,0,0,8.35,20.71,19.66,32.29
42,600137,浪莎股份,19.67,8.08,1.47,3.67万,0,19.67,19.69,-0.05,0.00,6974万,----, 纺织服装,19.72,18.04,18.19,18.20,9.23,2.06,-82.46,-733,18.98,1.53万,2.15万,0.71,1,63,----,0,0,0,0,8.61,15.77,8.07,12.94
43,601989,中国重工,5.82,7.98,0.43,477万,739,5.80,5.81,0.00,0.00,26.7亿,----, 交运设备,5.89,5.33,5.38,5.39,10.39,2.18,-58.78,-2.81万,5.59,208万,269万,0.77,1041,431,----,0,0,0,0,10.86,19.51,6.49,10.14
44,000958,东方热电,14.20,7.98,1.05,16.3万,2444,14.20,14.21,0.07,0.00,2.27亿,----, 电力行业,14.47,13.08,13.10,13.15,10.57,1.04,52.79,1825,13.98,7.58万,8.69万,0.87,832,446,----,0,0,0,0,14.89,29.09,21.62,42.92
45,002052,同洲电子,10.62,7.93,0.78,69.4万,1.45万,10.62,10.63,-0.09,0.00,7.09亿,----, 通讯行业,10.77,9.71,9.80,9.84,10.77,2.51,-36.95,-8640,10.22,30.9万,38.5万,0.80,3060,9692,----,0,0,0,0,11.44,15.69,29.06,40.03
46,002668,奥马电器,22.04,7.78,1.59,16.3万,1236,22.03,22.05,-0.05,0.00,3.55亿,----, 家电行业,22.50,20.60,20.63,20.45,9.29,3.10,20.77,412,21.76,6.37万,9.94万,0.64,26,736,----,0,0,0,0,7.46,6.99,42.39,58.95
47,002491,通鼎光电,18.50,7.62,1.31,13.6万,1737,18.49,18.50,0.16,0.00,2.51亿,----, 通讯行业,18.91,18.01,18.91,17.19,5.24,3.58,-53.25,-1978,18.47,7.20万,6.37万,1.13,184,2615,----,0,0,0,0,7.62,0.00,4.11,4.11
48,601579,会稽山,14.70,7.53,1.03,60.1万,43,14.70,14.71,0.14,0.00,8.81亿,----, 酿酒行业,15.04,14.00,14.08,13.67,7.61,3.28,6.06,274,14.65,29.1万,31.0万,0.94,16,488,----,0,0,0,0,30.09,73.14,143.26,151.83
49,000708,大冶特钢,8.88,7.51,0.62,12.2万,1593,8.87,8.88,-0.11,0.00,1.05亿,----, 钢铁行业,9.02,8.20,8.20,8.26,9.93,1.32,-64.60,-3487,8.61,5.64万,6.59万,0.86,88,1697,----,0,0,0,0,15.03,18.24,9.24,13.14
50,000959,首钢股份,3.55,7.25,0.24,43.1万,1.02万,3.54,3.55,-0.28,0.00,1.48亿,----, 钢铁行业,3.60,3.28,3.29,3.31,9.67,2.80,-8.12,-2306,3.42,10.6万,32.6万,0.33,505,6040,----,0,0,0,0,8.23,14.15,7.12,9.96
51,000685,中山公用,12.85,7.08,0.85,16.3万,1059,12.84,12.85,0.00,0.00,2.09亿,----, 公用事业,13.20,12.04,12.05,12.00,9.67,4.04,-50.26,-1407,12.82,7.49万,8.81万,0.85,15,1193,----,0,0,0,0,8.26,12.03,4.14,5.57
52,300252,金信诺,30.00,7.03,1.97,5.04万,1102,29.99,30.00,0.27,0.00,1.47亿,----, 输配电气,30.00,28.00,28.08,28.03,7.14,1.76,37.24,259,29.17,1.65万,3.39万,0.49,5,105,----,0,0,0,0,2.74,8.89,16.71,23.78
53,600399,抚顺特钢,21.21,6.80,1.35,29.2万,3,21.18,21.20,-0.42,0.00,5.95亿,----, 钢铁行业,21.65,19.62,19.70,19.86,10.22,1.38,-32.31,-106,20.41,13.0万,16.1万,0.81,13,159,----,0,0,0,0,17.70,20.85,18.78,29.83
54,300130,新国都,36.03,6.76,2.28,5.89万,433,36.02,36.03,0.03,0.00,2.10亿,----, 电子信息,36.78,33.79,33.92,33.75,8.86,2.54,10.42,79,35.72,2.13万,3.76万,0.57,133,153,----,0,0,0,0,9.65,13.41,21.81,27.24
