O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
321,600693,东百集团,8.03,2.16,0.17,7.15万,0,8.03,8.04,-0.12,0.00,5677万,----, 商业百货,8.08,7.81,7.89,7.86,3.44,1.05,-78.76,-5179,7.94,2.97万,4.18万,0.71,135,1739,----,0,0,0,0,2.29,10.00,5.18,11.99
322,603128,华贸物流,11.86,2.15,0.25,15.3万,32,11.85,11.86,0.00,0.00,1.82亿,----, 交运物流,12.32,11.53,11.62,11.61,6.80,1.53,-79.49,-2953,11.95,7.68万,7.57万,1.01,86,71,----,0,0,0,0,2.68,4.22,21.80,40.68
323,600309,万华化学,17.59,2.15,0.37,22.8万,74,17.58,17.59,-0.06,0.00,4.03亿,----, 化工行业,17.97,17.30,17.30,17.22,3.89,1.94,-64.26,-3454,17.68,11.2万,11.6万,0.97,2,524,----,0,0,0,0,4.64,8.11,2.38,3.77
324,002077,大港股份,8.54,2.15,0.18,6.82万,733,8.53,8.54,0.12,0.00,5758万,----, 房地产,8.59,8.24,8.40,8.36,4.19,1.14,11.94,354,8.45,3.51万,3.31万,1.06,541,69,----,0,0,0,0,3.39,9.07,8.43,14.61
325,000838,国兴地产,10.43,2.15,0.22,9.02万,929,10.42,10.43,0.10,0.00,9450万,----, 房地产,10.94,10.23,10.30,10.21,6.95,1.63,-48.34,-1317,10.48,4.77万,4.25万,1.12,66,94,----,0,0,0,0,17.06,23.72,14.95,22.52
326,000607,华智控股,10.47,2.15,0.22,13.2万,808,10.47,10.48,0.00,0.00,1.38亿,----, 仪器仪表,10.65,10.24,10.24,10.25,4.00,1.12,-32.77,-2197,10.45,5.98万,7.26万,0.82,1227,927,----,0,0,0,0,2.25,3.87,7.85,14.86
327,002488,金固股份,16.22,2.14,0.34,2.20万,92,16.19,16.22,0.00,0.00,3507万,----, 汽车行业,16.30,15.61,15.89,15.88,4.35,1.27,-91.26,-877,15.96,7599,1.44万,0.53,10,74,----,0,0,0,0,3.31,11.40,7.03,12.43
328,002164,*ST东力,5.26,2.14,0.11,9.31万,2100,5.25,5.26,0.19,0.00,4841万,----, 机械行业,5.29,5.10,5.19,5.15,3.69,1.30,-26.41,-1598,5.20,4.51万,4.80万,0.94,747,17,----,0,0,0,0,0.77,6.05,7.09,11.13
329,600031,三一重工,5.75,2.13,0.12,82.1万,939,5.74,5.75,0.00,0.00,4.68亿,----, 机械行业,5.79,5.61,5.64,5.63,3.20,2.41,-44.56,-3.46万,5.70,31.5万,50.6万,0.62,9057,117,----,0,0,0,0,3.60,6.09,2.35,3.32
330,601766,中国南车,5.33,2.11,0.11,109万,5,5.33,5.34,0.00,0.00,5.84亿,----, 交运设备,5.47,5.28,5.39,5.22,3.64,2.66,-31.53,-2.81万,5.35,53.1万,56.1万,0.95,442,5218,----,0,0,0,0,2.50,5.54,1.59,2.79
331,300263,隆华节能,16.43,2.11,0.34,13.2万,1304,16.43,16.44,0.00,0.00,2.14亿,----, 机械行业,16.80,15.57,15.78,16.09,7.64,1.24,-29.52,-897,16.19,6.21万,7.03万,0.88,34,248,----,0,0,0,0,3.46,13.78,37.72,37.72
332,600680,上海普天,18.98,2.10,0.39,6.16万,114,18.97,18.98,-0.11,0.00,1.15亿,----, 通讯行业,19.02,18.40,18.63,18.59,3.34,2.01,-51.40,-1591,18.71,2.79万,3.36万,0.83,96,5,----,0,0,0,0,2.59,8.21,4.98,8.34
333,002116,中国海诚,13.12,2.10,0.27,9.54万,929,13.12,13.13,0.00,0.00,1.25亿,----, 工程建设,13.35,12.75,12.84,12.85,4.67,2.63,51.87,1465,13.12,4.41万,5.13万,0.86,301,84,----,0,0,0,0,4.13,9.42,6.36,9.00
334,000735,罗 牛 山,6.85,2.09,0.14,55.3万,4639,6.85,6.86,-0.15,0.00,3.77亿,----, 农牧饲渔,6.98,6.66,6.72,6.71,4.77,2.77,-6.64,-2875,6.83,23.4万,31.9万,0.73,1862,6384,----,0,0,0,0,4.26,7.54,12.97,17.63
335,002228,合兴包装,11.29,2.08,0.23,4.69万,1107,11.29,11.30,0.00,0.00,5248万,----, 造纸印刷,11.38,11.01,11.06,11.06,3.35,0.94,-13.58,-360,11.18,2.31万,2.38万,0.97,332,171,----,0,0,0,0,0.71,3.29,4.32,8.49
336,000693,华泽钴镍,24.70,2.07,0.50,17.1万,3153,24.70,24.71,-0.08,0.00,4.33亿,----, 有色金属,26.25,24.70,25.50,24.20,6.40,3.35,-77.12,-1569,25.33,9.15万,7.95万,1.15,53,723,----,0,0,0,0,7.02,10.61,47.84,59.23
337,600663,陆家嘴,17.80,2.06,0.36,14.4万,98,17.79,17.80,-0.06,0.00,2.57亿,----, 房地产,18.15,17.38,17.49,17.44,4.42,3.09,-39.58,-1242,17.81,6.51万,7.91万,0.82,51,194,----,0,0,0,0,3.55,5.39,1.87,2.78
338,002466,天齐锂业,60.30,2.06,1.22,1.65万,286,60.30,60.31,0.13,0.00,9959万,----, 化工行业,61.00,58.88,59.14,59.08,3.59,0.75,-74.74,-228,60.22,8214,8324,0.99,14,5,----,0,0,0,0,1.43,0.50,10.51,23.67
339,600348,阳泉煤业,6.98,2.05,0.14,42.8万,35,6.97,6.98,0.00,0.00,2.98亿,----, 煤炭采选,7.11,6.80,6.84,6.84,4.53,1.86,-33.71,-1.11万,6.96,18.7万,24.1万,0.78,1085,1426,----,0,0,0,0,3.10,6.56,4.29,6.56
340,002422,科伦药业,29.42,2.05,0.59,9.76万,728,29.41,29.42,0.03,0.00,2.86亿,----, 医药行业,29.48,28.89,28.89,28.83,2.05,1.44,-42.21,-1060,29.27,4.09万,5.66万,0.72,546,337,----,0,0,0,0,2.05,8.56,9.44,10.31
341,002038,双鹭药业,43.84,2.05,0.88,9.05万,738,43.84,43.85,0.00,0.00,3.97亿,----, 医药行业,44.30,43.02,43.02,42.96,2.98,1.63,-6.92,-80,43.80,4.11万,4.94万,0.83,36,158,----,0,0,0,0,2.21,2.96,5.65,9.75
342,000933,神火股份,4.47,2.05,0.09,32.0万,7912,4.46,4.47,0.22,0.00,1.41亿,----, 煤炭采选,4.47,4.35,4.42,4.38,2.74,1.42,-52.86,-2.15万,4.42,14.4万,17.6万,0.82,2436,2912,----,0,0,0,0,3.95,8.50,4.85,7.72
343,601006,大秦铁路,8.02,2.04,0.16,55.7万,12,8.03,8.04,0.00,0.00,4.45亿,----, 交运物流,8.05,7.84,7.88,7.86,2.67,1.18,-57.80,-3.23万,7.98,24.7万,31.0万,0.80,4980,7854,----,0,0,0,0,7.36,10.01,1.35,1.96
344,300293,蓝英装备,16.08,2.03,0.32,7.87万,1404,16.08,16.09,0.00,0.00,1.25亿,----, 机械行业,16.15,15.62,15.77,15.76,3.36,0.91,-51.10,-1859,15.93,3.81万,4.06万,0.94,431,569,----,0,0,0,0,5.86,18.06,43.47,75.93
345,002394,联发股份,10.56,2.03,0.21,7.80万,808,10.56,10.57,0.00,0.00,8145万,----, 纺织服装,10.57,10.31,10.39,10.35,2.51,1.03,3.13,183,10.44,3.19万,4.61万,0.69,459,813,----,0,0,0,0,1.73,1.64,6.00,14.12
346,000989,九 芝 堂,14.66,2.02,0.29,8.56万,463,14.66,14.67,0.00,0.00,1.25亿,----, 医药行业,14.77,14.28,14.30,14.37,3.41,1.85,9.36,567,14.62,3.99万,4.57万,0.87,2,629,----,0,0,0,0,3.02,8.59,6.28,10.64
347,600875,东方电气,13.67,2.01,0.27,35.3万,5,13.67,13.68,0.00,0.00,4.77亿,----, 输配电气,13.74,13.25,13.37,13.40,3.66,1.23,-60.32,-7174,13.51,16.7万,18.6万,0.90,1000,2257,----,0,0,0,0,6.46,6.80,7.39,10.73
348,600733,S前锋,30.38,2.01,0.60,1.87万,0,30.32,30.35,0.30,0.00,5679万,----, 房地产,30.74,29.71,29.78,29.78,3.46,1.83,-7.92,-20,30.34,7522,1.12万,0.67,1,39,----,0,0,0,0,1.27,1.71,5.21,9.24
349,600713,南京医药,7.09,2.01,0.14,17.6万,110,7.09,7.10,0.00,0.00,1.24亿,----, 医药行业,7.12,6.91,6.94,6.95,3.02,1.16,-50.27,-1.25万,7.05,7.69万,9.94万,0.77,542,8258,----,0,0,0,0,2.46,5.98,6.91,13.48
350,600812,华北制药,5.62,2.00,0.11,24.0万,0,5.62,5.63,0.00,0.00,1.34亿,----, 医药行业,5.66,5.49,5.50,5.51,3.09,1.21,-42.37,-7519,5.59,10.6万,13.4万,0.79,100,654,----,0,0,0,0,2.18,4.46,6.08,11.96
351,600639,浦东金桥,11.78,1.99,0.23,13.8万,130,11.76,11.78,0.08,0.00,1.63亿,----, 房地产,12.09,11.47,11.56,11.55,5.37,2.44,-49.60,-2448,11.82,7.22万,6.58万,1.10,293,60,----,0,0,0,0,2.61,5.27,4.04,6.40
352,300143,星河生物,12.79,1.99,0.25,5.44万,634,12.76,12.79,-0.47,0.00,6888万,----, 农牧饲渔,12.98,12.36,12.51,12.54,4.94,0.89,-70.61,-1715,12.65,2.69万,2.76万,0.97,61,44,----,0,0,0,0,5.27,9.32,14.45,29.81
353,002667,鞍重股份,27.24,1.98,0.53,1.55万,123,27.23,27.24,0.04,0.00,4220万,----, 机械行业,27.42,26.61,26.71,26.71,3.03,0.99,29.66,150,27.23,7389,8108,0.91,51,11,----,0,0,0,0,5.38,12.84,21.05,33.61
354,600203,福日电子,10.36,1.97,0.20,8.65万,5,10.34,10.35,-0.10,0.00,8850万,----, 通讯行业,10.42,10.02,10.16,10.16,3.94,1.73,-39.03,-823,10.23,3.74万,4.91万,0.76,26,49,----,0,0,0,0,5.18,9.98,8.76,13.98
355,600179,黑化股份,5.70,1.97,0.11,12.2万,20,5.69,5.70,-0.18,0.00,7025万,----, 化工行业,5.86,5.55,5.60,5.59,5.55,1.61,2.47,73,5.74,5.86万,6.37万,0.92,472,38,----,0,0,0,0,1.79,8.16,7.12,12.87
356,002226,江南化工,11.88,1.97,0.23,10.4万,857,11.88,11.89,0.08,0.00,1.23亿,----, 化工行业,11.93,11.52,11.62,11.65,3.52,1.84,-28.03,-919,11.79,4.61万,5.83万,0.79,54,485,----,0,0,0,0,5.04,8.89,6.14,9.81
357,600727,鲁北化工,5.23,1.95,0.10,11.1万,0,5.22,5.23,0.00,0.00,5777万,----, 化工行业,5.26,5.12,5.14,5.13,2.73,1.75,-34.79,-3660,5.19,5.21万,5.92万,0.88,208,166,----,0,0,0,0,2.95,7.39,7.14,12.24
358,600712,南宁百货,4.71,1.95,0.09,12.6万,0,4.71,4.72,-0.21,0.00,5927万,----, 商业百货,4.77,4.61,4.62,4.62,3.46,1.16,16.59,3665,4.69,5.46万,7.16万,0.76,638,1426,----,0,0,0,0,1.95,7.29,7.60,12.50
359,002156,通富微电,8.89,1.95,0.17,17.3万,1480,8.89,8.90,0.00,0.00,1.55亿,----, 电子元件,9.16,8.85,8.96,8.72,3.56,1.89,-6.47,-666,8.96,8.79万,8.50万,1.03,1286,3634,----,0,0,0,0,2.30,5.96,5.55,9.70
360,601872,招商轮船,3.16,1.94,0.06,24.6万,0,3.16,3.17,0.00,0.00,7698万,----, 港口水运,3.20,3.06,3.10,3.10,4.52,1.42,-46.98,-2.42万,3.13,10.8万,13.9万,0.78,249,2712,----,0,0,0,0,4.64,10.49,1.92,2.95
361,300229,拓尔思,26.32,1.94,0.50,4.43万,542,26.31,26.32,-0.11,0.00,1.16亿,----, 电子信息,26.75,25.66,26.15,25.82,4.22,1.13,-39.35,-291,26.25,1.92万,2.51万,0.76,57,305,----,0,0,0,0,5.03,12.57,6.62,11.78
362,002401,中海科技,16.28,1.94,0.31,6.24万,764,16.27,16.28,0.12,0.00,1.00亿,----, 电子信息,16.34,15.68,15.94,15.97,4.13,0.88,-48.72,-2132,16.04,2.88万,3.36万,0.86,505,798,----,0,0,0,0,1.75,7.18,6.95,14.02
363,300123,太阳鸟,9.49,1.93,0.18,12.7万,792,9.49,9.50,-0.11,0.00,1.20亿,----, 交运设备,9.64,9.19,9.34,9.31,4.83,1.38,-7.21,-216,9.41,6.12万,6.58万,0.93,262,534,----,0,0,0,0,4.52,11.91,15.74,22.75
364,002058,威 尔 泰,12.13,1.93,0.23,3.13万,788,12.13,12.14,0.00,0.00,3757万,----, 仪器仪表,12.15,11.84,11.96,11.90,2.61,0.90,-26.73,-494,12.02,1.45万,1.67万,0.87,250,288,----,0,0,0,0,4.30,7.35,8.16,14.25
365,300105,龙源技术,12.76,1.92,0.24,19.2万,1663,12.75,12.76,-0.08,0.00,2.42亿,----, 机械行业,12.88,12.34,12.45,12.52,4.31,1.73,-31.90,-973,12.63,9.40万,9.80万,0.96,310,658,----,0,0,0,0,6.42,11.34,10.40,14.57
366,002662,京威股份,12.22,1.92,0.23,10.1万,783,12.22,12.23,0.00,0.00,1.23亿,----, 汽车行业,12.50,11.97,12.23,11.99,4.42,1.68,-65.21,-1529,12.22,5.41万,4.66万,1.16,44,131,----,0,0,0,0,8.24,16.38,17.46,26.74
367,002329,皇氏乳业,17.48,1.92,0.33,4.35万,727,17.47,17.48,0.00,0.00,7518万,----, 食品行业,17.53,17.03,17.18,17.15,2.92,1.32,-68.89,-1318,17.28,1.98万,2.37万,0.83,12,253,----,0,0,0,0,2.28,4.98,7.80,14.36
368,000893,东凌粮油,12.18,1.92,0.23,17.0万,2331,12.18,12.19,0.08,0.00,2.06亿,----, 食品行业,12.28,11.87,11.96,11.95,3.43,1.30,11.78,926,12.09,7.48万,9.57万,0.78,588,998,----,0,0,0,0,0.25,1.08,12.91,21.26
369,000566,海南海药,15.98,1.91,0.30,15.7万,426,15.97,15.98,0.00,0.00,2.53亿,----, 医药行业,16.89,15.85,16.39,15.68,6.63,1.94,-91.74,-5647,16.14,8.22万,7.47万,1.10,76,147,----,0,0,0,0,3.43,4.44,6.85,11.86
370,300193,佳士科技,15.58,1.90,0.29,7.67万,191,15.57,15.58,0.06,0.00,1.19亿,----, 机械行业,15.78,15.21,15.30,15.29,3.73,2.06,-15.91,-293,15.56,3.37万,4.31万,0.78,487,106,----,0,0,0,0,2.70,8.80,10.92,17.29
371,002333,罗普斯金,11.26,1.90,0.21,4.14万,344,11.26,11.27,-0.09,0.00,4619万,----, 水泥建材,11.29,11.00,11.07,11.05,2.62,2.24,-34.00,-948,11.16,1.62万,2.52万,0.64,362,534,----,0,0,0,0,2.36,5.53,3.11,5.51
372,000937,冀中能源,6.96,1.90,0.13,30.5万,3235,6.96,6.97,0.00,0.00,2.12亿,----, 煤炭采选,7.03,6.83,6.85,6.83,2.93,1.73,-57.50,-2.16万,6.95,13.4万,17.1万,0.78,5495,1435,----,0,0,0,0,3.26,6.10,3.25,5.42
373,600461,洪城水业,10.31,1.88,0.19,10.9万,7,10.31,10.32,0.10,0.00,1.12亿,----, 公用事业,10.55,10.08,10.10,10.12,4.64,1.48,6.39,138,10.34,5.54万,5.33万,1.04,41,200,----,0,0,0,0,1.98,8.87,8.56,14.43
374,600401,海润光伏,9.76,1.88,0.18,38.6万,49,9.75,9.76,-0.10,0.00,3.82亿,----, 材料行业,10.38,9.70,10.00,9.58,7.10,2.85,-32.36,-2348,9.91,18.6万,20.0万,0.93,115,164,----,0,0,0,0,2.20,3.17,20.11,29.95
375,000709,河北钢铁,2.17,1.88,0.04,104万,10.4万,2.17,2.18,0.93,0.00,2.23亿,----, 钢铁行业,2.17,2.11,2.13,2.13,2.82,1.07,7.71,1.62万,2.13,47.8万,56.4万,0.85,3.30万,3.15万,----,0,0,0,0,3.33,5.85,5.88,11.65
376,600463,空港股份,9.26,1.87,0.17,9.98万,11,9.26,9.28,-0.54,0.00,9310万,----, 房地产,9.50,9.05,9.05,9.09,4.95,1.61,-51.74,-596,9.32,4.68万,5.30万,0.88,5,199,----,0,0,0,0,3.70,10.11,8.89,16.27
377,601600,中国铝业,3.85,1.85,0.07,87.5万,200,3.84,3.85,0.00,0.00,3.36亿,----, 有色金属,3.90,3.76,3.79,3.78,3.70,1.27,-46.85,-5.08万,3.83,30.6万,57.0万,0.54,7508,2562,----,0,0,0,0,1.58,6.65,2.44,4.50
378,002243,通产丽星,7.70,1.85,0.14,8.37万,597,7.70,7.71,0.00,0.00,6407万,----, 塑胶制品,7.80,7.50,7.56,7.56,3.97,1.13,-37.21,-1815,7.65,4.00万,4.38万,0.91,512,236,----,0,0,0,0,2.80,7.09,8.63,14.69
379,002378,章源钨业,19.91,1.84,0.36,3.61万,167,19.90,19.91,-0.05,0.00,7171万,----, 有色金属,20.09,19.61,19.67,19.55,2.46,1.87,-32.03,-527,19.89,1.59万,2.01万,0.79,48,3,----,0,0,0,0,2.10,5.46,2.00,3.10
380,600529,山东药玻,13.35,1.83,0.24,3.27万,33,13.34,13.35,0.15,0.00,4315万,----, 玻璃陶瓷,13.36,13.10,13.16,13.11,1.98,1.40,-5.63,-85,13.21,1.39万,1.87万,0.74,64,29,----,0,0,0,0,0.23,5.53,3.56,5.79
381,600511,国药股份,25.61,1.83,0.46,3.55万,8,25.60,25.61,-0.19,0.00,8951万,----, 医药行业,25.85,24.90,25.25,25.15,3.78,1.25,-40.75,-281,25.22,1.89万,1.66万,1.14,127,27,----,0,0,0,0,0.04,2.89,4.04,6.38
382,600507,方大特钢,3.90,1.83,0.07,19.4万,38,3.89,3.90,0.26,0.00,7470万,----, 钢铁行业,3.90,3.81,3.84,3.83,2.35,1.18,-20.09,-4951,3.86,8.74万,10.6万,0.82,2821,726,----,0,0,0,0,3.45,5.98,4.79,7.64
383,600273,华芳纺织,10.01,1.83,0.18,8.31万,11,9.98,9.99,-0.20,0.00,8298万,----, 纺织服装,10.09,9.78,9.84,9.83,3.15,2.38,-58.27,-2272,9.98,3.03万,5.29万,0.57,69,65,----,0,0,0,0,2.46,6.94,5.30,8.19
384,300331,苏大维格,35.00,1.83,0.63,2.80万,297,34.99,35.00,-0.03,0.00,9905万,----, 材料行业,36.70,34.60,34.63,34.37,6.11,0.81,-65.31,-305,35.34,1.37万,1.44万,0.95,30,306,----,0,0,0,0,3.09,13.75,13.56,36.74
385,002445,中南重工,17.26,1.83,0.31,4.68万,206,17.25,17.26,0.06,0.00,7975万,----, 机械行业,17.36,16.59,16.95,16.95,4.54,1.36,-48.36,-1146,17.06,2.26万,2.42万,0.94,217,98,----,0,0,0,0,3.23,9.52,4.55,8.70
386,600998,九州通,16.76,1.82,0.30,10.9万,10,16.75,16.76,0.48,0.00,1.83亿,----, 医药行业,17.10,16.52,16.60,16.46,3.52,1.37,-21.24,-363,16.81,5.38万,5.52万,0.97,22,8,----,0,0,0,0,0.36,7.37,1.96,3.70
387,600708,海博股份,8.38,1.82,0.15,20.7万,10,8.37,8.38,0.24,0.00,1.73亿,----, 综合行业,8.40,8.17,8.23,8.23,2.79,2.48,-6.28,-899,8.32,9.35万,11.4万,0.82,1985,25,----,0,0,0,0,3.20,5.67,8.36,12.30
388,600597,光明乳业,17.34,1.82,0.31,25.9万,0,17.33,17.34,-0.06,0.00,4.45亿,----, 食品行业,17.45,16.82,17.03,17.03,3.70,1.11,-18.76,-699,17.16,11.4万,14.5万,0.78,274,13,----,0,0,0,0,4.90,6.32,6.42,11.72
389,600590,泰豪科技,8.96,1.82,0.16,21.9万,181,8.96,8.98,0.79,0.00,1.95亿,----, 输配电气,9.10,8.77,8.87,8.80,3.75,2.00,-44.23,-1623,8.91,11.3万,10.6万,1.06,151,154,----,0,0,0,0,7.82,13.42,11.35,15.30
390,300308,中际装备,15.63,1.82,0.28,4.63万,218,15.62,15.63,0.06,0.00,7239万,----, 机械行业,15.88,15.33,15.37,15.35,3.58,1.90,-14.90,-278,15.63,2.36万,2.27万,1.04,377,109,----,0,0,0,0,5.39,10.30,28.25,40.19
391,000625,长安汽车,13.45,1.82,0.24,48.9万,6204,13.45,13.46,0.00,0.00,6.53亿,----, 汽车行业,13.45,13.20,13.25,13.21,1.89,1.32,-42.25,-9219,13.35,18.2万,30.7万,0.59,2869,2622,----,0,0,0,0,1.43,6.24,4.09,6.92
392,000782,美达股份,6.26,1.79,0.11,5.79万,342,6.26,6.27,0.16,0.00,3627万,----, 化纤行业,6.35,6.10,6.12,6.15,4.07,1.05,24.42,1099,6.26,2.77万,3.03万,0.91,79,211,----,0,0,0,0,3.47,8.68,4.46,9.48
393,000030,富奥股份,7.41,1.79,0.13,17.6万,2553,7.41,7.42,0.00,0.00,1.30亿,----, 汽车行业,7.50,7.23,7.26,7.28,3.71,2.18,-36.80,-5289,7.36,8.73万,8.89万,0.98,669,4530,----,0,0,0,0,3.78,7.70,8.37,11.67
394,601369,陕鼓动力,6.28,1.78,0.11,14.3万,10,6.28,6.29,0.32,0.00,8892万,----, 机械行业,6.29,6.16,6.18,6.17,2.11,2.04,-45.90,-1.01万,6.21,6.23万,8.09万,0.77,3540,3517,----,0,0,0,0,2.61,6.44,2.01,3.01
395,600432,吉恩镍业,17.12,1.78,0.30,42.0万,0,17.12,17.13,-0.17,0.00,7.35亿,----, 有色金属,18.30,17.11,17.38,16.82,7.07,3.11,7.32,343,17.50,22.0万,20.0万,1.10,488,108,----,0,0,0,0,6.53,9.74,10.93,13.50
396,600895,张江高科,7.53,1.76,0.13,18.9万,190,7.52,7.53,0.00,0.00,1.42亿,----, 房地产,7.60,7.41,7.47,7.40,2.57,1.73,-26.46,-4898,7.51,7.87万,11.0万,0.72,3009,595,----,0,0,0,0,2.31,4.58,2.87,4.74
397,600393,东华实业,6.94,1.76,0.12,4.51万,4,6.94,6.95,0.29,0.00,3083万,----, 房地产,6.95,6.73,6.77,6.82,3.23,1.18,-24.29,-861,6.83,2.11万,2.40万,0.88,473,390,----,0,0,0,0,5.15,6.93,5.03,8.14
398,600125,铁龙物流,5.77,1.76,0.10,48.2万,5,5.77,5.78,0.00,0.00,2.77亿,----, 交运物流,5.84,5.60,5.66,5.67,4.23,2.06,-61.29,-1.68万,5.74,25.3万,22.9万,1.10,450,6869,----,0,0,0,0,5.10,9.70,9.06,12.68
399,600279,重庆港九,11.64,1.75,0.20,16.5万,122,11.64,11.65,0.00,0.00,1.90亿,----, 港口水运,11.68,11.17,11.32,11.44,4.46,1.35,-40.58,-3253,11.54,7.31万,9.15万,0.80,67,1,----,0,0,0,0,3.74,8.18,13.44,22.60
400,300214,日科化学,5.83,1.75,0.10,19.6万,2955,5.83,5.84,0.00,0.00,1.13亿,----, 塑胶制品,5.92,5.64,5.73,5.73,4.89,1.71,-38.14,-4566,5.78,9.76万,9.85万,0.99,1971,1770,----,0,0,0,0,3.37,6.78,17.81,28.70
401,600801,华新水泥,7.61,1.74,0.13,24.0万,39,7.61,7.62,0.00,0.00,1.81亿,----, 水泥建材,7.65,7.44,7.48,7.48,2.81,2.26,-53.00,-8631,7.54,11.3万,12.7万,0.89,243,1183,----,0,0,0,0,3.54,7.33,6.07,8.65
402,600583,海油工程,8.28,1.72,0.14,90.0万,5,8.28,8.29,-0.12,0.00,7.42亿,----, 工程建设,8.33,8.13,8.14,8.14,2.46,1.26,-24.25,-1.25万,8.25,37.8万,52.2万,0.72,249,3133,----,0,0,0,0,1.72,4.55,5.97,11.47
403,600415,小商品城,5.90,1.72,0.10,31.0万,143,5.89,5.90,-0.34,0.00,1.83亿,----, 商业百货,5.98,5.80,5.83,5.80,3.10,1.60,14.50,2990,5.88,10.9万,20.2万,0.54,6055,645,----,0,0,0,0,3.87,5.92,3.02,4.70
404,002155,辰州矿业,8.87,1.72,0.15,23.4万,3032,8.86,8.87,0.00,0.00,2.06亿,----, 有色金属,8.89,8.63,8.70,8.72,2.98,1.72,-38.71,-5856,8.79,10.9万,12.5万,0.86,1257,1885,----,0,0,0,0,1.84,5.97,5.79,9.16
405,000999,华润三九,20.79,1.71,0.35,10.3万,1378,20.78,20.79,0.05,0.00,2.12亿,----, 医药行业,20.79,20.39,20.40,20.44,1.96,1.39,-38.20,-1661,20.55,3.76万,6.54万,0.57,450,1187,----,0,0,0,0,2.06,5.21,2.80,4.83
406,600085,同仁堂,19.13,1.70,0.32,11.1万,123,19.12,19.13,0.21,0.00,2.10亿,----, 医药行业,19.15,18.78,18.82,18.81,1.97,1.66,-23.79,-1078,18.94,4.14万,6.95万,0.60,1505,37,----,0,0,0,0,0.95,3.52,2.21,3.40
407,002009,天奇股份,15.58,1.70,0.26,4.98万,288,15.57,15.58,0.06,0.00,7660万,----, 机械行业,15.68,15.13,15.32,15.32,3.59,1.30,-60.59,-774,15.37,2.15万,2.84万,0.76,169,201,----,0,0,0,0,5.56,9.72,5.74,9.30
408,002433,太安堂,12.00,1.69,0.20,18.0万,1620,11.99,12.00,0.00,0.00,2.16亿,----, 医药行业,12.21,11.82,11.82,11.80,3.31,1.67,-48.64,-2396,12.00,9.85万,8.15万,1.21,272,2595,----,0,0,0,0,5.45,11.01,9.34,13.67
409,002159,三特索道,22.84,1.69,0.38,2.11万,103,22.84,22.90,0.40,0.00,4875万,----, 旅游酒店,23.48,22.33,22.33,22.46,5.12,1.88,-50.67,-355,23.11,8828,1.23万,0.72,30,52,----,0,0,0,0,3.82,7.84,3.21,6.45
410,601117,中国化学,6.06,1.68,0.10,65.2万,220,6.05,6.06,0.00,0.00,3.92亿,----, 工程建设,6.08,5.93,5.96,5.96,2.52,1.98,-41.79,-2.93万,6.01,25.2万,40.0万,0.63,4621,140,----,0,0,0,0,3.41,7.26,3.04,4.66
411,002374,丽鹏股份,10.90,1.68,0.18,11.3万,2000,10.87,10.90,0.46,0.00,1.23亿,----, 有色金属,11.20,10.75,10.98,10.72,4.20,2.19,3.02,65,10.94,5.63万,5.64万,1.00,1,276,----,0,0,0,0,1.96,5.62,14.83,24.63
412,002040,南 京 港,9.07,1.68,0.15,14.6万,1125,9.06,9.07,0.00,0.00,1.32亿,----, 港口水运,9.23,8.72,8.90,8.92,5.72,1.47,-57.80,-3755,9.06,7.37万,7.22万,1.02,385,863,----,0,0,0,0,1.57,4.73,13.54,26.10
413,000628,高新发展,8.45,1.68,0.14,4.19万,221,8.44,8.45,0.12,0.00,3576万,----, 房地产,8.69,8.30,8.32,8.31,4.69,1.13,-23.33,-578,8.53,1.82万,2.37万,0.77,403,681,----,0,0,0,0,0.36,8.75,6.73,12.10
414,000626,如意集团,9.70,1.68,0.16,3.17万,746,9.70,9.71,0.00,0.00,3079万,----, 国际贸易,9.88,9.48,9.56,9.54,4.19,0.92,23.23,1098,9.71,1.69万,1.48万,1.14,2089,597,----,0,0,0,0,2.21,6.24,4.59,10.08
415,600513,联环药业,14.59,1.67,0.24,6.46万,16,14.58,14.59,0.00,0.00,9309万,----, 医药行业,14.61,14.23,14.37,14.35,2.65,1.58,-8.55,-439,14.41,2.93万,3.53万,0.83,360,287,----,0,0,0,0,2.17,7.91,10.11,17.72
